,barcode,entry,species_consensus,groups_consensus,accession_number,usda_q_number,alt_accession_number,uiuc_id,minicores_ainsworth_2025,quantity,transplanted,date_transplant,project,project_id,labeled,survival_6wks,root_exudate_collect_6wks,incubation_start_6wks,incubation_end_6wks,soil_6wks,soil_dry_time_start_6wks,soil_dry_time_end_6wks,root_dry_time_start_6wks,root_dry_time_end_6wks,root_6wks,root_exudate_collect_15wks,incubation_start_15wks,incubation_end_15wks,soil_15wks,soil_dry_time_start_15wks,soil_dry_time_end_15wks,root_dry_time_start_15wks,root_dry_time_end_15wks,root_15wks,notes,week,flush,sample_type,flush_initial_volume,flush_replenish,flush_final_volume,soil_initial_mg,soil_24hrs_mg,soil_final_mg,root_initial_mg,root_final_mg
1,Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,N China 2x Msa,JY027,Q49882,,UI19-00073,JY027,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:28:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,6wks,flush_1,exudate,,,,,,,,
2,Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,N China 2x Msa,JY027,Q49882,,UI19-00073,JY027,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:28:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,6wks,flush_2,exudate,,,,,,,,
3,Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,N China 2x Msa,JY027,Q49882,,UI19-00073,JY027,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:28:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,6wks,,soil,,,,,,,,
4,Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,N China 2x Msa,JY027,Q49882,,UI19-00073,JY027,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:28:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,6wks,,root,,,,,,,,
5,Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,N China 2x Msa,JY027,Q49882,,UI19-00073,JY027,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:28:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,15wks,flush_1,exudate,10,5,10.4,4.0225,0.9415,0.927,0.0253,0.014
6,Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,N China 2x Msa,JY027,Q49882,,UI19-00073,JY027,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:28:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,15wks,flush_2,exudate,10,,10,4.0225,0.9415,0.927,0.0253,0.014
7,Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,N China 2x Msa,JY027,Q49882,,UI19-00073,JY027,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:28:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,15wks,,soil,,,,4.0225,0.9415,0.927,0.0253,0.014
8,Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,N China 2x Msa,JY027,Q49882,,UI19-00073,JY027,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,1,2025/08/05 11:28:00,2025/08/06 10:00:00,1,2025/08/07 16:31:00,2025/08/09 18:24:00,2025/08/07 16:31:00,2025/08/08 16:51:00,1,Was not part of inital 6wk samples,15wks,,root,,,,4.0225,0.9415,0.927,0.0253,0.014
9,Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,N China 2x Msa,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,6wks,flush_1,exudate,,,,,,,,
10,Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,N China 2x Msa,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025/04/15 00:00:00,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,6wks,flush_2,exudate,,,,,,,,
