"ID","Label","miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_6wks","control_15wks vs control_6wks","miscanthus_sacchariflorus_15wks vs control_6wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_15wks vs control_6wks","miscanthus_sacchariflorus_4x_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sinensis_6wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_15wks","miscanthus_floridulus_15wks vs control_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_15wks vs miscanthus_floridulus_6wks","miscanthus_floridulus_15wks vs control_6wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_15wks vs control_15wks","miscanthus_sinensis_15wks vs control_15wks","miscanthus_sacchariflorus_4x_15wks vs control_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_15wks","miscanthus_floridulus_6wks vs control_15wks","miscanthus_sinensis_6wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_6wks vs control_6wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_4x_15wks","mzCloud","mzVault","SIRIUS","control_6wks","control_15wks","miscanthus_sinensis_6wks","miscanthus_sinensis_15wks","miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sacchariflorus_15wks","miscanthus_floridulus_6wks","miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks"
"534","534",-5.867683876951265,-6.653439386917121,-4.7649163587775085,-7.475991577008589,-6.463202139334314,-6.68771237944393,-6.8928895844471185,-7.687395995347941,-5.640087867919512,-3.9696193958394197,-2.3932342465409775,-4.211967271659269,3.334305895170864,3.3676919666378318,3.066385341893781,3.5600518058648376,NA,NA,NA,NA,NA,-0.9085342148935567,0.58981059760562,1.4818156525743902,NA,0.2839036638940371,-4.267681116983404,8.784625542978013,3.383632769872076,-2.9813468149542004,NA,NA,NA,NA,-7.364938470143098,-7.255736521123808,-6.186048285279487,-2.6498407529807366,-1.5223333376767627,-2.651643217463434,-2.058085514324091,1.81519704495836,5.2244926856392695,4.024989144089439,5.191294741311619,7.132337863182045,8.7173962028108,7.3563699019121245,8.180677445921358,0.30590693371158295,1.2763251861317002,7.853433736076063,7.471924371673815,6.874402307432899,7.822541097974831,NA,NA,NA,"4","4","4","3","1","3","3","4","1","4","4"
"932","932",-3.441788758992171,-3.543092165358619,-2.8379481105833833,-3.1204919317371846,-2.9553729241130604,-4.0908388345739795,-4.327566359061734,-2.5539844051694907,-1.9090020348463987,-3.1361718972901684,-2.8487427401237575,-4.417241532871753,-0.8900403676269377,0.3896472099672543,1.4983010858483183,1.7168535444019781,-0.5948850934911363,1.1406678981236595,1.9576768916962592,2.3136350200925158,1.8867949833714128,-0.1754361890665166,1.2742078889511248,1.4064767748206357,NA,-0.577733796750838,-5.378874892312719,5.093740787885224,-0.5726198661266224,-0.43912970662226414,-0.7004534582544828,-0.2639188991942838,0.9486342628319839,0.6951861954653253,-5.6213162665437615,-3.606868669154725,-3.6937480261431084,-0.16287576609354204,-1.0542202480710152,-1.4733825723578668,0.8528353934287409,0.6333967593586927,5.063663887693178,2.9510282338835303,4.6173425939752235,3.29474465531937,4.51308336365927,5.3379544191338475,5.7888193293710515,1.8519416857019628,2.054140817350973,4.1402016488891675,4.594816896369817,5.902481246862976,6.865360962564889,NA,NA,NA,"4","4","4","3","1","4","4","4","4","4","4"
"372","372",-3.4602779349927566,-5.785587296650178,-1.605906735057438,-1.5632098884062415,-3.2544479384700544,-1.914391480359324,-3.3943997798484773,-2.5560992039351014,-2.593369560421557,-1.3784389924215503,-3.0932425797955823,-4.083367163099567,-0.008719272564270852,0.30665991303210305,0.2719848952018964,1.532097266086403,-0.285773718415939,0.03893804968964787,2.344039677933136,0.7440235703332974,2.788062485604325,1.5092820244385443,2.762582108468621,0.9166583515186275,-2.14873337132547,-0.30155730674647074,-4.214023420712948,5.383368114767546,0.7789065351110835,-1.42855472504678,-1.199664964231843,-2.0545520157145667,-0.9976770397920269,0.757472670565356,-7.07830047541319,-3.1996005670238965,-4.295364453302284,0.18500808876816421,-0.39062070549282524,-2.032224097658389,0.05253603873717694,-0.09047746182719862,4.4013606812316866,3.368285707099357,4.168955492279775,4.960055499663838,4.314009055202423,4.533109174025988,6.846212219800165,3.06754048576418,1.2738903154980576,4.847774879049911,4.502294652281019,4.886215407607189,7.282433955259432,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4"
"1972","1972",-4.105581146093034,-4.191469770358619,-2.973912360383359,-3.6412294533472824,-4.025326704085867,-2.9006078805309343,-3.06287801305146,-3.2482226377130594,-3.5905662485854357,-0.49959174822816266,-1.4815245376487916,-3.1431798111840976,1.5183355792432778,1.8764946502874373,2.45453707929585,3.299674576092805,NA,NA,NA,NA,NA,1.318862783906507,2.4567067417002235,1.2417841539585162,NA,-0.5917496051469655,-3.1946915524292443,5.5525332549487345,1.2495644116232256,NA,NA,NA,NA,NA,-6.698002809378089,-2.342063808654242,-3.893975882812626,NA,NA,NA,NA,1.8898190332566358,6.042145072999389,4.140839779652403,5.064575251263204,4.957237628608063,5.201714501073493,5.331270511787174,5.25574613001244,2.9969344603834216,1.7977365414393986,6.169099289517863,5.976126151392116,6.312612803035627,6.0987377463599515,NA,NA,NA,"4","3","4","3","1","1","1","4","2","4","4"
"1187","1187",-3.927286885291423,-4.544189780640117,-3.456295498312379,-2.4366269495932755,-4.000288798374779,-2.3930470853815855,-3.340690267324959,-1.4800878167135636,-2.4692126318579604,-1.3655572933318076,-2.316987414705551,-3.1088440890858458,-0.24846604961438956,1.4003144597094916,1.1973431237866272,2.4147556449605183,-1.7778759586260016,-0.3609731027497034,0.3817744888322139,1.3677426281240912,1.1929778742539447,1.6425443531829487,2.125579991288159,0.48303563810521055,NA,-0.5088449896143246,-3.6558019681831198,6.58029476851868,3.4061240941421573,NA,-2.6230712862400622,-1.6555706266164378,NA,NA,-6.5157134301066755,-4.569629207632477,-5.2113674423803396,0.8763432724757401,NA,NA,2.7871062609857304,2.2031992917779846,6.363744675356511,5.176465031027469,5.901246173790927,3.6483891728011066,4.442505589626283,4.749194208780157,5.103910528675247,2.634424980902484,0.9918806277195351,4.114261112945876,5.368742420946074,5.2396652680778075,5.421002069359304,NA,NA,NA,"4","2","4","4","3","4","4","4","1","4","4"
"1700","1700",-4.07082197572986,-4.014636578244417,-2.134684372304129,-2.6046915014056573,-3.602953073847768,-3.2362890026921427,-2.8520243694787126,-0.37246166413275006,-1.8503877771305,-0.7809446741148314,-2.76170408110978,-3.0140775363430485,-0.16784785588995987,1.8630457254509025,2.940425935633524,1.9249379132807292,-1.740351931420296,1.5206431074153954,-0.6314330130865926,2.3215906529389834,1.9367944824300274,0.7824303856073769,2.047424772685801,0.7841755521769258,NA,-0.5698177708161083,-3.775671069145389,6.306626574332228,3.068016080315548,-1.7716175729016435,-3.3845217706801733,-1.4402761081554232,NA,NA,-7.149221114723797,-3.6507153412717273,-4.6031363934805825,-0.911101785266986,-1.9993346011572193,-1.2449578276258926,1.2258972551328675,0.5981980463058107,4.182054880461152,2.956940775751786,3.6122371096450507,2.628444737826573,4.444330112353214,5.1225263393341685,4.916249715208306,2.4434493791116836,1.2294159395304263,3.3027313174053106,4.679866994229798,6.06214406074325,5.845755792595259,NA,NA,NA,"4","4","4","2","4","4","4","4","1","4","4"
"901","901",-4.139738488530703,-6.130649253317923,-5.276558079734404,-5.15345759938095,-5.045192357354097,-4.10099974929339,-6.014266120423503,-2.97122405757737,-2.978603459874744,-4.011398425017031,-3.4133264203174143,-3.6057912056821984,-0.11182437754640517,1.399327138463942,0.38834195166129604,2.515710131473945,-2.2211291924727057,-0.7823995892077242,0.4660563091412726,1.2469420059781733,3.910239064196368,0.007379402297370774,0.48585582253879167,0.47847642024142445,-1.7887095980498522,-0.28423890009230135,-4.057588526749736,7.309193273685036,3.2402475567599964,NA,-5.04803376599274,-1.2861748556649175,-2.0192345743982685,NA,-7.712607073207646,-6.434486825975977,-5.405219118588111,0.9494537731823769,1.6823965830110907,NA,2.702142782242923,2.1721584164970693,6.901131250485818,5.520219359400279,6.050791278556957,3.4570798801161615,5.220030944824803,4.616405119388915,6.965805275824849,0.7700947226310966,0.7627153203337258,3.7413187802084664,5.901935197885194,5.001095947143913,6.8406952617805565,NA,NA,NA,"4","3","4","4","3","4","4","4","2","4","4"
"1178","1178",-4.094144475686978,-5.733159792203168,-4.072491864060577,-4.522716230339963,-3.711379134188622,-4.392542358112756,-6.347854261425486,-2.7048774308817123,-3.005018189341367,-2.918209390525444,-2.140006467791629,-3.2557228108147136,0.4969762513651155,1.5277380899846413,1.7220401408127834,3.52037236670753,-1.6651061046304072,-0.07834524581242874,1.072215975638251,0.9667028529008874,3.648833573070668,-0.31885047390718313,0.35443957846910834,0.663250423262653,-1.7946722849683425,-0.5701522788458924,-4.392344261042016,6.513460541570719,3.4477444797685948,-2.857850961018972,-2.6459245640065916,-1.3248919429393418,-2.791136042220053,NA,-7.361531315309758,-6.395785876025297,-4.829711721044113,-0.7456835631779377,-0.8880260436840217,-1.7123518444800752,0.8473721457665988,1.0255368921373815,4.921969678640462,3.619803260836086,4.6315246234718614,3.20259574027304,5.2027485832553,4.930946595128017,7.077112381150453,0.9245918573150078,1.2198881143251477,3.94889485005789,5.553321321708072,5.4148687163591624,7.125748409010338,NA,NA,NA,"4","4","4","4","1","4","4","4","3","4","4"
"921","921",-5.0280962618133,-5.147674885310476,-3.9729668708992705,-4.197511844371299,-4.373175461925136,-4.9614735998583654,-4.9280850589418534,-2.11202115535707,-2.1938835836167954,-3.2658061251739596,-3.211891355633309,-4.234975025933213,-0.9899280908898049,2.120650984003621,2.1933312732873738,2.0795163853922816,-2.412032314847533,0.737443590874495,0.5929692744523116,2.9565168944926015,3.0921407416412023,0.08186242825973267,0.5092820405687775,0.4274196123090519,0.3539282897285716,-0.3167203002542962,-4.536693247106353,6.803714948282131,3.494335207605779,-2.923453270464485,-4.517168268490671,-2.0517621631390455,NA,-0.743017293780337,-7.357231996471288,-6.406251826283409,-6.8516829087324,-0.24822556659968953,-1.3731622130553838,-1.1396814109821136,1.8204928767119384,1.1363389559446802,4.673343404485102,3.6514512096773863,4.045311895470782,2.62130319592584,4.995646344541477,5.509921433048206,5.769608579966889,0.8260023408230808,0.7441399125633552,2.9380234961801506,4.575222499588541,5.997606378959112,6.030958103841989,NA,NA,NA,"4","4","4","4","4","4","4","4","1","4","4"
"1639","1639",-4.534658289292878,-4.817825094549267,-4.760340178223995,-5.295182944599556,-5.029239061432644,-5.007158014408592,-5.127363356264588,-2.9126617163249477,-2.8385385481992884,-3.149548323806986,-2.773935848233915,-3.5275004532627605,-0.06793839235427512,3.4627302541658658,2.0662842523822285,2.0822909733265824,-2.551612247423325,NA,NA,1.856248876242688,2.9256226164151045,0.12077956429101278,0.5446913048746964,0.42391174058368364,NA,-0.3089940692871913,-3.832856859692736,5.559797596715573,2.6610371429108746,0.34958787080427456,-1.2433047087569022,1.158222793516888,-0.7349614293687452,0.4253825771484685,-6.046802111523316,-4.521064317428145,-4.8600903028279525,0.5629218778692184,0.6913906483186061,-0.4251825319166578,2.813794829341031,1.910196193563312,6.327221093306175,4.9355487036466315,5.6424631693315135,3.046563547809832,6.126563491614913,5.232225409248514,5.996396602697121,0.8536853741618948,0.732905809870882,2.8805988636715902,6.1289652702317525,5.748041814622969,6.533655839933356,NA,NA,NA,"4","4","4","4","4","4","1","4","4","4","4"
