ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
146,9.400678915944301,22.174528610865277,21.88997394609035,1.4203548245180586e-8,2.4655001445449978e-5,8.331433541713182,control_15wks vs control_6wks,TRUE
125,8.501574925119105,22.050594336886235,20.592518986410607,2.3270411935299648e-8,2.4655001445449978e-5,8.09761696180316,control_15wks vs control_6wks,TRUE
545,7.310544195483729,21.42193826519241,16.13321678420024,1.6524229817905955e-7,1.136127174297587e-4,7.0077314795628745,control_15wks vs control_6wks,TRUE
1264,-6.3753492050423475,20.43035440131025,-15.614517749552848,2.1446478042427314e-7,1.136127174297587e-4,6.8433183725271824,control_15wks vs control_6wks,TRUE
1211,5.721089877273158,20.514933020857903,15.041235503925144,2.888690508162377e-7,1.2242270373592155e-4,6.650033337268173,control_15wks vs control_6wks,TRUE
2495,-5.019702050965606,19.961916443250843,-13.34842514803408,7.437307715646027e-7,2.1155224252444082e-4,5.9984875894498675,control_15wks vs control_6wks,TRUE
666,6.237524466967219,20.694826890773587,13.08862611631506,8.683142106403751e-7,2.1155224252444082e-4,5.886463604861358,control_15wks vs control_6wks,TRUE
815,6.3853889720788075,20.59550689463941,12.936244127178023,9.521397598818614e-7,2.1155224252444082e-4,5.8191132062512185,control_15wks vs control_6wks,TRUE
1447,5.7448074257557735,20.41468806036732,12.837113525159175,1.0115102869296274e-6,2.1155224252444082e-4,5.774630126989283,control_15wks vs control_6wks,TRUE
3584,4.705970509942706,20.013702764337946,12.758684167320613,1.0614166326157064e-6,2.1155224252444082e-4,5.739056703383303,control_15wks vs control_6wks,TRUE
2193,4.6693145309379105,19.950248808810727,12.70347615817061,1.09819474646949e-6,2.1155224252444082e-4,5.713812424312826,control_15wks vs control_6wks,TRUE
46,9.803727374930354,22.502558505555488,12.475805595139756,1.2656451071926924e-6,2.1431333060340418e-4,5.607900953984345,control_15wks vs control_6wks,TRUE
4074,-4.32251024079714,19.53564092688198,-12.238989324058542,1.470671952853197e-6,2.1431333060340418e-4,5.494568328040549,control_15wks vs control_6wks,TRUE
2930,-4.254759031195938,19.45602849062637,-12.2072052940479,1.5009079623744027e-6,2.1431333060340418e-4,5.479105705686788,control_15wks vs control_6wks,TRUE
863,6.163400575538347,21.237796784459526,12.154029180227903,1.5530576642001363e-6,2.1431333060340418e-4,5.4531006621749185,control_15wks vs control_6wks,TRUE
298,-7.347485073290482,21.701657458752525,-11.973370748779729,1.7459218388406325e-6,2.1431333060340418e-4,5.363469547297514,control_15wks vs control_6wks,TRUE
438,-5.5888456323314095,20.170855737120085,-11.921579847665475,1.8060364881654424e-6,2.1431333060340418e-4,5.33740351133971,control_15wks vs control_6wks,TRUE
350,7.2756568261532735,21.67707962709431,11.909405648686961,1.8205002127707764e-6,2.1431333060340418e-4,5.331252041960589,control_15wks vs control_6wks,TRUE
1905,5.470794400000553,20.49257969552948,11.751460231889787,2.0203483860342984e-6,2.2532201210561466e-4,5.250597450468561,control_15wks vs control_6wks,TRUE
611,-5.218043910729257,20.577051298786323,-11.440195022312892,2.4899720548209057e-6,2.2862080824466102e-4,5.086935737465751,control_15wks vs control_6wks,TRUE
1676,5.770362830855198,20.352564885826965,11.371805778561994,2.6087556614911613e-6,2.2862080824466102e-4,5.0501160817751956,control_15wks vs control_6wks,TRUE
606,7.2760263698186485,21.069930664290457,11.358665193086741,2.632295485894724e-6,2.2862080824466102e-4,5.043005177385776,control_15wks vs control_6wks,TRUE
11,-6.111847286935209,20.609601732796666,-11.3410365835642,2.66424787908435e-6,2.2862080824466102e-4,5.033447187949303,control_15wks vs control_6wks,TRUE
3127,-4.425569636082653,19.422033388218868,-11.290253860354648,2.7587362122689503e-6,2.2862080824466102e-4,5.005794948800023,control_15wks vs control_6wks,TRUE
1406,-5.060817411967225,20.272251441144583,-11.27270913472814,2.792244244857843e-6,2.2862080824466102e-4,4.996200401468,control_15wks vs control_6wks,TRUE
2188,-4.220617284354589,19.8247255829259,-11.264718904004553,2.8076546638767378e-6,2.2862080824466102e-4,4.9918238272448825,control_15wks vs control_6wks,TRUE
2637,-4.306168575038399,19.77469010768658,-11.211347720390997,2.913054187166516e-6,2.2862080824466102e-4,4.962477147706888,control_15wks vs control_6wks,TRUE
1833,5.300820903638826,20.299412198447133,11.054425208886121,3.2493899087764865e-6,2.459091863106205e-4,4.875039332176431,control_15wks vs control_6wks,TRUE
112,-6.364414083199737,20.899587811512387,-10.954509752709848,3.486009549910688e-6,2.547191115951982e-4,4.818455759676077,control_15wks vs control_6wks,TRUE
667,-4.3156128400729195,19.68717774147045,-10.783271580550876,3.937527880955623e-6,2.741886622562849e-4,4.719797975955924,control_15wks vs control_6wks,TRUE
161,-6.544796109956518,20.87124950164585,-10.71510535076903,4.135104139498854e-6,2.741886622562849e-4,4.679922610818798,control_15wks vs control_6wks,TRUE
1677,4.94324274807661,20.259672965180833,10.709739429995965,4.151119860744722e-6,2.741886622562849e-4,4.6767689625241875,control_15wks vs control_6wks,TRUE
3901,-4.832202252226168,19.54441251629272,-10.67060218603868,4.270045235704295e-6,2.741886622562849e-4,4.653701891978688,control_15wks vs control_6wks,TRUE
4575,4.9063103605559135,19.171028140279663,10.494638589135612,4.8537743285687895e-6,3.025043471246254e-4,4.548553376288062,control_15wks vs control_6wks,TRUE
2972,4.558215405544175,19.6239109746933,10.447181215055277,5.026058714240434e-6,3.0429195472787086e-4,4.519786718142411,control_15wks vs control_6wks,TRUE
2439,4.788399459518679,20.197747668036374,10.237330403389462,5.8740663700602765e-6,3.412202292191992e-4,4.3904591385459995,control_15wks vs control_6wks,TRUE
4455,-4.374722588330975,18.720652101234375,-10.218402331712529,5.95806912747068e-6,3.412202292191992e-4,4.378621246653109,control_15wks vs control_6wks,TRUE
263,-4.097387634353321,20.329294267195635,-10.135332147983293,6.342892423086329e-6,3.536997116978929e-4,4.3263243209676165,control_15wks vs control_6wks,TRUE
201,7.2134238269072775,20.809619285079062,10.079026920489989,6.6194414093976585e-6,3.596563165772728e-4,4.29055644655628,control_15wks vs control_6wks,TRUE
204,-5.254880858732847,20.337884908069714,-9.999359021087137,7.033950970655664e-6,3.643200321434701e-4,4.239499521623232,control_15wks vs control_6wks,TRUE
1331,5.423657192959702,19.971105997653513,9.996540255297145,7.049137007023254e-6,3.643200321434701e-4,4.237683370638381,control_15wks vs control_6wks,TRUE
3033,-4.132666762761865,19.951134246324184,-9.654066213806214,9.197316800261551e-6,4.640265309465292e-4,4.0119907607577545,control_15wks vs control_6wks,TRUE
4885,-3.3226129753838904,18.938837888336675,-9.623905885610988,9.418951555217425e-6,4.641571708257145e-4,3.9916271025703676,control_15wks vs control_6wks,TRUE
2659,5.376494758199733,19.939716814695867,9.584353638086785,9.718658331785977e-6,4.679484609634652e-4,3.9647999621063192,control_15wks vs control_6wks,TRUE
5734,-3.6815319054685105,19.125041074921217,-9.526203429855608,1.0178737015009765e-5,4.679484609634652e-4,3.925104808028429,control_15wks vs control_6wks,TRUE
2538,3.5664121082380795,19.290241879250857,9.512605312792848,1.0289785626104688e-5,4.679484609634652e-4,3.9157785136193244,control_15wks vs control_6wks,TRUE
364,-5.3234589600053965,20.61996093114546,-9.500643834548722,1.0388583204484095e-5,4.679484609634652e-4,3.907560928142752,control_15wks vs control_6wks,TRUE
2289,5.486219617236351,20.581903107711156,9.475460031515636,1.060005952158864e-5,4.679484609634652e-4,3.8902172670710176,control_15wks vs control_6wks,TRUE
2225,4.649515224731566,20.06910059561829,9.37044525157482,1.15350023809034e-5,4.988300009211083e-4,3.8172727649838283,control_15wks vs control_6wks,TRUE
120,4.7884748856098795,24.274627764803185,9.264225455577513,1.2574893968550262e-5,5.329240063871602e-4,3.742456947829224,control_15wks vs control_6wks,TRUE
4283,-3.9542251216381885,19.191489458823135,-9.164492847270122,1.364686822158468e-5,5.670139953242733e-4,3.671248136034574,control_15wks vs control_6wks,TRUE
1992,5.260140120053869,20.310250530835106,8.93790511473619,1.6480638866794084e-5,6.715860338218589e-4,3.5059224884747255,control_15wks vs control_6wks,TRUE
2485,4.170984001207167,20.010091578865513,8.833157054500843,1.8006994206240606e-5,7.199400136419593e-4,3.4277944487848604,control_15wks vs control_6wks,TRUE
41,-7.5898090707848915,21.938516465861333,-8.783245687546486,1.8789004461041267e-5,7.372944528323416e-4,3.3901814861604898,control_15wks vs control_6wks,TRUE
731,6.25484616929382,20.424891370266312,8.530346077082823,2.337792162239898e-5,9.006875621429714e-4,3.1956885916967543,control_15wks vs control_6wks,TRUE
1801,5.425925689254267,20.572462153249685,8.449620622218166,2.5094851383386626e-5,9.495712514535047e-4,3.1322042006747903,control_15wks vs control_6wks,TRUE
832,-6.0437872460673745,20.13384443509049,-8.403284310774742,2.614328076129516e-5,9.718879286523586e-4,3.095451600062022,control_15wks vs control_6wks,TRUE
2432,5.008852832779965,19.232338243591013,8.31586538650795,2.82561947082403e-5,0.0010323254583924344,3.0254856524796327,control_15wks vs control_6wks,TRUE
5037,-3.105547008415286,18.754176334935625,-8.285983238559806,2.902134515018433e-5,0.0010423089893769593,3.001379598528123,control_15wks vs control_6wks,TRUE
10016,3.7955447607260417,19.34609257624874,8.20867457128537,3.1109697976842484e-5,0.0010986908335488205,2.9385611222380827,control_15wks vs control_6wks,TRUE
270,5.8049112031657835,20.945987974186636,8.172759364887208,3.213613737276803e-5,0.0011163356572605814,2.9091535449858323,control_15wks vs control_6wks,TRUE
1639,-4.760340178223995,20.589791941457708,-8.098459502445248,3.438092102379149e-5,0.0011750511556357123,2.8478608005609978,control_15wks vs control_6wks,TRUE
4673,-3.8688297805809633,19.04725713803597,-8.058477302527567,3.566042771657673e-5,0.0011994356560543823,2.814621805616291,control_15wks vs control_6wks,TRUE
2441,4.321308665878433,19.914637423659915,8.019632284695202,3.695426849203428e-5,0.0012235327333534475,2.7821551720440674,control_15wks vs control_6wks,TRUE
1132,5.254788406018033,20.05598474334282,7.88440258682958,4.188104795458124e-5,0.0013653221633193485,2.66778543551281,control_15wks vs control_6wks,TRUE
769,-5.702897009900642,20.54500761981971,-7.855146703725753,4.3040122446673374e-5,0.001381848779765165,2.6427646475812114,control_15wks vs control_6wks,TRUE
3055,-3.6875927085572897,19.238282274036614,-7.8063591161199355,4.505287020406342e-5,0.001414582521069119,2.60081737537541,control_15wks vs control_6wks,TRUE
1449,-4.801840782598532,19.996767917508166,-7.798310857810733,4.539481426743751e-5,0.001414582521069119,2.593870720276996,control_15wks vs control_6wks,TRUE
804,5.852267418446285,20.90711044396225,7.753109273458396,4.736948751170987e-5,0.0014547238266277276,2.5547142778636314,control_15wks vs control_6wks,TRUE
1283,5.091381691739436,19.694818262045846,7.7240854581339615,4.868748190689811e-5,0.0014588129833948426,2.5294445754446926,control_15wks vs control_6wks,TRUE
5893,-2.899922270787606,18.64403402205694,-7.719929058007471,4.887952893866627e-5,0.0014588129833948426,2.5258175971455845,control_15wks vs control_6wks,TRUE
5152,3.1713117184657165,19.514834206698772,7.687159249042997,5.042337168915647e-5,0.0014839878417961469,2.4971497291907063,control_15wks vs control_6wks,TRUE
851,6.057151036155744,20.460362588586015,7.55763521211726,5.7076076156818096e-5,0.0016567699366616102,2.3825754265502894,control_15wks vs control_6wks,TRUE
1721,-4.47303756040051,19.506841506363862,-7.450663978122139,6.330628955861335e-5,0.001812784156414888,2.286409737813134,control_15wks vs control_6wks,TRUE
1665,-3.5789773377755054,19.598167011869794,-7.360540052815716,6.914188091948975e-5,0.0019534886089119835,2.2042896784428994,control_15wks vs control_6wks,TRUE
3509,3.273391160984005,19.585034648587214,7.3387543709038985,7.064020526972449e-5,0.001969560460086134,2.18428616635285,control_15wks vs control_6wks,TRUE
820,5.443844397243886,20.578281256706,7.325094178666586,7.159798781550471e-5,0.0019703394309227855,2.171712944840058,control_15wks vs control_6wks,TRUE
5980,-2.8477757850673022,18.43899539258559,-7.261904848131259,7.621933234759208e-5,0.0020706251954429183,2.1132443855266416,control_15wks vs control_6wks,TRUE
2475,-3.9660219681483255,19.523289162784135,-7.229995344379972,7.867757216242781e-5,0.0021033679946571913,2.0835257054090857,control_15wks vs control_6wks,TRUE
1393,3.3538122731310622,23.25747708464461,7.220702728493999,7.940983462603836e-5,0.0021033679946571913,2.074846610183606,control_15wks vs control_6wks,TRUE
4445,-3.1023023533177962,18.65398709671109,-7.164207538272484,8.402705048921224e-5,0.00219818913563754,2.0218425377650604,control_15wks vs control_6wks,TRUE
1166,4.7649548327443725,20.788656151252972,7.13735361618982,8.63251325811549e-5,0.0022307677553593565,1.9965035774706497,control_15wks vs control_6wks,TRUE
773,-3.356369049860646,18.902906703098992,-7.068070292639327,9.258141990424782e-5,0.002363614804543387,1.9306957457075224,control_15wks vs control_6wks,TRUE
5689,-3.598137183862818,18.90097256475092,-7.032944467690599,9.594331644790217e-5,0.002401148022708425,1.897091962698152,control_15wks vs control_6wks,TRUE
1517,4.31214619097754,21.53817292402904,7.02139748590032,9.707774631432142e-5,0.002401148022708425,1.8860098620157526,control_15wks vs control_6wks,TRUE
901,-5.276558079734404,21.182936582071456,-7.002462233368822,9.897022920221978e-5,0.002401148022708425,1.8677988428939294,control_15wks vs control_6wks,TRUE
7,4.707385026042843,27.59962493116064,6.996562144914365,9.956820896411137e-5,0.002401148022708425,1.8621147313646862,control_15wks vs control_6wks,TRUE
2342,4.0174939531085165,19.778010021779423,6.9950968882324815,9.971733175948155e-5,0.002401148022708425,1.860702396947982,control_15wks vs control_6wks,TRUE
