ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
76,-5.638553339950956,24.13097159625966,-13.642184046829751,6.055244646895227e-7,9.84611848786823e-4,5.974470254791596,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
1844,-5.618999147218467,20.243309842426463,-12.574011055264021,1.1531367166846587e-6,9.84611848786823e-4,5.530647896772459,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
2212,-5.151808113935928,19.836344390970524,-12.293447351414649,1.3770795087927594e-6,9.84611848786823e-4,5.403831092615301,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
2327,-5.431612709350247,20.12564529777103,-11.025249472962111,3.2245124420688467e-6,0.001545293863866254,4.769851475443598,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
750,-5.431391577379529,21.41359672607606,-10.862793012165403,3.6183272975888784e-6,0.001545293863866254,4.680790273440573,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
189,-5.4662882659684655,22.921274556255185,-10.541684522620791,4.564525969191923e-6,0.001545293863866254,4.499017366696446,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
1226,-5.46272200963606,19.798223223346312,-10.083786781350089,6.427086875598201e-6,0.001545293863866254,4.225964968801783,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
151,-5.924035835390857,23.290366287362897,-9.95645395203752,7.085696604608971e-6,0.001545293863866254,4.147000850250805,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
298,5.282524298395693,20.333344498688525,9.95577826973497,7.089385982035054e-6,0.001545293863866254,4.146578202430144,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
1528,-4.681859378933066,20.201752159841607,-9.93495013593659,7.204167197511674e-6,0.001545293863866254,4.133530993481603,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
4020,-4.689663313698112,19.35022321079164,-9.787542328611826,8.078156696529902e-6,0.0015752405558233308,4.0401328711117674,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
1784,-4.021065351532968,22.597167532008285,-9.445534700574667,1.0597571657641394e-5,0.0017143740675365793,3.8160943396325333,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
6231,-3.8658055344647444,19.46100458363979,-9.43050301843439,1.0726816467605427e-5,0.0017143740675365793,3.806005805395234,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
1671,-5.542496538024341,20.244528698716728,-9.37830792288669,1.1189387853385599e-5,0.0017143740675365793,3.7708134861769125,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
2296,-4.771913015347675,19.985830656997422,-9.252953975845399,1.2393574721982617e-5,0.0017339642489540494,3.6852591676754347,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
3229,-5.171125249380015,19.536766155343038,-9.070639058642993,1.441020520162899e-5,0.0017339642489540494,3.5581701299976487,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
145,-5.740388088994457,19.57995581556167,-9.035798071260901,1.483568996611357e-5,0.0017339642489540494,3.5335178060178247,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
2114,-4.628290867682281,19.891490798140953,-9.03083217699068,1.4897462538554605e-5,0.0017339642489540494,3.529994450267564,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
2456,-5.484043928250429,19.37622690096618,-8.994428307376543,1.5359123883509062e-5,0.0017339642489540494,3.5040916619583893,miscanthus_sacchariflorus_15wks vs control_15wks,TRUE
