ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
308,-7.834499889564647,20.6917324530177,-16.643933543267142,5.5006574055248476e-9,1.0869299033317099e-5,9.686257311223114,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
329,7.319945745051587,22.08282577787833,14.679297227178502,2.000022560745467e-8,1.9760222900165214e-5,8.850657438554004,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
46,-10.129796336489608,21.3265443911269,-13.247467329423165,5.683799760880108e-8,3.743729442499698e-5,8.11689145536483,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
1528,-4.791649224963976,19.667692314329752,-11.795610006699539,1.8269538602121863e-7,9.0251520694482e-5,7.239613009983298,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2433,-4.826970331890291,19.046530896812836,-11.483532645942043,2.386858836261725e-7,9.432866120906338e-5,7.030809985226982,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2456,-4.490138389322322,19.424165831498,-11.181253084930189,3.111035222890812e-7,9.616613252970872e-5,6.821063573426727,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
1065,-5.753501577086123,19.76313448031627,-10.891689871298317,4.0333494952648133e-7,9.616613252970872e-5,6.612923996320907,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2212,-4.700828708783842,19.591751222668183,-10.851603202123036,4.182892103224035e-7,9.616613252970872e-5,6.583536449896499,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
1844,-5.440461668270419,19.788532415073444,-10.801071746527873,4.3800364006446286e-7,9.616613252970872e-5,6.546289723594143,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2296,-5.1548574522293364,19.278872693333657,-10.457759721058896,6.018593562698014e-7,1.1892740879891277e-4,6.28714433234321,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
1226,-4.625963854147546,19.754005915675812,-10.236721239752418,7.419571373442581e-7,1.3328248212656854e-4,6.1145133701835785,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
4020,-4.733562766795547,18.854917207563364,-9.927045956035322,1.0011165690585769e-6,1.6485052837164564e-4,5.8647219798543055,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
836,-5.727801367202481,19.668531155998853,-9.480491988094716,1.5634331756682536e-6,2.3764184270157456e-4,5.487455412172343,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
1671,-5.188981882311598,19.902387838341937,-9.336240302417343,1.8121454306130225e-6,2.3931972562262743e-4,5.361095586813638,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
189,-5.014325565821583,22.645823349746465,-9.33380370251926,1.8166983220341153e-6,2.3931972562262743e-4,5.3589418514323945,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
1784,-4.133534591622578,22.127579452801218,-8.988825855661368,2.605612511646177e-6,3.2179314518830285e-4,5.04737446865912,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
6231,-4.222086536406806,18.86065542902808,-8.684017835138398,3.616463248469794e-6,4.203606693515478e-4,4.760784024092416,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2861,-4.2591963264617085,19.3125154449685,-8.605506901234719,3.940790589878632e-6,4.326112336444542e-4,4.685190610854626,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
920,-5.641249437121932,20.191711468788036,-8.370961465252671,5.111978918145597e-6,4.727941522325397e-4,4.454909216848238,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2245,-4.948630009349213,19.221825120225912,-8.364793510457481,5.147462603354972e-6,4.727941522325397e-4,4.448762094195024,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
1132,-4.667548786734656,19.882849674311043,-8.360223340432384,5.1739260455372e-6,4.727941522325397e-4,4.44420430922324,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
3579,-4.138531229725661,19.267238087871227,-8.344871496091232,5.263902504613296e-6,4.727941522325397e-4,4.428875034621528,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2347,-4.464414699271089,20.071872386281814,-8.23623818894587,5.9510209346647085e-6,5.112703202998898e-4,4.319558483936463,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
70,6.64059507735665,23.772761309347057,8.193920821148575,6.244402958274406e-6,5.141225102312595e-4,4.276572267802505,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
327,-4.962124078879199,21.45525832126847,-7.905357782754422,8.71344883133058e-6,6.619648057024099e-4,3.9773136345976763,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
