ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
125,7.82669602692296,19.62725817174914,15.110116975717053,5.038403913367374e-6,0.004664534473026662,3.595058079866164,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
288,9.380676169803625,19.96655263701671,14.32021895521825,6.913225450271276e-6,0.004664534473026662,3.4401777746476645,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
1528,-6.629347151099694,20.988144251486652,-14.017111957386154,7.840112759576701e-6,0.004664534473026662,3.375982875639438,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
161,-7.105588623136324,21.77511801557867,-13.480452070772362,9.85988137074945e-6,0.004664534473026662,3.2552005822309065,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
1226,-6.621681717203348,21.640474570730873,-12.159726467685122,1.8018467252036815e-5,0.004664534473026662,2.9137745513099267,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
832,-5.650477673315169,21.272245500352454,-11.949921849647998,1.9940843907035818e-05,0.004664534473026662,2.8529896171023745,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
1460,-6.680140903401375,20.44175200625674,-11.896353915182074,2.046913317100489e-5,0.004664534473026662,2.837153497422535,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
534,-7.687395995347941,22.0866601698827,-11.620986884654124,2.345493325305854e-5,0.004664534473026662,2.7536479137193224,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
151,-5.9375990659516305,25.143267534943483,-11.523660789709252,2.4628932943011556e-5,0.004664534473026662,2.7232702115021175,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2861,-5.293456269031985,20.73071357675617,-11.29599251019903,2.7651422099501524e-5,0.004664534473026662,2.6503815871202034,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2495,-5.433244894287398,20.660685837304516,-11.218727737941446,2.877338154159268e-5,0.004664534473026662,2.625048125310916,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2114,-5.89135524037254,21.192529963618735,-11.204005824391873,2.8993094636628312e-5,0.004664534473026662,2.620186123792652,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2245,-5.619519766594305,21.05363751052839,-11.05065533200825,3.14012180507169e-5,0.004664534473026662,2.5688646755000706,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
1671,-5.310331727600122,21.072651450243306,-11.035621719591884,3.1649532941758075e-5,0.004664534473026662,2.5637661980762827,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
171,-6.925976057893678,21.538307574029446,-10.987916154410602,3.245269809619663e-5,0.004664534473026662,2.547506846349628,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
263,-4.9836290243136645,20.716778409601076,-10.311900968345855,4.680627419457694e-5,0.005828268610502531,2.3032982764504295,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
3428,-4.804361197035959,20.541288098627266,-10.255443692392888,4.830733141854806e-5,0.005828268610502531,2.28167720819071,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
597,-4.911637025314665,23.527464058856378,-10.24250968374353,4.865901437339775e-5,0.005828268610502531,2.276696067133078,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
769,-5.749453246063286,21.4799717094156,-9.845365821374195,6.104995448065248e-5,0.006118833461410124,2.1185329679957627,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
4923,-4.81723258059635,19.763159704140993,-9.685390532676575,6.704775980786416e-5,0.006118833461410124,2.0518618539777718,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
438,-6.164811931633796,20.91034124274119,-9.54129913163873,7.303993581055364e-5,0.006118833461410124,1.9902880164792949,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
1264,-5.676802030922548,21.725761660190578,-9.53769938228408,7.319737918561877e-5,0.006118833461410124,1.988730909660398,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
449,5.910189363706458,18.937915030265703,9.536242597419655,7.326120655633682e-5,0.006118833461410124,1.9881004994829619,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2296,-5.298539495244732,21.158854005033028,-9.53035355275156,7.351988508930133e-5,0.006118833461410124,1.9855505205805608,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
4599,-4.68026321844156,19.989039656743035,-9.524745280636848,7.376721279528389e-5,0.006118833461410124,1.9831198060797908,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
3127,-4.279590795579772,20.20828794106694,-9.524246138650494,7.378927179808128e-5,0.006118833461410124,1.982903360636695,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
965,4.610968849890089,19.214378990294627,9.372943319340532,8.084183545831437e-5,0.006121848579842393,1.9164607999427234,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2456,-4.836637160113025,21.0696444020233,-9.338163019406528,8.257133868034106e-5,0.006121848579842393,1.9009501059414733,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
270,5.115534454006667,18.605147955141945,9.237825988508106,8.780549138726718e-5,0.006121848579842393,1.8556969777771153,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2327,-5.918136928500683,21.155361841659072,-9.1553163993285,9.239839070694876e-5,0.006121848579842393,1.817912421534536,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2184,-5.97350194830619,20.598216783696845,-9.122243130101342,9.431692980436127e-5,0.006121848579842393,1.8026198697848708,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
734,-5.672258076977158,21.711133038627125,-9.087836210525737,9.636185557789329e-5,0.006121848579842393,1.7866205424565385,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2243,-5.83342713518126,21.03425346008346,-9.049844508025984,9.867960345158954e-5,0.006121848579842393,1.7688467850352607,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
3480,-4.8130170952077655,20.83557910273118,-9.022205758289246,1.0040625568361515e-4,0.006121848579842393,1.7558451220364768,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
1625,-5.6106577607776025,21.128275002408575,-9.021655605928789,1.0044097747298955e-4,0.006121848579842393,1.7555857098254757,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
3112,-4.930814031707861,20.51130690499665,-8.979556766994566,1.0313957864020415e-4,0.006121848579842393,1.7356636720608458,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
2431,-5.648760747555205,21.176587377365397,-8.950371936735582,1.0505955355017094e-4,0.006121848579842393,1.7217698543001845,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
3055,-4.979523425486317,19.422237486486488,-8.868610002709906,1.1066211714508235e-4,0.006223359828290275,1.6824806813645425,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
1844,-4.780085062825545,21.387101073500364,-8.79265571027014,1.1617790678890093e-4,0.006223359828290275,1.64549387565157,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
3811,-5.225132986891463,20.151231145988714,-8.774486372604663,1.1754400553795516e-4,0.006223359828290275,1.6365755831972724,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks,TRUE
