ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
125,6.689723105988108,21.240864088799974,17.978963005013135,7.062482875211902e-19,1.1730784055726969e-15,32.24562306178856,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
162,6.503922162493733,21.023169385419795,15.19687418887877,1.1280282967219323e-16,9.368275004275647e-14,27.58945083396631,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1312,4.775149267371496,20.056353792707945,14.093241880774992,1.0293026542785071e-15,5.698905695855334e-13,25.519561333112733,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
350,5.563599977042539,20.558834047069837,13.047378653799711,9.412179796650826e-15,3.9084076605592555e-12,23.426991952690976,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1069,-4.964321806879969,21.000761745490298,-11.689496391727863,2.006088993856343e-13,6.664227637590772e-11,20.505086141152702,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1639,-4.534658289292878,20.823412450214278,-10.985253643120332,1.07095889920724e-12,2.964771219305376e-10,18.893142808471318,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
466,-5.238123764399393,22.040494472074318,-10.082828817749384,1.004729297651654e-11,2.3840790905705675e-9,16.72734204171841,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
3319,-3.228587388132084,19.306295298482883,-9.980754845954046,1.3029137673391722e-11,2.705174709437956e-9,16.47518818352402,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2222,3.9484510311110093,20.071307058713334,9.912589823584801,1.5510204989593104e-11,2.757603768601684e-9,16.305985004723247,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
863,5.074884397483039,19.950990028220538,9.877531460376748,1.6968952961789145e-11,2.757603768601684e-9,16.218707056342048,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2511,3.4669407801436805,19.68591388772293,9.84892966245378,1.8262276613256186e-11,2.757603768601684e-9,16.147374965340845,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
270,4.239457004699037,19.68083384002817,9.570779453211202,3.75149544058084e-11,5.19269493900398e-9,15.447694624669415,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
921,-5.0280962618133,21.33155300921477,-9.513421657008433,4.357359149400501e-11,5.403598297483299e-9,15.30206582082163,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
782,5.118743243334762,22.21364950291149,9.496499504893873,4.5545078967348696e-11,5.403598297483299e-9,15.259013504573533,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
75,6.245958422724993,20.726625269293915,9.348994657007708,6.708841421463918e-11,7.428923734034378e-9,14.882050776754747,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
933,-4.7389139459817855,21.421812244795866,-9.270495582968579,8.254030250820518e-11,8.568715154133049e-9,14.680205983535275,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2855,-2.8623326791412858,19.637504561022755,-9.193765755954297,1.0115618784004908e-10,9.495172094856054e-9,14.482085776324867,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
4074,-3.300709190562671,19.652647715050605,-9.187338907825787,1.0289771084130582e-10,9.495172094856054e-9,14.465454415973353,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1169,-4.68404690488866,20.43818888321468,-9.150933509235177,1.1335552351078429e-10,9.909659186916457e-9,14.371137205912126,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1632,3.888920107032252,19.594886053851805,9.126184686035089,1.2107725628877093e-10,1.0055466134782425e-8,14.306914985881606,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1393,4.302269491072963,22.10875284352511,9.105370420227743,1.2798503087728615e-10,1.0123006489865348e-8,14.252837546253614,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2495,-3.9699851410625833,19.769729178061883,-9.06853594040397,1.412088960798267e-10,1.0661271654026917e-8,14.156992195374402,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1332,4.609726570551352,20.38462564737683,8.99533819059453,1.7177014958353332e-10,1.2404792106880385e-8,13.965975631298742,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
