"ID","Label","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_15wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_6wks vs control_6wks","miscanthus_sinensis_15wks vs control_6wks","miscanthus_sacchariflorus_4x_15wks vs control_6wks","miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_6wks","control_15wks vs control_6wks","miscanthus_sacchariflorus_15wks vs control_6wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_6wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_15wks","miscanthus_sacchariflorus_15wks vs control_15wks","miscanthus_sinensis_15wks vs control_15wks","miscanthus_sacchariflorus_4x_15wks vs control_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_6wks vs control_6wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_6wks vs control_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_15wks vs control_6wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_15wks vs control_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks","mzCloud","mzVault","SIRIUS","control_6wks","control_15wks","miscanthus_sinensis_6wks","miscanthus_sinensis_15wks","miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sacchariflorus_15wks","miscanthus_floridulus_6wks","miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks"
"186","Organooxygen compounds | (2,5-Dioxopyrrolidin-1-yl) 3-[3-[3-(2,5-dioxopyrrolidin-1-yl)oxy-3-oxopropoxy]propoxy]propanoate  Δm 0.00 Da  [M+H]+1",-0.8416066687846921,1.302967014765187,2.343824136029813,3.124429722433451,0.5351747544032897,5.40859753740601,1.5551253663299214,-1.755059783137522,1.3096380455143333,1.070040931547748,2.9297073694532614,3.686536947143061,1.3963024096022387,1.9314771640055284,-2.7300564043920623,0.7230545178993992,2.664423545857119,-2.011393128842922,3.7045792448027015,4.469864002505382,2.7535304082818968,0.346197254834955,-1.6240106134912864,NA,4.317281641246794,0.054737607945153144,4.120077423344586,5.246777369451145,4.301523023868363,4.182604673067978,1.8423930112195634,2.714938827906657,5.2932825950754,-2.2902345375408117,2.8804186967702847,1.060347733252307,0.3792603401607906,2.5309264305459216,-1.988612299544112,5.206560155812898,1.0379901419794564,3.837671109699162,-0.26930054179593554,3.691545381463346,1.2654619537105916,-0.6579593712121117,-0.9183357137501709,1.0767369202781154,6.844464850334852,3.1590071133732174,7.601169519920347,5.083428117492527,3.2522411933522157,2.8351378721261575,4.945991337614391,NA,NA,-228.5,"2","3","4","4","4","4","4","4","4","4","4"
"3071","Organooxygen compounds | 1-O-(4-Nitrophenyl)-alpha-L-arabinofuranose 2,3,5-triacetate  Δm 0.00 Da  [M+Na]+1",NA,NA,NA,1.7567083443269915,0.8928572838473485,1.8852788593257799,0.010064274122715489,-4.073890241479564,0.5946351480775718,-0.29799290164902814,0.7090147296232487,6.341709442675551,1.614502298413818,0.9633942365667174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0791849523203645,NA,NA,NA,NA,3.2385404460409735,-4.386846136498793,2.4325733221745445,0.2781681412015864,0.855414666230331,1.1546237130398183,NA,1.6871196853954231,1.4220484755094382,NA,NA,NA,NA,NA,NA,NA,6.198375935523625,4.711408391693421,6.222011466293711,5.91516669146899,5.101893377189729,4.269780921501084,5.859282192849879,NA,NA,-209.08,"2","2","3","4","3","1","3","2","4","4","4"
"5463","Carboxylic acids and derivatives | 2,4,6-Trimethyl-2,4,6-trihydroxycyclohexanetrisiloxane  Δm 0.00 Da  [M+H]+1",NA,-2.4853304788601527,NA,1.9875052637382709,-3.03366069886059,2.3402034119666126,1.3136348399469746,-5.164408097042539,0.8278672588382783,0.810392899287816,-1.968102142826794,1.6258529266750372,-0.20267254440208404,-3.155780496100629,NA,-4.061435963311233,NA,NA,NA,NA,3.1558636441594636,NA,2.3509794686515946,NA,NA,NA,NA,4.138929785547042,NA,NA,3.0322043424406644,NA,2.7179245801907683,-1.8285254710771248,5.243172754743981,4.101896427324345,3.5893556620183915,1.384519187556922,1.7085834014210555,4.902177756318583,3.8791727564892824,5.233855691821308,3.81850918557555,5.140175514843943,5.012912066642549,4.024684524529562,3.582438481030138,1.4227248904754788,6.898004487788075,5.459574743345524,6.564501824605841,6.278724924451598,5.512638764601721,4.943734543527722,2.93433300083759,NA,NA,-58.660000000000004,"3","3","2","4","4","1","3","4","4","4","4"
"1254","Carboxylic acids and derivatives | 4-[dichloro-[(2S)-4-oxooxetan-2-yl]methyl]-2,2,6,6-tetramethylheptane-3,5-dione  Δm 0.00 Da  [M+2H]+2",-3.117179412603541,-4.212280973996609,-3.4744283314708575,2.229532869645322,-1.1205770831286728,2.1257637951933255,1.4588160344372412,-0.17333467348058207,4.686512084022702,1.4551097906394403,0.27431034288848366,0.841556887722156,1.7887992973702396,0.6682222142415704,-0.80845919273874145,-0.9563694361986101,0.7683870704918334,-0.8548757626176275,1.0145025997308572,0.8391818839424339,1.9138749895133245,0.11330856554798174,1.095385356256294,-2.6804642891750206,-2.2587282908834894,-2.2406046098238974,2.7721321502641203,5.544245328313156,NA,3.379358773663384,3.9315462804034738,3.181654389711934,4.2370617037650256,0.9472424096480871,3.558658974294943,6.336958120158519,2.381344868086618,1.411920620866983,1.4691466013898022,3.4183263284119896,2.548561619799589,1.708381355201002,0.7331067933816264,3.6553626591090485,1.375878145058799,3.957458808680272,0.69717476120577615,-0.5793155867114805,2.5523483187977405,1.4203265609343667,4.4757588340348775,2.2489542996840797,4.264817005333974,1.5692471855213022,0.33400636993368593,NA,NA,-189.69,"4","1","4","4","4","4","1","4","4","4","4"
"321","Prenol lipids | 9-Chlorononanoic acid  Δm -53.99 Da  [M+H]+1",NA,NA,NA,4.195553102485285,4.104524370149782,4.543096775045829,0.7899971611889427,-2.831893925899429,4.19125521975484,1.7309073762055789,0.6864217189007249,0.8137232869000535,-6.001560433573303,-1.2276892284336434,NA,NA,NA,-3.835701400517493,4.15714677153797,NA,NA,-1.2230252460087456,-1.0117882243081837,NA,NA,-4.258169211909415,3.582175007302588,NA,NA,NA,NA,NA,4.215107201479746,-6.879040599574161,NA,NA,NA,NA,NA,NA,-2.848923914198547,5.973350952717123,1.6411505392653964,4.993067330301297,6.81646588549251,5.641829020485378,2.574176757845521,2.5475185916592658,6.573678629177568,2.3015952967182365,7.019062877349796,6.5248427229080725,5.855855137162102,3.3354480090164316,3.5971231811243847,86.9,93.4,-48.160000000000004,"3","2","4","4","4","2","1","4","4","3","4"
"164","Flavonoids | Schaftoside  Δm 0.00 Da  [M+H]+1",-0.15620473563528137,1.4495839174400729,2.9532128473186674,3.107864648515079,-2.6114536980927987,4.703384845940938,-2.723593971290036,-1.9319678799305962,-0.5461642468893402,-0.8278543771365428,1.0545677781949614,-2.2265717987804194,-1.547085980618224,-4.158539678711016,-3.8674640959148725,-1.7592130022451506,2.213219744853806,-5.7169878333496555,7.523080916409935,5.935654458299034,4.520063894852441,-1.8686515000411816,-3.3689806929694015,NA,5.4625464173759894,-2.19268442135526,7.223129146010685,7.92641491657125,5.564462154582838,5.212612793495154,3.7906174233693832,1.8960370652742213,4.684634520290768,0.6794858181622025,5.808992370249484,2.065289451203448,1.976532048922408,3.3907567776825545,-1.5746593760324998,7.880243148332841,-0.14987877224399782,9.485027509187308,1.3839119766382098,9.453621266190108,7.3616876030366285,3.6123754318216754,3.393975695684528,4.973327063113512,6.738180057781445,-0.8034237996759188,7.011596153250039,5.729320465587911,1.3858036330412489,1.1924174352503236,2.7272776872730446,86.4,88.6,-7.6,"1","2","4","4","4","4","4","4","4","4","4"
"378","Benzene and substituted derivatives | Henryoside  Δm 0.00 Da  [M+Na]+1",-1.0829201283066645,-1.2893051805882116,0.8139038840921842,1.4010823728891744,-2.942413273951999,2.5846452187524456,-1.485564582456135,-3.512721653447745,-0.13851206379550263,-1.0234334992895953,-1.0734139183304379,-2.3528205762229106,-2.923128955718642,-5.865542229670648,-2.6206701727878254,-2.497472622440913,0.7093549306222293,-2.6705771798515876,2.9598503860032004,3.3894280589093313,3.279703819658227,-0.24228085495046514,-0.19960787591933737,NA,2.6955346885286495,-1.6949298756284286,3.1266230374691943,5.727586194809518,2.64016796186554,3.5986693164596666,3.732272484590336,1.264883448547259,3.05267101725552,-0.5703083794957422,4.696512241726818,2.793320312557281,1.9113691541257296,1.8938859796438372,-0.155011769245327,5.269981017347057,1.6034970757762785,8.44799929554727,4.477172888886134,8.709220790086093,6.956149027169218,5.95940308979846,4.838835625142519,4.940389434205237,5.552196520350996,2.1708462222259293,5.327896175442358,5.436480138933138,3.6309986396821046,2.456773415943868,2.334414224454129,70.5,NA,-362.96999999999997,"2","3","4","4","4","4","4","4","4","4","4"
"157","Carboxylic acids and derivatives | Metamitron  Δm 0.00 Da  [M+H]+1",0.6021205199581914,2.847284680036605,3.1977011300988067,7.599822416059782,3.177563941360198,6.911026349805933,3.8166836183332684,2.4942641075876004,2.6134569623826103,3.5128790640133047,5.758667433369549,-4.849348953430788,-4.245876434508293,-1.3828015359036634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5893649487106885,1.7167685422064842,NA,3.3525241626750564,4.157680674773825,NA,NA,NA,7.290078174442211,-0.39675352857306123,3.7050561372635684,-0.751253770275202,0.5747765288576474,2.628689827786477,NA,4.143322038548245,1.1836684761565763,8.61873998115017,5.151536030989519,8.120913911852671,8.809122504663435,4.449989308790062,4.765940054466586,6.821535907795049,4.1773890485760745,0.5790502218515208,4.275351437574628,3.6149805679690488,-0.6093758263193116,1.033216734143025,2.1182721425523106,71.7,NA,-94.78,"2","1","3","4","4","2","4","4","4","4","4"
"329","Carboxylic acids and derivatives | [[bis(prop-2-enyl)amino]-[(1-ethenylcyclopentyl)-prop-2-enylamino]carbamoyl] N,N-bis[bis(prop-2-enyl)amino]carbamoperoxoate  Δm 0.00 Da  [M+2H]+2",0.405761097977166,-1.6230143557814571,2.8374712092083882,5.129724960718839,0.05228939530223542,6.413810541007539,2.0114573406924556,1.8309998649459942,2.142117461000222,2.950655842501469,0.6969103271039501,-1.737512131016235,0.04119833862752387,0.09348773392975929,-1.1886736480975593,-4.0789775486673285,1.3823562253856103,-2.855000170644896,4.451593636813563,3.4840337214447565,6.006189914757272,-0.911792309486561,1.3410844200208594,-2.0128817328831303,4.2046418319516405,-0.3869958626783614,6.348682381222179,8.775122001136296,5.946223120115157,5.406456999875132,7.362917232398875,4.389307584714196,8.82131520717088,1.7787104696437588,4.388441426224009,2.502183553710047,2.858555734748446,0.6446209318017218,2.108131169066926,6.468552301230453,2.0273993210688275,6.737111955942023,1.8988268106145263,8.959866940992665,4.082018275508659,2.2004420748805735,2.814812974679093,0.6034225931741943,4.739024494080365,0.1479635691782839,6.962310988478006,2.4785692095728677,0.6354462734687694,1.0283740751727386,-1.1340895378420441,NA,NA,-329.52,"4","2","4","4","4","4","4","4","4","4","4"
"235","Carboxylic acids and derivatives | Dihydronorguaiaretic acid  Δm 21.98 Da  [M+K]+1",0.4048099619251282,0.6942254528673715,1.925569037201047,3.1948805840357473,1.5894063583531555,7.0749144950389145,2.9050069991536276,2.0549699270951223,1.2693115468347038,1.5505887731291388,1.9635369997020788,-2.075072321272369,-1.609508752530406,-0.020102394177239802,-1.5189776088245495,-1.2313435843336755,4.591941313619053,-0.47211070948472056,4.963806448049091,5.573821193131799,5.353040093146927,1.1956749696424396,1.0198081753562782,NA,6.578303235305299,1.6114810664432753,4.523727194342182,6.507539449403218,6.36072795815765,5.70727733887016,5.613043264443398,4.405464142291645,7.368879609061587,0.46556356874195615,1.6054742256825882,-0.3200948115184623,-0.0010359684848175732,0.3741306413489127,-0.33993441843094274,5.2688029019017755,1.3587574146080605,8.0197705872168,2.972861762961273,7.742323701287159,3.214982978212987,1.2894139410119436,1.7081885738011096,1.9836393938793186,5.470743329009689,0.968227701653511,5.936666067916722,1.139910656940625,-0.7856583802604256,-0.5403851111400471,-0.09143292739305053,66.5,NA,-229.20999999999998,"1","3","4","4","4","4","4","4","4","4","4"
