ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
146,10.051611494349906,21.849062321662476,22.470822530498182,7.871615753816975e-9,2.659818963214756e-5,8.041081009523467,control_15wks vs control_6wks,TRUE
545,9.209630936339178,20.472394894764683,18.651986149719175,3.689640808203173e-8,6.233648145459262e-5,7.394261643867835,control_15wks vs control_6wks,TRUE
1676,6.934390303696347,19.77055114940639,16.06722040346161,1.260405859271795e-7,8.576491829869677e-5,6.771944235429108,control_15wks vs control_6wks,TRUE
1447,6.7214549144923375,19.926364315999038,15.895510797661384,1.3765064844916126e-7,8.576491829869677e-5,6.723530197874793,control_15wks vs control_6wks,TRUE
606,7.537226827147979,20.939330435625795,15.768595137596023,1.4699893719726245e-7,8.576491829869677e-5,6.6870980508695075,control_15wks vs control_6wks,TRUE
1264,-7.425544503376024,19.905256752143412,-15.490593517086158,1.7005243227770904e-7,8.576491829869677e-5,6.605316149431702,control_15wks vs control_6wks,TRUE
1406,-6.864440120963462,19.370440086646465,-15.389239040796461,1.7943824320381074e-7,8.576491829869677e-5,6.574806868374467,control_15wks vs control_6wks,TRUE
125,9.813034131074982,21.394864733908292,15.141786740446385,2.0487560985900682e-7,8.576491829869677e-5,6.498715398612675,control_15wks vs control_6wks,TRUE
298,-9.098562392622014,20.82611879908676,-14.859930607843348,2.38865196849471e-7,8.576491829869677e-5,6.409183558763135,control_15wks vs control_6wks,TRUE
350,9.528793774362503,20.5505111529897,14.506344566022058,2.907164999649193e-7,8.576491829869677e-5,6.292364243157601,control_15wks vs control_6wks,TRUE
161,-7.53159443490469,20.37785033917176,-14.500012783338345,2.91752818720452e-7,8.576491829869677e-5,6.290225173925321,control_15wks vs control_6wks,TRUE
1833,6.903160744491711,19.49824227802069,14.423648207192858,3.0458094690274086e-7,8.576491829869677e-5,6.264293370328397,control_15wks vs control_6wks,TRUE
3901,-5.7453091684796505,19.08785905816598,-14.07420372746552,3.71883883699938e-7,9.666120330939158e-5,6.142413975082868,control_15wks vs control_6wks,TRUE
731,7.4426957398007865,19.830966585012828,13.728012530870878,4.552958841777391e-7,1.0988891375975576e-4,6.016257917521783,control_15wks vs control_6wks,TRUE
863,7.752811152902332,20.443091495777534,13.4218843877151,5.4667622750804755e-07,1.1993956727301573e-4,5.899980514671335,control_15wks vs control_6wks,TRUE
11,-6.878810364042977,20.22612019424278,-13.358847438444593,5.679292916153452e-7,1.1993956727301573e-4,5.875466557130484,control_15wks vs control_6wks,TRUE
364,-6.358197063726649,20.102591879284834,-13.158705638166882,6.417484580332008e-7,1.2755694351142266e-4,5.796305565101126,control_15wks vs control_6wks,TRUE
46,10.795284115147865,22.006780135446732,12.951921008635226,7.294227091852648e-7,1.3692885190761165e-4,5.712341486316515,control_15wks vs control_6wks,TRUE
112,-7.032547222722922,20.56552124175079,-12.714200073311432,8.47081331097092e-7,1.502744342420161e-4,5.612991350318835,control_15wks vs control_6wks,TRUE
666,7.42955744129663,20.098810403608883,12.576963749753144,9.245358210537058e-7,1.502744342420161e-4,5.554219077845079,control_15wks vs control_6wks,TRUE
2495,-5.555592667529567,19.693971134968866,-12.520777408370229,9.584946997156646e-7,1.502744342420161e-4,5.529850833290715,control_15wks vs control_6wks,TRUE
263,-5.380984235910308,19.687495966417146,-12.417666109509511,1.0244862197115977e-6,1.502744342420161e-4,5.4846612078204915,control_15wks vs control_6wks,TRUE
1677,6.292244614765984,19.585172031836144,12.415586213261854,1.0258683755313532e-6,1.502744342420161e-4,5.483743360132075,control_15wks vs control_6wks,TRUE
4074,-4.967480523083005,19.213155785739048,-12.354570385710081,1.0673531878687145e-6,1.502744342420161e-4,5.456705368631147,control_15wks vs control_6wks,TRUE
2225,6.3947940925281195,19.196461161720016,12.281537493485613,1.119481621129448e-6,1.5130913591185618e-4,5.424055363449807,control_15wks vs control_6wks,TRUE
3127,-5.225794091522079,19.021921160499154,-12.061882599049534,1.2941327048837102e-6,1.681874773000791e-4,5.32393753088972,control_15wks vs control_6wks,TRUE
667,-4.98087427016041,19.354547026426705,-11.816640606784395,1.5258341862876621e-6,1.9095532279503742e-4,5.208656298177686,control_15wks vs control_6wks,TRUE
2659,5.713104881322806,19.77141175313433,11.711063713696612,1.63950097299369e-6,1.9785263527663136e-4,5.157855775156901,control_15wks vs control_6wks,TRUE
201,8.16550062547882,20.333580885793285,11.610364191569387,1.7567504942429456e-6,2.0469172138092804e-4,5.108729117053776,control_15wks vs control_6wks,TRUE
2188,-4.894070126025561,19.48799916209041,-11.448812992696567,1.964831660033465e-6,2.155715329168379e-4,5.02851616168931,control_15wks vs control_6wks,TRUE
204,-6.131962809377754,19.89934393274726,-11.439439239941573,1.977720485475577e-6,2.155715329168379e-4,5.0238082391892425,control_15wks vs control_6wks,TRUE
2193,5.647185351409547,19.461313398574905,11.140059300498365,2.443213485060956e-6,2.5798807393815536e-4,4.870270156808329,control_15wks vs control_6wks,TRUE
1905,6.7892570826037115,19.833348354227898,11.07130491661193,2.5665608750654547e-6,2.628002786923082e-4,4.834121956095905,control_15wks vs control_6wks,TRUE
2342,5.077848831575494,19.247832582545932,10.702534486729764,3.358298386613073e-6,3.252934865396998e-4,4.634355357240824,control_15wks vs control_6wks,TRUE
2441,5.237377513503677,19.45660299984729,10.698067611047282,3.36942054717061e-6,3.252934865396998e-4,4.631873373733288,control_15wks vs control_6wks,TRUE
438,-5.89501195710848,20.01777257473155,-10.659945333736726,3.4660240394169642e-6,3.2532486747749787e-4,4.610629091615876,control_15wks vs control_6wks,TRUE
1331,6.24090156543819,19.562483811414268,10.564250506163711,3.7223555589923737e-6,3.3299042766188244e-4,4.556809324194174,control_15wks vs control_6wks,TRUE
1211,6.201261103247038,20.274847407870958,10.556226600858663,3.7447872894795893e-6,3.3299042766188244e-4,4.552264364091866,control_15wks vs control_6wks,TRUE
815,7.042215146083279,20.267093807637167,10.415502090713487,4.163638310889019e-6,3.6074189365369215e-4,4.471732730595446,control_15wks vs control_6wks,TRUE
270,7.3049518797677955,20.19596763588563,10.21079142441949,4.868899012229084e-6,4.1130024405805184e-4,4.351755961778083,control_15wks vs control_6wks,TRUE
1992,6.380262440770114,19.75018937047698,10.006871445686421,5.705690539057265e-6,4.63510305146709e-4,4.22881012917425,control_15wks vs control_6wks,TRUE
4575,4.745342784395795,19.251511928359726,9.986810994451018,5.796277105115257e-6,4.63510305146709e-4,4.216526051830226,control_15wks vs control_6wks,TRUE
5734,-4.337892432937117,18.796860811186914,-9.96459289299747,5.898473844719884e-6,4.63510305146709e-4,4.202880610377007,control_15wks vs control_6wks,TRUE
1801,6.343341858254966,20.11375406874934,9.923277439543407,6.09387105388631e-6,4.6798159752458734e-4,4.177393744440329,control_15wks vs control_6wks,TRUE
2538,4.4399094112549164,18.85349322774244,9.8473319074856,6.472060705944493e-6,4.859798472308098e-4,4.130159158594229,control_15wks vs control_6wks,TRUE
611,-5.725773175047394,20.323186666627258,-9.51979692884357,8.430027937146686e-6,6.192405304264925e-4,3.9205959184704886,control_15wks vs control_6wks,TRUE
4891,-4.1462684305277975,18.951579002306623,-9.450377102966836,8.924572497242348e-6,6.416197971953595e-4,3.874928082512013,control_15wks vs control_6wks,TRUE
6213,-4.141157950674028,18.612489693619075,-9.392277287573345,9.363257353313717e-6,6.591343041009801e-4,3.8363622627614893,control_15wks vs control_6wks,TRUE
2972,5.21276573851091,19.296635808209928,9.28083702075,1.0273175251961714e-5,7.084297791097679e-4,3.7614989942967965,control_15wks vs control_6wks,TRUE
1721,-4.968752985138149,19.258983793995043,-9.239080622671818,1.0639013794985756e-5,7.123477580087145e-4,3.7331428427222457,control_15wks vs control_6wks,TRUE
769,-5.764846289608865,20.5140329799656,-9.226547013441207,1.0751623456183617e-5,7.123477580087145e-4,3.7245987134457126,control_15wks vs control_6wks,TRUE
851,6.597494306729821,20.190190953298977,9.097148711047726,1.1994692536272256e-5,7.641553479274196e-4,3.6354957318517966,control_15wks vs control_6wks,TRUE
1213,6.147756283403709,19.63394199616629,9.094850860227444,1.2018159890817904e-5,7.641553479274196e-4,3.6338986235595163,control_15wks vs control_6wks,TRUE
2637,-5.347794772834135,19.253877008788713,-9.07605748378459,1.2212012071050801e-5,7.641553479274196e-4,3.6208168231604594,control_15wks vs control_6wks,TRUE
4455,-4.397130749978565,18.70944802041058,-9.05388404901547,1.2445196221855428e-5,7.645876006118089e-4,3.605337259860094,control_15wks vs control_6wks,TRUE
6124,4.242619249739398,18.955031138226218,9.007721392533748,1.2946647303012079e-5,7.757634602271925e-4,3.572953664887444,control_15wks vs control_6wks,TRUE
1233,6.36566630204511,19.55519353021308,8.992521094743568,1.31166291265409e-5,7.757634602271925e-4,3.5622439102498182,control_15wks vs control_6wks,TRUE
832,-6.350990357322395,19.98024287946298,-8.974980820678965,1.331585696749842e-5,7.757634602271925e-4,3.5498566628001784,control_15wks vs control_6wks,TRUE
10016,4.698045195735045,18.89484235874424,8.950852307889718,1.3595413371765086e-5,7.786254539524444e-4,3.532766105125778,control_15wks vs control_6wks,TRUE
6464,-4.1724749222182815,18.919352717369186,-8.92889104594121,1.3855518076616025e-5,7.802965930147591e-4,3.5171595441796244,control_15wks vs control_6wks,TRUE
3584,6.065561927829808,19.33390705539439,8.893788855722008,1.4282780723897093e-5,7.911723945253816e-4,3.492112948885995,control_15wks vs control_6wks,TRUE
4885,-3.6917880493733932,18.754250351341923,-8.829673426435761,1.5101366077360062e-5,8.230244512161234e-4,3.446039786752473,control_15wks vs control_6wks,TRUE
2930,-4.529793379602278,19.318511316423198,-8.741560432321586,1.6312335928241498e-5,8.749108428813972e-4,3.38203059496571,control_15wks vs control_6wks,TRUE
820,6.419277237275395,20.09056483669025,8.722292259223051,1.6591236028048235e-5,8.759654146683591e-4,3.367925695622646,control_15wks vs control_6wks,TRUE
5152,4.44485270551019,18.878063713176537,8.647931091763182,1.7718159602200202e-5,9.210717122436074e-4,3.313125253465345,control_15wks vs control_6wks,TRUE
120,4.7884748856098795,24.274627764803185,8.599204395136127,1.8502440634229343e-5,9.472688924706204e-4,3.276898633047412,control_15wks vs control_6wks,TRUE
3437,-4.371818906543396,19.04060867813001,-8.552084546807036,1.929754322955258e-5,9.732298294426591e-4,3.2416253888527633,control_15wks vs control_6wks,TRUE
1449,-6.058889423684803,19.36824359696503,-8.522807558929049,1.9810568133756313e-5,9.839887881800849e-4,3.2195887704001906,control_15wks vs control_6wks,TRUE
2289,5.902419417894624,20.37380320738202,8.507029682695062,2.009328984445867e-5,9.839887881800849e-4,3.207674436905447,control_15wks vs control_6wks,TRUE
2548,5.703173560124519,19.48662921764784,8.357560378232948,2.3004611352715365e-5,0.0011104654537260747,3.093457043681078,control_15wks vs control_6wks,TRUE
5893,-3.815515216140085,18.1862375493807,-8.26262622180254,2.509459497757267e-5,0.001153855791716807,3.019628146696541,control_15wks vs control_6wks,TRUE
2881,3.3964810416772053,17.76932623198567,8.254070065524166,2.5293036748900682e-5,0.001153855791716807,3.012924459831381,control_15wks vs control_6wks,TRUE
3033,-5.081491260207017,19.476721997601608,-8.248654252092916,2.5419541245626075e-5,0.001153855791716807,3.0086769381317007,control_15wks vs control_6wks,TRUE
1128,-4.234066244315013,18.31077442815676,-8.246110130444926,2.5479209081299723e-5,0.001153855791716807,3.0066804868774737,control_15wks vs control_6wks,TRUE
3350,6.196123882063919,19.294944360802276,8.240518902345105,2.5610886173057272e-5,0.001153855791716807,3.0022903051853786,control_15wks vs control_6wks,TRUE
2439,5.142534258110185,20.02068026874062,8.156471656279063,2.768366148722354e-5,0.0012308301600701098,2.93586919020444,control_15wks vs control_6wks,TRUE
6731,-3.692678277626907,18.157421243136,-8.127383754293414,2.8443680687488486e-5,0.0012481973641951117,2.9126933926986007,control_15wks vs control_6wks,TRUE
2578,5.526588412045765,19.356551783077297,8.100300011002446,2.9172108941327572e-5,0.0012637507193941776,2.8910267974908406,control_15wks vs control_6wks,TRUE
3055,-4.182486580121093,18.990835338254715,-8.016293051289635,3.1565884111294497e-5,0.001350140790026128,2.823281045802477,control_15wks vs control_6wks,TRUE
736,6.871557999957911,20.221093012563596,8.002951957754952,3.1965636115024475e-5,0.001350148555408346,2.8124465442286786,control_15wks vs control_6wks,TRUE
3237,-3.7710562279749382,18.267525336968482,-7.988843508145962,3.239447536979023e-5,0.0013513695342533482,2.800966113810982,control_15wks vs control_6wks,TRUE
1132,5.911951940715351,19.727402975994167,7.946415131802451,3.372289129195584e-5,0.0013896298740916928,2.766299570802974,control_15wks vs control_6wks,TRUE
