ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
2126,5.846277594230354,17.750935662695714,12.491449439624096,1.1932384770264253e-10,5.540206248833693e-7,13.410893632933853,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
2468,6.183354122181967,17.795403164927926,11.860905845810807,2.8858591464487227e-10,6.69952200848071e-7,12.717960182297293,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
4744,4.897062843984884,17.4787273933075,10.199961749907388,3.5523692075380808e-9,5.49788341019977e-6,10.668896504190606,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
4659,4.890823481403274,17.50317524841469,9.386410501023157,1.353848247014828e-8,1.2613964193455274e-5,9.533814218910283,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
5966,4.391268060465915,17.302453029808063,9.38443334340675,1.3583851166762086e-8,1.2613964193455274e-5,9.530942015309595,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
2848,4.4935918834260065,17.505591709332606,9.064461613389295,2.348843531206219e-8,1.817613419231746e-5,9.058626621833302,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
6421,4.369701912884565,17.289443809672992,8.17691519456223,1.1470031246210922e-7,7.607907868022473e-5,7.668178578349665,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
1729,6.34095642825698,18.18191627637195,7.935839800262462,1.795796593601039e-7,8.870497794103013e-5,7.269483442781593,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
11464,3.7566029188517227,17.249794183813897,7.867322092121397,2.0426827397864323e-7,8.870497794103013e-5,7.154495971148923,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
3799,4.593541951232329,18.071545975849958,7.860415160927922,2.0694520305397723e-7,8.870497794103013e-5,7.142863442488616,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
2017,5.744503228574398,17.99071451898423,7.852251751802182,2.1015609678038585e-7,8.870497794103013e-5,7.129105035517967,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
7217,4.03439675281572,17.46544831840471,7.740940479090801,2.59478658075498e-7,9.80504626683574e-5,6.9404494723802665,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
2412,4.966752928647491,17.602893967718447,7.711311354135212,2.7453284830683744e-7,9.80504626683574e-5,6.889901123839636,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
3125,5.727248148968727,17.80467073668715,6.9365966269419195,1.2509051831124e-6,3.9026315786226147e-4,5.518542876729456,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
10434,3.853370272919694,17.309324713027554,6.932672502652592,1.2608114081270562e-6,3.9026315786226147e-4,5.511353320102782,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
8280,3.66610775539894,17.378710905322993,6.7881070071106695,1.6884302476347387e-6,4.899613524855058e-4,5.244792348417936,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
403,8.21468572217508,18.365346205021172,6.750762623397457,1.8215673900026941e-6,4.975021995166182e-4,5.1753987110151956,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
683,7.273055177482465,18.53767416714629,6.614059743740908,2.4087876546782646e-6,6.213333933706213e-4,4.919513532225021,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
10084,3.461622661765798,17.28204305193876,6.43344246879794,3.4977758570510907e-6,8.547459633835902e-4,4.576980473420986,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
163,-6.3257144575439135,22.52255220559475,-6.338542399289101,4.262411736548308e-6,9.321873332519222e-4,4.395003067171991,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
4036,4.957410246948545,17.645108407443878,6.330992292568792,4.330205804303749e-6,9.321873332519222e-4,4.380466557410329,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
8767,4.075206120116832,17.374389140555202,6.3215021571091174,4.416997917627027e-6,9.321873332519222e-4,4.362182627594431,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
9087,3.707378917954884,17.44123089226384,6.170610120499088,6.065181361870608e-6,0.0012243755244854449,4.0696569800183715,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
4411,4.071834679239959,17.426444391380418,6.144239627589124,6.412720108205783e-6,0.001234135122432931,4.018186903850563,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
15848,3.147385138112945,17.24555322077445,6.127412017258208,6.6451385011465154e-6,0.001234135122432931,3.9852892371288045,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
6493,4.115254222112348,17.63019100559797,6.05456303503481,7.755683994366381e-6,0.0013849861840708887,3.8423936798788967,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
8832,3.0570421558572853,17.4171928799525,5.964049946956492,9.406197924660969e-6,0.0016175176653407733,3.6637812022274217,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
6138,2.9996811279082642,17.350286378389942,5.91702711838339,1.0402098274036484e-5,0.00169673727968147,3.570528676714054,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
1684,6.081084119354998,18.461603553810797,5.908334103826213,1.059775600059501e-5,0.00169673727968147,3.5532551159549053,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
4662,3.7285595948357546,17.674551212496123,5.863595940390106,1.166615001368214e-5,0.0018055311504508727,3.464190292815423,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
7246,3.353123834605615,17.534895928260834,5.835844553887802,1.238386070144827e-5,0.0018547827495749782,3.4088028687529013,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
2371,5.721002632994541,17.91234490538919,5.689733615021946,1.6983672930531566e-5,0.0024642247942643146,3.1154537638721775,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
8256,3.41791834716496,17.797160515098565,5.653288411128521,1.8383095605573846e-5,0.00258644584535392,3.0418365678947277,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
10240,2.8494443088818358,17.19771975451462,5.6276062149827055,1.943975105324427e-5,0.002587572960436162,2.9898553416030174,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
2936,5.996655638993108,17.885007003633394,5.626050595877578,1.950571906423986e-5,0.002587572960436162,2.9867039793845818,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
1913,6.000279535672796,18.322455260449615,5.605285617505325,2.0408567799659773e-5,0.0026321383414950094,2.9446083860964736,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
9774,3.37050773176286,17.4125921660549,5.5808389774963265,2.1526559328629637e-5,0.0027012922962926325,2.8949779017554613,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
7376,4.422854860713596,17.684904668494326,5.561781205543142,2.2441478674714274e-5,0.002741994354913115,2.8562345789837815,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
5271,4.30623713504335,17.788430175225663,5.462620833714907,2.7886446796934398e-5,0.003319917243029908,2.653909639215244,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
9540,3.4170737728288145,17.562140951803165,5.4308847885582505,2.9901053059190427e-5,0.003470764733845529,2.588899505734136,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
3623,3.877428152079098,17.798845081065547,5.398361021296352,3.2120389809643004e-5,0.0036374382899066458,2.5221495236521063,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
4545,3.5591398403269814,17.540046370463745,5.337033729772767,3.6774424736170406e-5,0.004065325096429505,2.395943445484435,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
420,-3.5093123727126283,23.8528443818214,-5.310724347095893,3.897701755338716e-5,0.00420861145349713,2.341666848290102,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
13691,2.6342921940881183,17.380103310363506,5.092864682519059,6.326455831092262e-5,0.006545941806459648,1.8892802080081266,miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks,TRUE
