ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
189,-3.7463122428621567,23.364683845499407,-7.4718036411718245,1.1770346477177563e-7,1.624670462903112e-4,7.654980114968724,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
276,-5.400929935268216,22.511912625096173,-7.302850878891558,1.7247032514895032e-7,1.624670462903112e-4,7.30548900563662,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
126,-7.917704586199633,22.799085271669952,-6.733117787421452,6.427637695271959e-7,4.0365564726307907e-4,6.095226505872596,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
20,-3.1913176750278893,27.225714884766905,-6.497336856607115,1.1211149602847488e-6,5.280451462941167e-4,5.580595434546165,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
2114,-3.8905018870745245,19.643090179974813,-6.108599191066684,2.8454378594566716e-6,0.0010721609854432738,4.715758513676413,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
750,-3.146628890443189,21.78120848007662,-5.916871119634144,4.5320350578173465e-6,0.0014230590081546468,4.282260601902147,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
11876,2.533669817674639,17.730853069880926,5.846966056208884,5.3752747697175854e-6,0.0014467168094497045,4.123147856816811,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
599,-4.197344195440216,21.17322111510319,-5.490192631728159,1.2932978615896715e-5,0.0030457164640436763,3.303119459917516,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
4392,2.7256188648341286,17.660068832921915,5.346867370014373,1.8457721918931064e-5,0.0038638164550295695,2.970358867823597,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
1844,-2.7869048397108216,19.890373180395944,-5.260550237450677,2.2883672373690485e-5,0.004311283875203287,2.7691670849916648,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
2058,3.4139447303231876,18.657561138289772,5.2027857051644135,2.643112178518386e-5,0.004526930313026036,2.6342270180147214,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
11880,1.8972931399229616,17.457210500000127,5.139379315231977,3.096863534934594e-5,0.004862075749847313,2.4858523300033557,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
55,1.8565406049746649,26.86084040598511,4.971118548871213,4.720406175817133e-5,0.00676000158705365,2.0909831224599937,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
2897,3.376543089974561,18.362928122070425,4.946334029174717,5.023355744095069e-5,0.00676000158705365,2.032699871387951,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
1510,-3.465552705555176,21.005618920439705,-4.904879157053405,5.574476853797324e-5,0.007001542928369438,1.9351563436116432,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
4911,2.3609593768801176,17.61649405862108,4.814392627142392,6.998199902346865e-5,0.008240380385013435,1.7220194771291295,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
3225,-2.3172146459608456,20.49005972325408,-4.737813106651072,8.485464051981702e-5,0.009403890749372663,1.54144959706358,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
1312,-3.1426777285299607,21.586834500430978,-4.6886646012333815,9.603318997230206e-5,0.010051473883767616,1.425493032730886,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
4349,-2.5894682388233505,19.9939735888286,-4.625604666594478,1.125666833243845e-4,0.011161875335954757,1.2766636058269123,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
7490,2.4070495432488244,17.741843672365036,4.591057611129893,1.2280490169675447e-4,0.01156822173983427,1.1951134733419302,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
288,5.0620462342262655,18.300074319314085,4.5510486906132694,1.358329727850095e-4,0.012186158129855138,1.1006656942566284,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
2327,-2.9727726469711584,20.328982136711677,-4.464705324740171,1.688567315001001e-4,0.01446027646119039,0.8968578048732763,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
3579,-2.406485642273875,19.48146822862841,-4.393768928306774,2.0191138383848003e-4,0.014770222181555557,0.7294857293719339,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
1642,-2.629844410930886,20.48615163783635,-4.3936114871770124,2.0199150738262636e-4,0.014770222181555557,0.7291143607383477,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
938,3.7335943261469247,19.49184787414087,4.3605882005002785,2.1951851481523938e-4,0.014770222181555557,0.6512330220856457,miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks,TRUE
