ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
125,6.683691668250621,21.243879807668716,18.084970494508923,5.787440745607921e-19,1.082830163503242e-15,32.38094802757749,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1312,4.904274284776516,19.991791284005433,15.062537660789213,1.4451136409460216e-16,1.351903811105003e-13,27.330790955496912,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
162,6.394348964114748,21.07795598460929,14.607036930804352,3.5698346955168404e-16,2.2263869051040027e-13,26.488138833454993,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
350,5.658026767141045,20.51162065202058,12.594721469588062,2.517947461294368e-14,1.1777699250204406e-11,22.474815175605574,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1069,-5.218314048285837,20.873765624787367,-11.62796023097162,2.29263566952876e-13,8.579042675376621e-11,20.36539485648248,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1639,-4.819612496032555,20.680935346844443,-11.45738687560842,3.4254645444970245e-13,1.0681740271256554e-10,19.980265806475103,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
3319,-3.6654401944932644,19.087868895302293,-11.21909046383246,6.039215666315209e-13,1.6141960730965365e-10,19.435589075617003,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2511,4.07502887112674,19.37371235139137,10.91102198132718,1.270452788375272e-12,2.8786656691977635e-10,18.719859680023873,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
863,5.30648933533535,19.904714058978314,10.875667156798237,1.3847135768455303e-12,2.8786656691977635e-10,18.636880133601192,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2855,-3.472574078336091,19.332383861425352,-10.382922161940833,4.6762114538412e-12,8.749191630136884e-10,17.462234611760486,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
466,-5.597790862890744,21.860660922828643,-9.84956494017148,1.808923630149061e-11,3.0768146472808117e-9,16.15237365513179,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
933,-4.763974865785862,21.409281784893828,-9.367072696766572,6.350891121833779e-11,9.902097740792501e-9,14.932987587361108,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
952,4.9432258772834565,20.24148203926711,9.301429699931752,7.551955639369233e-11,1.0869006924046026e-8,14.764574891859056,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
921,-5.076761663053265,21.307220308594786,-9.256528821805889,8.504618460858625e-11,1.1365815100190347e-8,14.64903289208993,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
782,5.2738177495453336,22.136112249806203,9.224098401603227,9.268114032276482e-11,1.146067059110464e-8,14.565406745858564,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
4074,-3.241683637793326,19.706676369737103,-9.190703253119601,1.0127462447375447e-10,1.146067059110464e-8,14.47914065768305,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2222,3.8492152003780618,20.074479125443254,9.176685240914415,1.0511970160532901e-10,1.146067059110464e-8,14.442883455507712,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
75,6.145345080270687,20.776931940521067,9.158747715233833,1.1025765400314458e-10,1.146067059110464e-8,14.396448923309027,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
364,-5.178855857937791,20.75488794109466,-9.057511096264564,1.444491492453264e-10,1.4224439907263458e-8,14.13354757225844,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
