ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
146,-9.93919867461592,18.923509129144698,-26.421133850362136,1.2127543980033922e-17,3.590965772488044e-14,26.410836821168555,miscanthus_sinensis_6wks vs control_15wks,TRUE
545,-8.189894668708217,18.525294627967703,-23.701776724774305,1.1144576645505563e-16,1.6499545723670985e-13,25.040617593988014,miscanthus_sinensis_6wks vs control_15wks,TRUE
350,-8.14916824627145,18.79557344315379,-21.76139320916148,6.303473187950727e-16,6.221528036507367e-13,23.890156684450254,miscanthus_sinensis_6wks vs control_15wks,TRUE
298,8.360030588499711,23.752436071580032,20.89070578229402,1.4372739265650664e-15,1.0639420241397903e-12,23.319225712476072,miscanthus_sinensis_6wks vs control_15wks,TRUE
815,-6.853267396813095,18.305587463228335,-18.252154829034517,2.1453267565568927e-14,1.2704625052329919e-11,21.345736616558867,miscanthus_sinensis_6wks vs control_15wks,TRUE
2146,-5.630586099261162,18.32753283802757,-16.64970415687201,1.3196157193981175e-13,6.512303575229709e-11,19.938440702865435,miscanthus_sinensis_6wks vs control_15wks,TRUE
1677,-5.775516143054077,18.110881424775883,-16.315630135867238,1.9643347723329626e-13,8.309136086968432e-11,19.622212936143303,miscanthus_sinensis_6wks vs control_15wks,TRUE
270,-6.571060292345695,18.591595341892965,-15.360949006860123,6.370839589621965e-13,2.35800700310883e-10,18.670972454487675,miscanthus_sinensis_6wks vs control_15wks,TRUE
1447,-6.157066261202647,18.361438764283093,-14.760799428825557,1.378281749001966e-12,4.337268664866873e-10,18.03467650191228,miscanthus_sinensis_6wks vs control_15wks,TRUE
1833,-5.772412467821155,18.331892676009623,-14.685711604972719,1.520780927911956e-12,4.337268664866873e-10,17.95287417118839,miscanthus_sinensis_6wks vs control_15wks,TRUE
1517,-6.458842136362474,18.527172310427822,-14.641744120315375,1.6112784638141035e-12,4.337268664866873e-10,17.904743461919757,miscanthus_sinensis_6wks vs control_15wks,TRUE
1801,-6.254306225663683,18.28198001734587,-14.465462545931643,2.034476951180484e-12,4.558174665771257e-10,17.710036107981818,miscanthus_sinensis_6wks vs control_15wks,TRUE
1992,-5.556055528899542,18.495476167742403,-14.443842941815124,2.0938443936839756e-12,4.558174665771257e-10,17.685964159795734,miscanthus_sinensis_6wks vs control_15wks,TRUE
496,-6.877291887030367,18.43694078397158,-14.42217302809906,2.155165326605795e-12,4.558174665771257e-10,17.661793677744082,miscanthus_sinensis_6wks vs control_15wks,TRUE
125,-9.003869357644696,19.098286313330036,-14.169098881273378,3.0272283046356656e-12,5.975748673350804e-10,17.376334829441998,miscanthus_sinensis_6wks vs control_15wks,TRUE
201,-7.421954699844015,18.47876743865749,-14.045610056849235,3.579611749547601e-12,6.62451899400653e-10,17.23488853208653,miscanthus_sinensis_6wks vs control_15wks,TRUE
2289,-6.325735948260139,18.264424157721223,-13.957323926253755,4.038287931997608e-12,7.03374739214407e-10,17.13288448356466,miscanthus_sinensis_6wks vs control_15wks,TRUE
2347,-5.485318738723766,18.36226621486546,-13.867569086262343,4.5677967536491005e-12,7.323481778018245e-10,17.028424471775615,miscanthus_sinensis_6wks vs control_15wks,TRUE
731,-6.587241611955086,18.282521165349156,-13.846960451056292,4.6992959737368e-12,7.323481778018245e-10,17.004330652582308,miscanthus_sinensis_6wks vs control_15wks,TRUE
802,-6.7825955128913265,18.741854056505495,-13.686439312118962,5.868844725123953e-12,8.688824615546013e-10,16.81526132312849,miscanthus_sinensis_6wks vs control_15wks,TRUE
3198,-5.967346640747067,18.015938650747277,-13.525625828646437,7.347996019196998e-12,1.0360674387067768e-9,16.62332839429046,miscanthus_sinensis_6wks vs control_15wks,TRUE
851,-6.194218861969908,18.533563017087964,-13.277567995291362,1.0437245853620375e-11,1.404758407844088e-9,16.322232593664673,miscanthus_sinensis_6wks vs control_15wks,TRUE
666,-6.788482257331246,18.382803318392202,-13.145884612300751,1.2601507474079675e-11,1.622307114380431e-9,16.15986759540055,miscanthus_sinensis_6wks vs control_15wks,TRUE
863,-7.006390071969758,18.71438501465289,-13.077963902997853,1.3895922460411068e-11,1.7144094335532156e-9,16.07542700173972,miscanthus_sinensis_6wks vs control_15wks,TRUE
1132,-5.815272111517579,18.031161257137775,-12.86685182351787,1.8879860330926335e-11,2.236130657594915e-9,15.809909431397454,miscanthus_sinensis_6wks vs control_15wks,TRUE
1213,-5.499778919024514,18.30799700264854,-12.785884873583367,2.125720523722117e-11,2.420868642592765e-9,15.70683472186591,miscanthus_sinensis_6wks vs control_15wks,TRUE
1632,-6.002978394415699,18.02068763878533,-12.738220903406326,2.2800651790960948e-11,2.487405054360227e-9,15.64583082411366,miscanthus_sinensis_6wks vs control_15wks,TRUE
2441,-4.709970297329836,18.307315518735262,-12.717097929920834,2.3521560797732642e-11,2.487405054360227e-9,15.618718579201417,miscanthus_sinensis_6wks vs control_15wks,TRUE
1905,-5.757540646747604,18.621944378131666,-12.650271247691874,2.5962793762947136e-11,2.650890770071947e-9,15.532628858269607,miscanthus_sinensis_6wks vs control_15wks,TRUE
2225,-5.404126507140958,18.07055700227131,-12.555892963863016,2.986887829776537e-11,2.8548162922395407e-9,15.41022608317994,miscanthus_sinensis_6wks vs control_15wks,TRUE
1166,-5.820224289446557,18.514954136067917,-12.555456149572834,2.9888316467215724e-11,2.8548162922395407e-9,15.409657319629734,miscanthus_sinensis_6wks vs control_15wks,TRUE
1639,4.953451765357652,22.100051241789192,12.493634929467866,3.277672938624832e-11,3.0328717410212897e-9,15.328952224935538,miscanthus_sinensis_6wks vs control_15wks,TRUE
46,-10.120661227995072,19.30789321062461,-12.44627320663972,3.5185438320044716e-11,3.1570934201712854e-9,15.266841068644993,miscanthus_sinensis_6wks vs control_15wks,TRUE
2193,-5.196128116310781,18.128003581231056,-12.215870516361912,4.982927957425068e-11,4.339544024098713e-9,14.961154324414409,miscanthus_sinensis_6wks vs control_15wks,TRUE
820,-6.330338485629802,18.2359326668241,-12.113680433906644,5.823858105042187e-11,4.85944303199748e-9,14.823675557198449,miscanthus_sinensis_6wks vs control_15wks,TRUE
2619,-4.363539738399119,18.353042618929724,-12.10429825321891,5.908137424920948e-11,4.85944303199748e-9,14.810994400289374,miscanthus_sinensis_6wks vs control_15wks,TRUE
736,-6.219818777551673,18.681016990501213,-11.969489454227018,7.269688681904868e-11,5.817715726248734e-9,14.627678359156967,miscanthus_sinensis_6wks vs control_15wks,TRUE
1676,-5.737493665603019,18.647751368772152,-11.924303216571973,7.796081131062752e-11,6.039624522751957e-9,14.565767786780931,miscanthus_sinensis_6wks vs control_15wks,TRUE
3350,-5.223831857453039,18.213940815871805,-11.911289796759867,7.95492591649194e-11,6.039624522751957e-9,14.547894250490558,miscanthus_sinensis_6wks vs control_15wks,TRUE
135,-7.623243783732995,18.651624905140423,-11.840431640884034,8.880964412853323e-11,6.574133906614673e-9,14.45022933964685,miscanthus_sinensis_6wks vs control_15wks,TRUE
2578,-5.359676236473881,17.832104999921075,-11.329257564747094,1.9950022524109888e-10,1.4407808949729117e-8,13.728163152199667,miscanthus_sinensis_6wks vs control_15wks,TRUE
2433,-4.734519469763377,18.155097520136312,-11.308191044124342,2.0638483453505555e-10,1.4550130834721416e-8,13.697733431583984,miscanthus_sinensis_6wks vs control_15wks,TRUE
901,5.582312007420242,22.71213262275198,11.24037080659012,2.3027633157614718e-10,1.5856935297603997e-8,13.599402125746085,miscanthus_sinensis_6wks vs control_15wks,TRUE
2548,-5.173525317763591,18.199395743499228,-11.074376425194256,3.0169634779466776e-10,2.030279285954571e-8,13.356344269426497,miscanthus_sinensis_6wks vs control_15wks,TRUE
1264,5.692900898115024,21.774320848644987,10.952096486855035,3.68815237905777e-10,2.4104507079880737e-8,13.175105985023876,miscanthus_sinensis_6wks vs control_15wks,TRUE
2829,-5.3909888464846105,18.129671024702937,-10.942872755820275,3.744705591605924e-10,2.4104507079880737e-8,13.161358959368371,miscanthus_sinensis_6wks vs control_15wks,TRUE
1419,-5.680444703964191,18.306008909363225,-10.647047920102766,6.13070224850387e-10,3.8298053295453467e-8,12.714739116715503,miscanthus_sinensis_6wks vs control_15wks,TRUE
1233,-5.317813331275403,18.483776016215305,-10.639565512672723,6.208397697337948e-10,3.8298053295453467e-8,12.703297383335464,miscanthus_sinensis_6wks vs control_15wks,TRUE
6986,-3.8892808327716466,17.37976097694842,-10.558522803910247,7.118548826945796e-10,4.3016373625686743e-8,12.578906815180517,miscanthus_sinensis_6wks vs control_15wks,TRUE
3386,-4.368576784238375,18.182284409302444,-10.453154937316642,8.513604427786953e-10,5.0417565421354335e-8,12.415902990602092,miscanthus_sinensis_6wks vs control_15wks,TRUE
5152,-4.203258475522002,17.73788328551403,-10.437618939116762,8.742168090306017e-10,5.075599944195317e-8,12.391746030021697,miscanthus_sinensis_6wks vs control_15wks,TRUE
910,-5.644394472715351,18.32543983392774,-10.395044191437963,9.40177965895753e-10,5.3535903019563936e-8,12.32538397787322,miscanthus_sinensis_6wks vs control_15wks,TRUE
2418,-5.2906971847936966,18.15733092661465,-10.335031484603876,1.0420582734894982e-9,5.782073191494411e-8,12.231435455082877,miscanthus_sinensis_6wks vs control_15wks,TRUE
1187,5.523692566412244,22.127138205409214,10.322330189207666,1.0650537025686612e-9,5.782073191494411e-8,12.211490834076436,miscanthus_sinensis_6wks vs control_15wks,TRUE
2485,-5.12060292051671,17.999101243055723,-10.317460784419985,1.0740088670455677e-9,5.782073191494411e-8,12.203838827506154,miscanthus_sinensis_6wks vs control_15wks,TRUE
6461,-5.005652707986844,17.882016066898665,-10.284512094531589,1.1366955521607674e-9,5.999720695618468e-8,12.151979115708901,miscanthus_sinensis_6wks vs control_15wks,TRUE
1283,-4.986082670977137,18.25164297113386,-10.275265798375342,1.1549614307674864e-9,5.999720695618468e-8,12.137399971072671,miscanthus_sinensis_6wks vs control_15wks,TRUE
1331,-5.717991775872541,18.10854117343533,-10.229487485084467,1.2499930994515043e-9,6.310165917902017e-8,12.065051156457454,miscanthus_sinensis_6wks vs control_15wks,TRUE
154,-7.2842300444245005,18.65523992031825,-10.226097980599322,1.2573447793185377e-9,6.310165917902017e-8,12.059683219440984,miscanthus_sinensis_6wks vs control_15wks,TRUE
3910,-3.633289880211329,17.777225716639613,-10.19081129393045,1.3366013256594041e-9,6.596127542129159e-8,12.003708755331008,miscanthus_sinensis_6wks vs control_15wks,TRUE
