ID,control_1_6wks_6wks_flush_1_exudate_aqueous,control_1_6wks_6wks_flush_2_exudate_aqueous,control_1_15wks_15wks_flush_1_exudate_aqueous,control_1_15wks_15wks_flush_2_exudate_aqueous,control_2_6wks_6wks_flush_1_exudate_aqueous,control_2_6wks_6wks_flush_2_exudate_aqueous,control_2_15wks_15wks_flush_1_exudate_aqueous,control_2_15wks_15wks_flush_2_exudate_aqueous,jm0034dot001_6wks_flush_1_exudate_aqueous,jm0034dot001_6wks_flush_2_exudate_aqueous,jm0034dot001_15wks_flush_1_exudate_aqueous,jm0034dot001_15wks_flush_2_exudate_aqueous,jm0062dot001_6wks_flush_1_exudate_aqueous,jm0062dot001_6wks_flush_2_exudate_aqueous,jm0062dot001_15wks_flush_1_exudate_aqueous,jm0062dot001_15wks_flush_2_exudate_aqueous,jpn_2011_004_15wks_flush_1_exudate_aqueous,jpn_2011_004_15wks_flush_2_exudate_aqueous,jpn_2011_023_15wks_flush_1_exudate_aqueous,jpn_2011_023_15wks_flush_2_exudate_aqueous,jy025_15wks_flush_1_exudate_aqueous,jy025_15wks_flush_2_exudate_aqueous,jy027_15wks_flush_1_exudate_aqueous,jy027_15wks_flush_2_exudate_aqueous,kms062_15wks_flush_1_exudate_aqueous,kms062_15wks_flush_2_exudate_aqueous,kms113_6wks_flush_1_exudate_aqueous,kms113_6wks_flush_2_exudate_aqueous,kms113_15wks_flush_1_exudate_aqueous,kms113_15wks_flush_2_exudate_aqueous,pi417947_6wks_flush_1_exudate_aqueous,pi417947_6wks_flush_2_exudate_aqueous,pi417947_15wks_flush_1_exudate_aqueous,pi417947_15wks_flush_2_exudate_aqueous,pms_165_6wks_flush_1_exudate_aqueous,pms_165_6wks_flush_2_exudate_aqueous,pms_165_15wks_flush_1_exudate_aqueous,pms_165_15wks_flush_2_exudate_aqueous,pms_182_6wks_flush_1_exudate_aqueous,pms_182_6wks_flush_2_exudate_aqueous,pms_182_15wks_flush_1_exudate_aqueous,pms_182_15wks_flush_2_exudate_aqueous,pms_546_6wks_flush_1_exudate_aqueous,pms_546_6wks_flush_2_exudate_aqueous,pms_546_15wks_flush_1_exudate_aqueous,pms_546_15wks_flush_2_exudate_aqueous,ui10_00009_15wks_flush_1_exudate_aqueous,ui10_00009_15wks_flush_2_exudate_aqueous,ui11_00002_6wks_flush_1_exudate_aqueous,ui11_00002_6wks_flush_2_exudate_aqueous,ui11_00002_15wks_flush_1_exudate_aqueous,ui11_00002_15wks_flush_2_exudate_aqueous,ui14_00019_6wks_flush_1_exudate_aqueous,ui14_00019_6wks_flush_2_exudate_aqueous,ui14_00019_15wks_flush_1_exudate_aqueous,ui14_00019_15wks_flush_2_exudate_aqueous,ui25_00001_6wks_flush_1_exudate_aqueous,ui25_00001_6wks_flush_2_exudate_aqueous,ui25_00001_15wks_flush_1_exudate_aqueous,ui25_00001_15wks_flush_2_exudate_aqueous
1,3944483357,802244176.1,12246727603,1672278362,961622738.7,250301640.4,15822677664,2435814051,1446827973,516155352,378474488.7,100373663.6,275694439.9,242492249,849900133.2,257759768.4,202808988.8,268016998,1430863253,317346730.6,2713202621,476843924.7,374217556.1,961179184.5,404557719.5,87695517.34,1209646663,298176615.6,614734992.8,327835875.2,842980113.5,258419486.7,258377780,31023150.53,68707687.96,31360647,2608791879,1006876891,1124950274,331282323.8,759494164.6,87402964.34,983270988.7,25984593.68,1408402006,1102402501,5206471948,2622592525,1270699695,364387685.9,665608679.6,203942026.2,691108135.6,392941037.2,1141972652,353467431.4,668828752.9,279691473.1,4687125583,984142319.7
2,2216402663,493013137,3022246341,415040496.4,578024512.2,169668389.9,3936602988,593433114.8,690621100.8,254558236.2,110101077.2,44222551.46,148672594.8,128125866.4,262347665.5,84379911.57,86904651.89,103582069.3,436244575.9,116717436.4,903117586.9,183186577.2,143832423.3,310183485.6,142133272,56991265.58,621544513.8,167934048,221859194.5,120641771.8,463439104,26207823.65,95396120.21,2032113.054,66518916.54,14286301.24,682432925.3,320740422.2,23996757.18,175388309,343671416.7,9119990.947,57370999.98,19231155.86,318503088.1,22517576.91,1678479214,792086921.1,720013520.6,216490840.1,266701900.3,97005567.73,370851499.7,15399267.5,367308663.1,131717730,354016862.4,19893630.09,1177776526,278205741
3,1406894059,1358509367,3742884867,735338224.6,420932997.2,673284046.9,4804665832,1832333405,377173097.9,515711611.7,424865266.1,325764082.7,266700711.6,526382813.8,440562509.9,175178451.6,358932220.7,368535576.1,425112151.5,417701316.1,2030971690,714737521.8,331197156.8,859060075.7,298016625.6,326066058,1073311620,574046535.3,267947748.1,289009392.3,404121191.9,544763856,182929267.1,172436141,1216302207,872752365.3,1613080781,538264917.9,677187841.9,583689811.2,612442345.1,226273607.7,884676518.9,768759030,378676572.5,1299263493,1403306166,1092852014,1107227777,1193471519,928201284.6,308822248.4,377712418.1,362438339.8,435712336.3,761670752.6,328464095.2,882091671.7,1285834008,690679165.3
4,15856481.38,13170682.7,19233537.11,10927632.01,11215924.54,10275501.55,29695412.47,15008329.28,9873775.603,10453804.1,8202554.694,7041933,9177498.925,10810724.27,7022149.637,5637849.892,14586182.42,11548909.81,13545650.02,11088074.14,12329399.96,11196046.85,13990376.2,25979732.96,15383514.87,14119768.21,18273993.71,12646489.53,13936007.06,10570677.7,8111916.508,8056666.201,6298757.209,6880705.15,12083376.3,9701137.041,8139930.293,8490629.835,10470366.98,9472812.873,12959850.65,9104565.324,10361055.72,11385074.4,3055581172,12676543.26,14887303.69,15068083.45,12161788.93,12764263.19,14512469.55,10918407.5,6827266.962,7000964.896,5296573.378,5557972.341,11622133.74,12908186.21,16673980.64,10151440.72
5,2004336701,532565052.6,2571809348,514194263.5,388747930.1,149621184.2,4260091041,665921745.1,473329505.8,178493849.2,141771399.3,24329744.66,151909592.2,89716154.75,112056317.2,30016731.34,102847865.3,76729768.98,312398031.1,86245928.45,528898364.5,136840704,371229995.2,1251136631,211436359.7,79700127.06,502931738.3,159926719.2,363412272.9,221564801.8,98671833.26,39917556.77,26058131.4,5176110.119,751381392.3,190646952.3,435187366.7,171327479.2,291112377.1,123559119.9,266082544.2,38054212.96,499929094.8,130793679.4,140301808.8,185275390.7,999846831.2,547849433.7,563869288.2,214826474.6,391763101.2,125497106,125675270.1,46043807.14,65763289.3,26397960.34,370617214.5,187094135.3,1058445072,313612679.1
6,1199376835,336836986,1428641178,221249803.7,279695960.1,98915422.03,2168131759,351656194.6,334790618,122592613.5,48398531.78,18436823.79,124653685.1,90970271.59,56784648.95,23085855.96,47241849.82,40105550.66,148783217.5,44506697.66,360489795.9,74118296.6,37620350.68,72149894.64,36885702.74,23186376.44,348338334.6,95053850.14,53763843.31,43586495,309886460.8,97168103.88,22716664.89,7497564.315,455363508.2,130158815.3,325747603.6,131399033,271737343,106017218.5,60440416.47,16019265,286217816.2,79559240.02,119337412.7,107587402.2,593775920.2,296064668.2,313016024,101181586.3,61338807.82,29766165.62,275945698.2,107171308.2,133500867.6,57887722.28,231054359.3,100268328.5,446564270.7,112917252.7
7,138409870.3,32323872.77,1322542520,1877216270,28757286.93,29255797.78,1143767396,832291991.6,21211881.82,19462235.59,291528544.7,608993933.2,31481218.64,14004589.74,91428266.26,31713535.63,37415636.99,51226532.5,703371789.3,468592580.9,25860696.61,1539239272,1454827773,2101716620,1593192816,31578486.64,48858042.42,27015478.69,190122394,250226189.5,14850606.86,NA,18165328.93,4667471.801,55156398.19,42881387.5,938731696,1689126901,67919801.4,34706125.59,1284283126,488079374.3,80437908.56,33504556.88,368765304.6,409299019.5,1338173387,1308069371,40395862.27,26052497.02,445415764.4,321508621.9,NA,NA,121671711.3,183577298.5,21811431.16,22633975.92,306462563.3,52013933.31
8,3964791.525,2537151.449,1959680.331,1353958.182,3192617.034,2780767.478,4243283.856,2218094.885,2433652.541,2751853.589,1447208.75,2269131.893,2832057.805,8053210.047,2984438.714,2402537.029,3223472.775,1476914.838,2667710.422,2846812.907,1938960.871,2485438.323,1883619.513,4947169.026,1621920.621,2811463.404,3447436.281,13393311.79,3317526.56,2185833.556,1657150.471,1863529.38,722261.6482,1641680.691,4958131.044,8845283.418,1789000.306,1522157.343,12482560.88,2101762.082,2426525.509,1075004.507,2748430.575,2411157.408,2348724016,2249968.741,1702940.993,3397415.437,2564264.613,2638132.42,9822614.418,2329804.802,2069642.961,7516509.538,1937041.956,1123938.09,2102267.154,2795224.875,2081376.183,2072505.203
9,104762887.4,18702956.85,89568938.02,22595267.77,15487574.55,5393818.979,137773080.7,34866284.29,17645081.73,14119225.37,3529755.493,3087934.032,16973798.18,8095653.107,16586773.52,3020573.577,9550073.073,17034301.47,1648696.162,5198243.483,72467362.44,6222105.645,6481782.736,31318502.08,8814649.635,21196970.7,57050587.34,13048777.76,17201399.91,8333001.183,33000017.81,5654980.218,2339609.784,2902689.97,40643121.53,14791374.39,38131067.62,23124534.7,23806476.66,4345965.814,10294560.37,5779065.978,24728209.23,5105685.719,2359098509,16601727.85,48486667.8,15001694.03,42788032.69,3741973.835,11087528.96,5419517.405,10418222.6,10306932.85,3321596.859,2217764.866,5901956.706,10336948.24,44256991.71,36988848.79
10,24343724.68,10032246.38,11024623.95,3885809.325,22175576.09,5398348.246,21990555.86,6935829.69,21545662.76,5287349.808,8428164.497,3300753.265,10418646.13,6749563.433,5151113.359,1827298.988,4832550.238,5362988.324,11045438.24,4337669.356,5215854.704,5772438.761,4477298.64,13700027.18,9476531.284,4295789.459,17728940.87,7938572.543,5898467.126,5494467.06,10855598.16,3247613.977,2098211.433,1466296.77,34482526.08,6402104.576,3835724.508,5678297.179,15419247.19,5415601.366,6801499.588,2506343.342,17764272.48,4853142.72,2036003217,10508660,9279331.321,8890992.74,18053194.7,6433771.856,10891243.07,4742927.008,10275804.99,5217179.485,8124321.786,2419810.279,16323013.09,28582099.1,9381255.48,5623821.313
