ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
1947,-8.560194481755858,22.699099772826465,-14.203445573846661,6.454901631016757e-6,0.0038915225543992168,3.375250075142077,miscanthus_floridulus_15wks vs control_15wks,TRUE
2342,-7.327286515121383,21.75804415974778,-13.36009277668922,9.293172358476818e-6,0.0038915225543992168,3.192715976242477,miscanthus_floridulus_15wks vs control_15wks,TRUE
392,7.354582993185645,19.872639457562837,12.95280836524032,1.1168755844578348e-5,0.0038915225543992168,3.0959887766845338,miscanthus_floridulus_15wks vs control_15wks,TRUE
3702,-6.697892721012138,21.652984691632696,-12.765514664316456,1.2176284450922359e-5,0.0038915225543992168,3.0494629582069077,miscanthus_floridulus_15wks vs control_15wks,TRUE
1105,-6.571816124418433,21.042884430172546,-11.869964053512026,1.8719571167292317e-5,0.0038915225543992168,2.8074571438711633,miscanthus_floridulus_15wks vs control_15wks,TRUE
115,-6.388369102596329,20.971369636836542,-11.283422350592227,2.5226313828875493e-5,0.0038915225543992168,2.6294936293188993,miscanthus_floridulus_15wks vs control_15wks,TRUE
77,-6.7888194236859505,21.853043574184603,-11.245158886732176,2.5734746088652984e-5,0.0038915225543992168,2.6172955520412415,miscanthus_floridulus_15wks vs control_15wks,TRUE
279,-6.251092826575654,21.32658484751482,-11.007764134169816,2.916750805769967e-5,0.0038915225543992168,2.5399144985104662,miscanthus_floridulus_15wks vs control_15wks,TRUE
228,-7.798238168048343,22.886872423548887,-10.860497765895916,3.156283111930886e-5,0.0038915225543992168,2.4903980689166243,miscanthus_floridulus_15wks vs control_15wks,TRUE
4263,-6.944549607161843,21.5881384534188,-10.824227408838649,3.218719810835587e-5,0.0038915225543992168,2.4780198897622743,miscanthus_floridulus_15wks vs control_15wks,TRUE
3671,5.779938277349501,19.504167275682732,10.72724089232507,3.3928126437686084e-5,0.0038915225543992168,2.4445595321681477,miscanthus_floridulus_15wks vs control_15wks,TRUE
2187,-6.59167944423935,21.84121865238445,-10.668653886541565,3.503246110486917e-5,0.0038915225543992168,2.424089062272545,miscanthus_floridulus_15wks vs control_15wks,TRUE
5474,-5.374605042450639,20.84061909602821,-10.166741859480497,4.6405816333956223e-5,0.004655791055775376,2.240408812776133,miscanthus_floridulus_15wks vs control_15wks,TRUE
2891,5.410507497251928,18.65219444186107,10.075746205098389,4.8898030593289775e-5,0.004655791055775376,2.205445037614197,miscanthus_floridulus_15wks vs control_15wks,TRUE
3675,-4.829527443410694,20.57478189312094,-9.77636635451286,5.8258977084720835e-5,0.004867789574180913,2.0865948351208043,miscanthus_floridulus_15wks vs control_15wks,TRUE
13,6.137684911787794,19.541360332337575,9.709405735506138,6.062653608022971e-5,0.004867789574180913,2.0591865418201856,miscanthus_floridulus_15wks vs control_15wks,TRUE
2388,5.3481663932046075,19.23925806776976,9.66978059120832,6.207983703006416e-5,0.004867789574180913,2.0428211956531612,miscanthus_floridulus_15wks vs control_15wks,TRUE
4430,-5.803070365443837,21.079807992918095,-9.223252446236044,8.157387208383627e-5,0.00604099841598632,1.8506185558415105,miscanthus_floridulus_15wks vs control_15wks,TRUE
3701,-5.324360762251214,20.244937561838743,-8.977349327597391,9.529056377513257e-5,0.006685385342750091,1.7383626057443715,miscanthus_floridulus_15wks vs control_15wks,TRUE
