ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
2187,-6.570777897694171,20.095978395181064,-16.048760272161587,1.3203646541752077e-8,9.18877533232012e-6,9.241221700548085,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2604,8.311508839604873,21.80784947544863,15.77655906072276,1.5640468650757652e-8,9.18877533232012e-6,9.128153992207611,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
284,-6.828774071448844,19.70083934141039,-14.544737538901124,3.4875157966317394e-8,1.365943687014098e-5,8.573607328203671,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
5661,-4.939251397339046,18.988502765677495,-13.674305737271942,6.387038680319607e-8,1.464659588396942e-5,8.134818499104046,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
5431,5.265517308092569,23.54015932071297,13.31930831567646,8.257538361298957e-8,1.464659588396942e-5,7.943453071283442,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
3817,-4.968765925199058,18.863376467919856,-13.149140038180322,9.359987133711418e-8,1.464659588396942e-5,7.8490115585494165,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
5281,-4.981871901648347,19.104938203353637,-12.93318485687195,1.0996665289871984e-7,1.464659588396942e-5,7.726545035621295,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
407,-5.2959714694889755,19.236839195603594,-12.823107802016446,1.1949162851851391e-7,1.464659588396942e-5,7.662970970181065,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
3701,-5.084842290958456,18.96881910801407,-12.780458234676644,1.2342119067269414e-7,1.464659588396942e-5,7.638126837685818,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2007,-5.255307044279558,19.233549662247846,-12.68819024658325,1.3241401650479743e-7,1.464659588396942e-5,7.583968983059845,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
2199,5.094646792634389,23.81574453351907,12.64262291018678,1.371170678499265e-7,1.464659588396942e-5,7.557014057881269,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
3779,-5.6578274499730625,18.966620208160688,-12.38671477143372,1.6715897311051427e-7,1.5219046990294942e-5,7.403025604308655,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
101,5.688771517952283,21.10671147551915,12.311916248895791,1.7724541581179732e-7,1.5219046990294942e-5,7.357166150291474,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
4580,5.461912823452199,26.147321432324034,12.2829148586255,1.8133332584181206e-7,1.5219046990294942e-5,7.339279988488742,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
1593,-4.867028300625215,19.231719973079468,-11.961634792416376,2.3419693818788456e-7,1.7638872429034868e-5,7.137124825303181,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
4592,-4.315407059549884,18.604423399850777,-11.930312267464819,2.4018890116132586e-7,1.7638872429034868e-5,7.117015634676213,miscanthus_sacchariflorus_4x_15wks vs control_15wks,TRUE
