ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
50,5.181835318290435,18.33470165736528,10.576807317940569,7.873006963097519e-6,0.00751872164975813,3.823852287053203,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
284,5.102182454903563,18.101151941316214,7.491420933307907,8.883315204382859e-5,0.02772853673673988,1.9067514034487232,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
6180,-3.4391000513584302,19.310806099991687,-7.095909883361436,1.2828647735883933e-4,0.02772853673673988,1.5885722894190808,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
5813,3.9346198136599355,17.155436732635255,6.944594213977394,1.4827187409063074e-4,0.02772853673673988,1.4615430303749752,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1436,-2.427530597525287,20.57987133160146,-6.81884678499538,1.6753552028652332e-4,0.02772853673673988,1.3536646901379568,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1628,-4.770103480710972,19.282111522554935,-6.778988903085996,1.7421070201093118e-4,0.02772853673673988,1.3190249937088385,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
2308,-3.6640642502895133,19.813979081644028,-4.466649047297394,0.0023472199289579013,0.3141203147186432,-1.102992204391989,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
998,-2.0479124351709928,19.738530581099266,-4.378042985290679,0.002631374364135231,0.3141203147186432,-1.213278043197465,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3921,3.5234802973594235,17.487437326899144,4.174101207871788,0.0034382443587780416,0.36483592918144775,-1.4721448432685955,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
2286,2.920729086100515,17.197089717893185,4.013871289274647,0.004260677399308444,0.4068946916339564,-1.6803664859292784,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3894,-2.5662456355067818,18.85820150531254,-3.8637449501252097,0.005226889137069376,0.42694387724903016,-1.8792187487744476,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
4770,2.275868017388751,16.442848755530918,3.844796987205839,0.005364739818835981,0.42694387724903016,-1.9045690278647491,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1801,2.4697002868429614,17.152596399275055,3.7130922931089962,0.0064380789107694285,0.4542924818911083,-2.0822955948745943,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3236,-1.6896751199405955,23.538287032780055,-3.613499517387921,0.00740234183997792,0.4542924818911083,-2.2184041818901665,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
424,-1.3643503451465229,19.808673280611238,-3.5474498996639654,0.00812647201113811,0.4542924818911083,-2.3094531240587624,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
267,3.035349693490483,16.68969051375046,3.4865651886374955,0.008861306800686216,0.4542924818911083,-2.393914720362095,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3559,2.9551125082406813,17.711363669924662,3.4560218689046565,0.00925637198377523,0.4542924818911083,-2.4364724091748404,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
221,2.6970882683447748,23.87265885975463,3.32663131126562,0.011150362272355802,0.4542924818911083,-2.618079607783242,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
2770,1.92692339119208,17.17078272850325,3.3068370826351647,0.011474690543010228,0.4542924818911083,-2.646042215630722,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1879,3.4945484215489486,18.46054993894211,3.2912795273134443,0.011736621189608862,0.4542924818911083,-2.668051908726538,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
206,-3.47619764323645,20.987124933951172,-3.285552450896996,0.011834633767219252,0.4542924818911083,-2.6761611821497984,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
5490,1.7453614700293976,16.62975919236996,3.231212486521033,0.012808934311526639,0.4542924818911083,-2.753287682979983,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
4119,1.8235395948414919,18.543835383922602,3.227191792183085,0.01288432148063393,0.4542924818911083,-2.7590073112903126,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
734,-4.4561154560956595,19.530439556069222,-3.2008698603388055,0.013389588716900044,0.4542924818911083,-2.796494211659588,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1905,-1.6603814730220954,26.869146366979027,-3.148418085643766,0.014459897553029457,0.4542924818911083,-2.871408563562893,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3519,-2.8554485779303143,20.364019588505172,-3.1478407266811654,0.014472169293208591,0.4542924818911083,-2.8722347146140077,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3779,2.8710158817527898,17.99892870068746,3.1373938008344733,0.014696125754438766,0.4542924818911083,-2.887188995283409,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
233,1.4623007337941338,22.177182277575735,3.1212633831328005,0.015049125901331442,0.4542924818911083,-2.9102996230830116,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
124,-2.5042249771135445,17.996945321365583,-3.103055265843113,0.015458353338760339,0.4542924818911083,-2.9364166181347358,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
5318,-1.196700255044444,19.451809959537172,-3.0852654553111054,0.015869507484026654,0.4542924818911083,-2.961963154709399,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
997,2.502092565063961,17.32704377188911,3.078901371849162,0.016019373531126684,0.4542924818911083,-2.9711090539352454,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
2447,1.8401139150291321,16.983231890459304,3.0670933876915902,0.016301392767776462,0.4542924818911083,-2.9880879609087754,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
4636,2.504266616792467,19.524460678558196,3.0300151190449496,0.017221378233371817,0.4542924818911083,-3.0414814515864217,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
2013,2.619987447940769,16.91217299082143,3.025319041331879,0.017341729074705454,0.4542924818911083,-3.0482520911413524,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
380,3.784180314371927,17.30522488625909,3.0118012932888,0.01769311262488859,0.4542924818911083,-3.067751446362625,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3644,-1.6195275220587497,19.211730149473986,-2.99714348622074,0.018082582347857694,0.4542924818911083,-3.0889116723653136,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
2705,-1.6693899612719463,17.85782744746989,-2.9539423966704854,0.019283592719834864,0.4542924818911083,-3.1513716798625815,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
5137,2.19513658895891,17.185928060405082,2.9416442018511497,0.019640541102233133,0.4542924818911083,-3.169176854917241,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3500,-1.1904300341184175,18.55685642943811,-2.929127643032118,0.020010926391270032,0.4542924818911083,-3.1873087441464416,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
400,4.515425389738272,17.55490216203728,2.9198289358035416,0.02029081072980138,0.4542924818911083,-3.200785861891825,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
4064,2.3582641052100968,17.20119694578913,2.8913296740561316,0.02117435934091145,0.4542924818911083,-3.2421254932849326,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
164,1.9603709868552173,17.380183296746832,2.873864325301151,0.0217355790646522,0.4542924818911083,-3.267484021024706,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3971,1.9484546251279298,17.281151441035345,2.8706568229327973,0.021840320646803975,0.4542924818911083,-3.272143001092325,miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
