"ID","Label","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs control_6wks","miscanthus_sacchariflorus_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks","control_15wks vs control_6wks","miscanthus_sinensis_6wks vs control_6wks","miscanthus_sinensis_15wks vs control_6wks","miscanthus_floridulus_6wks vs control_6wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_15wks vs miscanthus_floridulus_6wks","miscanthus_floridulus_15wks vs control_6wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_6wks vs control_15wks","miscanthus_floridulus_15wks vs control_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_15wks","miscanthus_sacchariflorus_4x_15wks vs control_15wks","miscanthus_sacchariflorus_15wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_15wks","miscanthus_sinensis_6wks vs control_15wks","miscanthus_sinensis_15wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_15wks","mzCloud","mzVault","SIRIUS","control_6wks","control_15wks","miscanthus_sinensis_6wks","miscanthus_sinensis_15wks","miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sacchariflorus_15wks","miscanthus_floridulus_6wks","miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks"
"1429","1429",1.0125834383936088,0.6807957302750438,-2.657521213006781,-2.0232756736716198,-1.544582446167606,-0.42071689686598646,-0.3826114009038051,-1.7349947007499154,-0.981197139188918,-1.693787813896659,-1.597854035672551,2.402596080488255,4.181198495495412,4.060535351219283,0.7561961085582531,-1.1737459046830807,2.974944668883289,-3.2178105215941635,0.9198735904502726,-3.2381144498978607,-0.8370525157329034,-0.04373865562775947,1.8447570121621268,-1.9384953920650574,-1.3501133206356855,-0.4280432994936767,1.567476599871192,0.9318142668211067,2.9148155076166766,2.84705192373492,-1.3479168899439529,2.925589568543362,0.3972151705866729,2.2307514022537873,-1.8505831377657103,-0.502666247821761,-0.9307095473154341,1.0288961850217717,-2.2728003116558035,-2.775466559477561,-4.588725910451302,-4.966283295713307,-0.9248834217118507,-3.6411755390546645,-3.764642638396456,-3.3213175308729,1.787701579303878,1.3102434624135348,-2.811098128930176,-1.4631812389862269,-0.9605149911644624,-3.735981550642027,-1.8912245384798965,0.07995589559497063,-0.49911792508677877,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4"
"5015","5015",NA,NA,-1.941902394158209,NA,NA,NA,NA,-2.7146716255415804,NA,NA,NA,2.0830814261697945,3.034207246289661,3.7436822237038783,NA,NA,2.1077106828715095,-3.4974504271211266,-0.4584142875412809,-3.2055096672000403,NA,NA,0.6138264300745391,-2.2275307699819358,-2.9478504709408995,-2.275760249426419,NA,NA,NA,NA,-2.7307412014351904,NA,NA,NA,-3.467575986249411,NA,-2.493823635378149,NA,-3.7651270134868433,-4.460021876361845,-4.119481942198096,-3.6271735228870483,-0.6762717931012467,-3.8540013989071547,-2.244148941076869,-3.2858200169682625,NA,NA,-2.4086696795374074,NA,NA,-4.145731839422094,-3.5670172955722137,NA,NA,NA,NA,NA,"4","4","2","1","1","1","4","2","1","1","3"
"1251","1251",NA,NA,-2.752471536149539,NA,-2.499494048723454,NA,-2.615382520612517,NA,NA,-3.6331357160614104,-2.733260765110316,-0.4717085544696964,1.6058752357232784,2.9521600343491876,3.035939581051462,NA,2.5786455443774763,NA,2.276115137774635,NA,NA,NA,3.605998386175969,NA,2.310034625824951,NA,NA,-2.210990639325331,NA,NA,-2.3517458138712755,2.1641905167828384,-1.0634647032994948,1.6652528490601064,-1.364985994913976,2.701281789988416,1.3888368049130513,2.6569922550313514,-3.0269387338078317,-1.414293595558771,-4.766361898170247,-3.5589738832561117,-0.8414265659905205,-4.214568696195686,-3.8554083029293267,-1.0567234326816575,NA,NA,-1.7866620849716064,NA,-2.8131820589348173,-2.2271845116482645,NA,NA,-1.1082030301540904,NA,NA,NA,"1","4","3","4","2","1","4","3","3","1","1"
"5300","5300",NA,NA,-3.4230000327254153,NA,NA,NA,NA,NA,NA,NA,NA,1.193277238470344,3.064409294122285,3.3352355600074457,NA,NA,2.3070870860693766,NA,2.8371244490346044,NA,NA,NA,2.443343951440511,NA,NA,NA,NA,NA,NA,NA,-3.6459425115891513,NA,NA,NA,-2.2517082640829855,NA,NA,NA,-2.9932949803402025,-2.862001719998986,-3.4010919587325112,-3.4653994298562623,0.15092719362968054,-3.0814773249146725,-2.0461175516632366,-1.1591515242256953,NA,NA,-3.2542648726033185,NA,NA,-2.6634767973337183,NA,NA,NA,NA,NA,NA,"2","3","1","2","2","3","4","2","1","2","2"
"686","686",NA,NA,-2.1609765969094674,NA,NA,NA,NA,NA,NA,NA,NA,2.294631889917067,1.817057831310727,3.3253427352199108,NA,NA,2.0968569382539357,NA,2.6469223297197715,NA,NA,NA,1.5422200268692023,NA,NA,NA,NA,NA,NA,NA,-3.2946423440303807,NA,NA,NA,-2.371037436268086,NA,NA,NA,-2.7512230550209402,-2.3430210195929178,-2.126772403850847,-1.6880730692948767,-0.1329671448851677,-3.4468066914219246,-1.771254493266774,-2.707209174464179,NA,NA,-3.505970578412871,NA,NA,-2.1486232681507538,NA,NA,NA,NA,NA,NA,"2","3","2","2","2","2","4","2","2","2","1"
"5276","5276",NA,NA,-1.6428372695717108,NA,NA,NA,NA,NA,NA,NA,NA,2.250211398043149,2.5834522106029887,3.6525357674577563,NA,NA,2.33413947235276,NA,2.1394697189674474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.325963297954342,NA,NA,NA,-2.282950593249957,NA,NA,NA,NA,NA,NA,NA,1.8069307629563554,NA,NA,NA,NA,NA,-2.317316230240305,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","2","3","3","3","1","3","2","1"
"767","767",-2.2452189751405864,NA,-1.7072984394972117,-2.7301307325830617,-2.356649951470164,-0.9948333896742412,NA,NA,NA,0.7416367230349223,NA,1.4585483746422483,1.2777025093652767,1.034172954660228,NA,NA,2.1019002149922166,NA,2.4648104621088045,1.8820829723120447,0.9341251801906445,0.1804726952544904,3.5354097827568864,NA,NA,1.2559106900141188,2.124350223142688,1.1494995732415418,0.875916919861826,0.9628722653013995,0.09189293679620292,0.723721146289563,1.2258251124127177,1.4394735208016058,0.6601385648354459,-0.5400327180714264,3.326769277234643,2.132307198463476,-1.3414079155226482,-0.4204454627124363,-0.7246354832965345,-2.2964684176633092,-0.17787474016516924,-2.667774665142314,-2.24509802329737,-1.527189982641815,-0.6789125414790611,-0.12423606506103724,-1.4037343041531365,-1.7255418122616213,-1.245627642595334,-2.7129556615498878,-0.20083115579047472,-0.38422202434081854,-1.767396408833207,NA,NA,NA,"2","3","3","2","3","3","3","3","3","3","3"
"809","809",-1.9027164462210209,-0.056399993050582964,-1.749877215362286,-4.148596299258497,-2.759035168807422,0.3012918619285436,0.29433897016645005,-1.5787919104750827,-0.1076991535116747,1.8483682618413155,-0.39171638686018184,1.5173128696521516,2.547756603036966,-0.06492514495732138,-0.8264135268934112,-1.1761912219794972,1.1245741740649748,-1.7157122608678215,1.4037179980442644,0.9210886350853471,1.0571467981484268,2.491801218454384,1.1793047389764624,-0.4705546254084325,-0.7720431093250362,1.998559841988616,2.0821086079690367,2.956411370920108,1.1216908135071044,3.9175882008587664,1.1866159584644294,0.27035150815317976,1.9129629599989073,3.198952889924179,0.33527665311050825,-0.8513393053539282,1.1277297361282947,1.326603529121268,1.0180421482594717,0.16670284290554704,-0.10364866524762917,-2.500042872622597,-0.16857381020495765,-1.829941819239302,-1.1764797806021434,-1.8236373950836864,-1.8308213567690537,1.3917028617764906,-2.088993657159623,-2.317501733862187,-1.5729328643667309,-1.2847488876005784,-0.3872755819923839,-1.4187696557162468,0.12052162909796138,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4"
"1288","1288",-3.1222669959300298,NA,-2.422163756588624,-3.2173146756474083,NA,NA,NA,NA,NA,2.905488006641985,NA,2.038529385548781,0.48245120706673816,-0.20195241026719302,NA,NA,1.781706117064978,NA,2.4550989694580814,3.05901550177094,1.8999967330292264,2.2243575026552875,3.4899537289415434,NA,NA,2.2776932418847515,1.8217951074760421,2.4484517892504307,-0.5270415332007943,1.3237739282314678,0.35998710332408024,-2.100359000364012,NA,NA,-2.0007404962300086,-2.507583297513129,NA,NA,-0.2992533599648297,-3.1220756745336473,-1.2829197820760996,-1.941083554149877,-0.48396653037984194,-4.115974128681955,-2.2047671590258133,-2.6580086852929483,-3.494079202151587,NA,-2.318197146700303,-3.1020926289549138,NA,-2.761684643387756,NA,NA,NA,NA,NA,NA,"1","4","2","1","2","4","4","4","2","1","1"
"1961","1961",NA,NA,-2.6076969170232402,NA,NA,NA,NA,NA,NA,NA,NA,1.4524420722574725,1.2619180522558509,1.4314720126111808,NA,NA,1.6343415221344877,NA,1.980973174652668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6901231013197169,NA,NA,NA,-2.4241823064494543,NA,NA,NA,NA,NA,NA,NA,0.7853976983242035,NA,NA,NA,NA,NA,-2.4444986302134666,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2","2","2","3","3","3","1","3","2"
