ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
163,9.623437957161642,18.55678476809104,17.26154294817229,1.4789904950282175e-7,1.4496453893800845e-4,6.315984240939852,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1311,-7.516121475899784,21.75979202980496,-16.729864819904474,1.8826563498442656e-7,1.4496453893800845e-4,6.199186952880855,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
3429,7.108356760282984,17.99120144972359,14.5414279339282,5.524411591798849e-7,2.8358646171234095e-4,5.628679945796859,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
5431,-5.065689534269776,24.379943860382554,-12.028819900177451,2.33295907064764e-6,6.083597166558992e-4,4.738723332783265,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
98,-7.507253468437607,22.04161784071939,-11.9558820729806,2.44232517541217e-6,6.083597166558992e-4,4.708091972295862,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
2199,-4.806434549953337,24.65199461308449,-11.630671277181827,3.005210023627141e-6,6.083597166558992e-4,4.567674706969748,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
889,-4.680156223328446,26.469631014555333,-11.6074820806321,3.0505902882745225e-6,6.083597166558992e-4,4.557417024210788,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1596,5.488943332599121,17.42089343784278,11.311403710059416,3.702844394771863e-6,6.083597166558992e-4,4.423474645367617,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
502,6.060523820487621,17.95173620420582,11.227644370808225,3.9147146086046846e-6,6.083597166558992e-4,4.384559761403469,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
491,6.612060614894176,18.626376264927124,11.084030928166992,4.310327906867395e-6,6.083597166558992e-4,4.31675547276638,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
131,-4.43893966801064,32.38217279322138,-11.032789276975935,4.462162411957374e-6,6.083597166558992e-4,4.292227035357953,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
2007,5.06503597517581,17.547426738889683,10.943744597346166,4.740465324591422e-6,6.083597166558992e-4,4.249176321766613,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1666,-4.379806492583217,19.6016143089121,-10.678309773261205,5.692311045728707e-6,6.743199238786315e-4,4.117558237958812,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1557,-4.298408807201735,26.80755006181562,-9.888427969983567,1.0057867968145791e-5,9.826219275952267e-4,3.694818191504237,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
1321,6.726443908852854,17.85128550819753,9.86806476188578,1.0211838705407661e-5,9.826219275952267e-4,3.6832667809146864,miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks,TRUE
