ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
1273,8.732727623566177,21.27119279519983,21.23996190611393,6.466665395354984e-21,6.712398680378473e-18,36.21332294145576,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1684,9.079073005487533,21.29458234840846,20.18471017987639,3.126545314563365e-20,1.6226770182583862e-17,34.85591872673564,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1090,6.520428346291617,20.38932779556061,16.95336042198513,6.261712143589395e-18,2.1665524016819308e-15,30.153259281329845,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
4235,5.702843307263407,19.683285080757273,13.742934712553403,2.874762452297188e-15,7.460008563711203e-13,24.498873749471436,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1903,8.426006316422487,21.629302937331648,13.559538289265799,4.207790731393093e-15,8.735373558372061e-13,24.141245662196418,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1746,5.48019305190255,19.697530276742928,9.57138452561074,4.438929516298579e-11,7.406895715523368e-9,15.28409965984516,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2422,6.781320704437039,21.63075871348985,9.525594827738399,4.995016378483967e-11,7.406895715523368e-9,15.169696904744901,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
395,5.378783812899936,19.923341056485533,8.708063824721034,4.302230490523362e-10,5.582144061454062e-8,13.077899139159706,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2960,6.026771733579203,19.753634982781097,8.570706506694414,6.229993985698383e-10,7.185259730172134e-8,12.717439683563795,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1661,4.8687368036278365,19.57703414817014,8.359227637638705,1.1068098408449043e-9,1.0664291057784823e-7,12.157542782344132,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2096,5.986701965260249,19.83382075196952,8.322766969526107,1.2227815441053257e-9,1.0664291057784823e-7,12.060416452738378,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1225,4.503327710694798,19.05502967837142,8.319764392616113,1.23286601824102e-9,1.0664291057784823e-7,12.052410257753296,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
4770,-3.3743535141581553,19.189650216379793,-8.175934036080061,1.8295698387343434e-9,1.4608411481586525e-7,11.667527329105011,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2490,4.8658758052254605,19.468622957553585,8.054756231962521,2.556426353898156e-9,1.8954075395330614e-7,11.34120681489564,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
3519,3.813420202014541,18.9209673990339,7.8887832376498315,4.0538214696396116e-9,2.805244456990611e-7,10.891273396131153,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
5184,3.9372369978637636,19.03020560495523,7.671324261175461,7.452910281295337e-9,4.83507554499035e-7,10.296701832275074,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
5322,-4.3252234816787976,19.986405850634046,-7.519690797329046,1.1431699915491398e-8,6.980061477811807e-7,9.87883386991894,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
1486,5.099750332619582,19.455935347217565,7.2904397945896005,2.193073778292358e-8,1.2646725454819264e-6,9.242211799270084,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2151,5.368319693281837,19.69113530137214,7.192313354283952,2.903277033343168e-8,1.5861060845316885e-6,8.968015187021681,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2152,5.629569302056279,19.663543030321033,6.951267301872843,5.8065962588273494e-8,3.0136234583313944e-6,8.290409738858704,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2733,-4.848385454086419,20.99766492932183,-6.8565046674113095,7.636814796319189e-8,3.774768456466342e-6,8.022542975913657,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
4237,-4.016548927586729,20.139014518017927,-6.750493519348318,1.0385632932948358e-7,4.900130447454725e-6,7.721961582537462,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
5263,2.986575817106452,17.87461295563601,6.715317046582395,1.1503468124695846e-7,5.1915651797540385e-6,7.622018340794742,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
2678,5.498603304803119,19.977112961699007,6.592869478600668,1.6432615974418306e-7,7.107106408935918e-6,7.273368984977457,miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks,TRUE
