ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison,pass
1273,-7.867750060405587,18.435182832994535,-18.93893405133472,8.860768190062118e-15,1.3574696867175165e-11,21.37600815174867,miscanthus_sinensis_6wks vs control_15wks,TRUE
1684,-7.548347324808539,18.217479169677294,-14.527475581454404,1.6714824237430878e-12,1.217066732708042e-9,17.481977208795527,miscanthus_sinensis_6wks vs control_15wks,TRUE
1105,-6.334354777219801,18.166005983202847,-14.263417690101694,2.383289946556218e-12,1.217066732708042e-9,17.199552422688612,miscanthus_sinensis_6wks vs control_15wks,TRUE
3008,-5.887491175754189,18.028585355075155,-13.031611673765399,1.3430614862402171e-11,5.143925492300032e-9,15.793011703410873,miscanthus_sinensis_6wks vs control_15wks,TRUE
4745,-5.441141029316906,18.027034661812515,-12.582295078824865,2.6066398673812265e-11,7.986744553656078e-9,15.241036384026039,miscanthus_sinensis_6wks vs control_15wks,TRUE
3204,-5.687824934653378,18.105208511531774,-11.891150987091894,7.498331101150493e-11,1.9145738744937595e-8,14.348124918602515,miscanthus_sinensis_6wks vs control_15wks,TRUE
1090,-5.598161249579377,18.17976249845201,-11.783160837447316,8.881355424842891e-11,1.9437480729799013e-8,14.203612510318191,miscanthus_sinensis_6wks vs control_15wks,TRUE
4901,-5.033834637160577,17.78213558352634,-10.97735305142149,3.261085534537205e-10,5.053889041963989e-8,13.08045825424006,miscanthus_sinensis_6wks vs control_15wks,TRUE
1903,-7.590289229295667,18.753892973733027,-10.973870347253413,3.279955834838421e-10,5.053889041963989e-8,13.075427561048791,miscanthus_sinensis_6wks vs control_15wks,TRUE
2224,-6.246756867562741,18.095606421209833,-10.959057171365876,3.361494710186806e-10,5.053889041963989e-8,13.054012855130523,miscanthus_sinensis_6wks vs control_15wks,TRUE
4235,-6.090815380003715,17.88078632319885,-10.912995266825487,3.628771505326624e-10,5.053889041963989e-8,12.98724314927399,miscanthus_sinensis_6wks vs control_15wks,TRUE
2960,-5.712681088461139,17.64458708306887,-10.567514599574388,6.489252078721668e-10,8.28461182050133e-8,12.477650583756429,miscanthus_sinensis_6wks vs control_15wks,TRUE
2151,-5.317392176860839,17.931274378326684,-10.464041364307713,7.743243426985846e-10,9.125114561647935e-8,12.321961265073071,miscanthus_sinensis_6wks vs control_15wks,TRUE
2279,-5.9604489527751525,17.46426018759324,-9.96669209753635,1.8414194434060862e-9,2.0150389909272314e-7,11.553403612494137,miscanthus_sinensis_6wks vs control_15wks,TRUE
5322,5.6856591664719005,21.011885758179066,9.683077377241311,3.0573915631067843e-9,3.07461982564165e-7,11.09978498757081,miscanthus_sinensis_6wks vs control_15wks,TRUE
3854,5.184909491368668,22.039867244082,9.655924713678704,3.211091201714517e-9,3.07461982564165e-7,11.05575994678399,miscanthus_sinensis_6wks vs control_15wks,TRUE
395,-5.816936669924917,18.4787238127835,-9.604765864599663,3.522840261981377e-9,3.0996758412871236e-7,10.97252584344513,miscanthus_sinensis_6wks vs control_15wks,TRUE
5045,-4.894298467690437,18.017215517578332,-9.586454278936369,3.6419167848021035e-9,3.0996758412871236e-7,10.942642458040496,miscanthus_sinensis_6wks vs control_15wks,TRUE
1841,-5.039123026072492,17.23745214732173,-9.52438300814693,4.077556997001918e-9,3.253755616239002e-7,10.840988281491928,miscanthus_sinensis_6wks vs control_15wks,TRUE
943,-4.43299555559264,17.840002986380846,-9.501985979917086,4.2477227366044415e-9,3.253755616239002e-7,10.804172716903071,miscanthus_sinensis_6wks vs control_15wks,TRUE
5184,-4.443465711866953,17.932769899452342,-9.46370470930283,4.5558256359887865e-9,3.3235832734927717e-7,10.741079752128243,miscanthus_sinensis_6wks vs control_15wks,TRUE
1059,-5.396793935101908,17.72348638356217,-9.413328906905107,4.996955474121836e-9,3.479698084706661e-7,10.657730712024147,miscanthus_sinensis_6wks vs control_15wks,TRUE
337,-6.221347288517347,17.990484010950325,-9.355382666507577,5.559610305563556e-9,3.617706305749153e-7,10.56140124556962,miscanthus_sinensis_6wks vs control_15wks,TRUE
433,-4.7085984195046535,17.73872335245104,-9.3424919385111,5.693475976283698e-9,3.617706305749153e-7,10.539905445991163,miscanthus_sinensis_6wks vs control_15wks,TRUE
417,-4.787200954789114,17.625653351417604,-9.32288121436801,5.903567731313892e-9,3.617706305749153e-7,10.507157396391925,miscanthus_sinensis_6wks vs control_15wks,TRUE
5574,-4.009292338093271,17.65338669177204,-9.026006989829437,1.0277884426393018e-8,6.056045746628501e-7,10.004521194922635,miscanthus_sinensis_6wks vs control_15wks,TRUE
3724,-5.216741704981221,18.08841276829145,-8.90704602790194,1.287508303989916e-8,7.305417487824264e-7,9.799453743744394,miscanthus_sinensis_6wks vs control_15wks,TRUE
5707,-4.175795210644697,17.99110630649586,-8.613531615951015,2.2622757390506933e-8,1.2377880115091651e-6,9.284429747784472,miscanthus_sinensis_6wks vs control_15wks,TRUE
4707,-3.725277653707991,17.621258201762572,-8.547468007024353,2.5722462862426704e-8,1.3588556243185418e-6,9.1667188919754,miscanthus_sinensis_6wks vs control_15wks,TRUE
2733,6.482815333208382,22.125294589723364,8.496125838190233,2.8433059684295018e-8,1.4519815812113324e-6,9.074781540098794,miscanthus_sinensis_6wks vs control_15wks,TRUE
102,-4.306566655656557,17.420642363173837,-8.324064928673792,3.987824694748259e-8,1.9707572362433332e-6,8.763752268441426,miscanthus_sinensis_6wks vs control_15wks,TRUE
5091,-3.9582002008186308,17.62083144624991,-8.1105450831846,6.101119656956449e-8,2.9209110357679e-6,8.371490377086516,miscanthus_sinensis_6wks vs control_15wks,TRUE
2497,-4.626608113930654,17.837211548221322,-8.070711197445252,6.609262380526335e-8,3.0682999899898014e-6,8.297537199258347,miscanthus_sinensis_6wks vs control_15wks,TRUE
4237,4.770496277293503,21.193189726352585,7.872138848610267,9.879190181925392e-8,4.4514468702087354e-6,7.925242836922107,miscanthus_sinensis_6wks vs control_15wks,TRUE
51,-6.541890847898802,18.44902796416489,-7.791506166191683,1.1648257997782242e-7,5.09860892931497e-6,7.7723372205864925,miscanthus_sinensis_6wks vs control_15wks,TRUE
1486,-4.955667366381089,17.82485884384827,-7.715738651633038,1.3609091001077883e-7,5.716908722887238e-6,7.6277462105630915,miscanthus_sinensis_6wks vs control_15wks,TRUE
