ID,Checked,Comments,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,Annot. Source: ChemSpider Search,Annot. Source: SIRIUS Formulas,Annot. Source: SIRIUS Structures,Annot. Source: SIRIUS De-Novo Structures,# Annots.: Predicted Compositions,# Annots.: mzCloud Search,# Annots.: mzVault Search,# Annots.: ChemSpider Search,# Annots.: SIRIUS Formulas,# Annots.: SIRIUS Structures,# Annots.: SIRIUS De-Novo Structures,Annot. DeltaMass [Da],Annot. DeltaMass [ppm],Calc. MW,m/z,Reference Ion,RT [min],Area (Max.),Top CSI Score,Top CSI Tanimoto Sim.,Top CSI Exact Confidence,Top CSI Approx. Confidence,Top ClassyFire Superclass,Top ClassyFire Class,Top ClassyFire Subclass,CSI Rank,PubChem CID,HMDB ID,KEGG ID,DSSTox ID,InChIKey,mzCloud Best Match,mzCloud Best Match Confidence,mzVault Best Match,mzVault Library Match: NIST_2023_MSMS_HR1,mzVault Library Match: NIST_2023_MSMS_HR2,Polarity,MS2,MS2 Purity [%],control_1_6wks_6wks_flush_1_exudate_Organic,control_1_6wks_6wks_flush_2_exudate_Organic,control_1_15wks_15wks_flush_1_exudate_Organic,control_1_15wks_15wks_flush_2_exudate_Organic,control_2_6wks_6wks_flush_1_exudate_Organic,control_2_6wks_6wks_flush_2_exudate_Organic,control_2_15wks_15wks_flush_1_exudate_Organic,control_2_15wks_15wks_flush_2_exudate_Organic,JM0034dot001_6wks_flush_1_exudate_Organic,JM0034dot001_6wks_flush_2_exudate_Organic,JM0034dot001_15wks_flush_1_exudate_Organic,JM0034dot001_15wks_flush_2_exudate_Organic,JM0062dot001_6wks_flush_1_exudate_Organic,JM0062dot001_6wks_flush_2_exudate_Organic,JM0062dot001_15wks_flush_1_exudate_Organic,JM0062dot001_15wks_flush_2_exudate_Organic,JPN-2011-004_15wks_flush_1_exudate_Organic,JPN-2011-004_15wks_flush_2_exudate_Organic,JPN-2011-023_15wks_flush_1_exudate_Organic,JPN-2011-023_15wks_flush_2_exudate_Organic,JY025_15wks_flush_1_exudate_Organic,JY025_15wks_flush_2_exudate_Organic,JY027_15wks_flush_1_exudate_Organic,JY027_15wks_flush_2_exudate_Organic,KMS062_15wks_flush_1_exudate_Organic,KMS062_15wks_flush_2_exudate_Organic,KMS113_6wks_flush_1_exudate_Organic,KMS113_6wks_flush_2_exudate_Organic,KMS113_15wks_flush_1_exudate_Organic,KMS113_15wks_flush_2_exudate_Organic,PI417947_6wks_flush_1_exudate_Organic,PI417947_6wks_flush_2_exudate_Organic,PI417947_15wks_flush_1_exudate_Organic,PI417947_15wks_flush_2_exudate_Organic,PMS-165_6wks_flush_1_exudate_Organic,PMS-165_6wks_flush_2_exudate_Organic,PMS-165_15wks_flush_1_exudate_Organic,PMS-165_15wks_flush_2_exudate_Organic,PMS-182_6wks_flush_1_exudate_Organic,PMS-182_6wks_flush_2_exudate_Organic,PMS-182_15wks_flush_1_exudate_Organic,PMS-182_15wks_flush_2_exudate_Organic,PMS-546_6wks_flush_1_exudate_Organic,PMS-546_6wks_flush_2_exudate_Organic,PMS-546_15wks_flush_1_exudate_Organic,PMS-546_15wks_flush_2_exudate_Organic,UI10-00009_15wks_flush_1_exudate_Organic,UI10-00009_15wks_flush_2_exudate_Organic,UI11-00002_6wks_flush_1_exudate_Organic,UI11-00002_6wks_flush_2_exudate_Organic,UI11-00002_15wks_flush_1_exudate_Organic,UI11-00002_15wks_flush_2_exudate_Organic,UI14-00019_6wks_flush_1_exudate_Organic,UI14-00019_6wks_flush_2_exudate_Organic,UI14-00019_15wks_flush_1_exudate_Organic,UI14-00019_15wks_flush_2_exudate_Organic,UI25-00001_6wks_flush_1_exudate_Organic,UI25-00001_6wks_flush_2_exudate_Organic,UI25-00001_15wks_flush_1_exudate_Organic,UI25-00001_15wks_flush_2_exudate_Organic
1,FALSE,,Glycerol 1-myristate,C17 H34 O4,Full match,Partial match,Full match,Not the top hit,Full match,Full match,Full match,1,2,1,4,1,10,10,-6.00E-05,-0.19,302.24565,303.25291,[M+H]+1,25.599,23302136.62,-39.41,0.83,0.88,0.95,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,1,71598539,HMDB0011561,,DTXSID0042454,DCBSHORRWZKAKO,87.2,80.4,96.9,Single match found,No matches found,+,DDA for preferred ion,98.97375307,17109908,16268085.4,13944182.19,20745393.23,15631090.37,20195214.35,14103601.88,21669745.32,7876541.003,9658234.357,9980337.599,13363964.31,13404405.59,11781354.53,10874393.08,11537603.65,7691716.338,28213446.88,18295054.63,16743645.74,15050406.06,18999985.63,7454342.066,7177833.427,12446159.75,26775578,12808908.92,12102344.85,9766290.181,9602721.999,2737355.716,1873805.059,1591880.063,2147316.646,17794555.2,17628854.95,11303220.91,14698165.43,8654479.886,5515498.114,3796870.461,12253501.54,20804922.4,19364528.39,7160673.607,11164240.77,4770759.768,3231720.054,11393137.18,17624838.51,25224321.47,22475088.66,7028009.845,10903691.12,8975687.61,12231857.83,23302136.62,19519689.75,15708793.56,22877911.03
2,FALSE,,"(1S)-1,5-Anhydro-2-O-(6-deoxy-α-L-mannopyranosyl)-1-(5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-chromen-6-yl)-D-glucitol",C27 H30 O14,Unused,No match,Invalid mass,No match,No match,No match,No match,12,4,11,17,5,10,10,-146.05823,-252624.41,432.10533,433.1126,[M+H]+1,15.488,79486695.8,-16.75,0.98,0.83,0.93,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,,,,,,BGPMMCPSTAYIEL-UTKQBPCESA-N,98.5,84.7,96.4,Multiple matches found,Single match found,+,DDA for preferred ion,99.44361591,0,0,0,0,0,0,0,0,0,0,0,0,780319.6771,0,3500325.47,0,0,0,0,0,0,0,0,0,0,0,9544527.508,1613335.684,0,0,1691028.166,0,617517.5706,0,1514924.853,0,1471440.938,0,0,0,0,0,2831046.425,303769.8915,79486695.8,17895602.02,9969993.72,0,854201.8977,0,0,0,0,0,0,0,0,0,0,0
3,FALSE,,"3-(3,5-Di-tert-butyl-4-hydroxyphenyl)propanoic acid",C17 H26 O3,No match,No results,Invalid mass,No results,No match,No match,No results,1,0,1,0,4,10,0,17.02646,61204.83,295.21466,296.22193,[M+H]+1,25.156,59716989.34,-230.55,0.34,0.22,0.22,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,,WPMYUUITDBHVQZ-UHFFFAOYSA-N,,,95.3,No matches found,Single match found,+,DDA for preferred ion,98.77908367,31602421.86,331247874.4,315957620.7,387868658,160349700.8,72226174.77,61253992.83,744680985.5,36923322.11,398175309,293647083.2,64423483.3,70020873.22,66939518.63,348250118.3,542821016.3,33494081.43,26836705.98,33317282.76,45280289.12,36269071.76,38564736.08,60625982.92,56218591.28,43484149.45,30531127.76,518619221.4,692870556.1,364405401.9,448798466.2,54945157.9,54814885.24,91432963.26,96892991.32,70760550.1,37647195.56,44579355.9,38478974.67,98737923.05,78922271.91,38903994.38,69391944.06,33845830.92,63908488.42,35487945.47,40011871.12,34311669.17,32642508.87,35316383.1,49395180.47,51734126.15,545358485.5,60070346.91,49392498.84,54471139.62,100615285.1,49496592.74,317704259.3,69053700.6,84891479.36
4,FALSE,,Diisobutyl phthalate,C16 H22 O4,Full match,Full match,Full match,Partial match,Full match,Full match,Full match,1,4,4,15,3,10,10,-0.0001,-0.37,278.15171,279.15898,[M+H]+1,0.997,27272129.72,-26.22,0.8,0.47,0.67,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,1,6782,HMDB0013835,C15205,DTXSID50745737,MGWAVDBGNNKXQV-UHFFFAOYSA-N,93,9.7,95.3,Multiple matches found,Multiple matches found,+,DDA for preferred ion,91.52245179,10933811.24,8573352.433,7128205.282,13824803.69,39168170.42,7511830.569,8084902.593,14623642.86,13544688.81,12101990.75,13117101.11,13304001.49,20577944.38,44942724.34,48143277.1,16590837.22,9973732.532,3109058.283,12157605.18,8867892.303,9554938.788,41312061.15,29321401.7,35768751.48,10420193.26,10395433.08,16502114.34,15802531.81,13456202.82,8656449.301,28076265.92,8713046.722,3462640.24,31787857.07,3312485.091,9819348.265,3105457.78,16914396.41,8058485.979,5890339.718,8843321.805,35589877.62,9927522.739,7049169.017,7800482.617,9191368.702,10845159.98,11524847.35,3870552.576,31041727.16,41803215.66,14804043.36,9468934.879,37575434.52,9602058.536,45677808.26,9929446.17,16530897.72,13343576.21,14098517.85
5,FALSE,,4-Acetyldiphenyl sulfone,C14 H12 O3 S,No results,No match,Invalid mass,No match,No match,No match,No match,0,1,2,10,6,3,10,-63.99261,-246077.41,196.05811,219.04733,[M+Na]+1,21.388,529697677.6,-78.76,0.38,0.13,0.11,Organic acids and derivatives,Hydroxy acids and derivatives,,,,,,,FGFHDNIGKVTTLC-UHFFFAOYSA-N,93.8,9.7,94.8,No matches found,Multiple matches found,+,DDA for other ion,98.61321174,434151829.6,470347792.1,445695870.9,524154931.7,577764941.8,509896310.4,451215740.4,511615530.7,397952819.2,456853750,412930915.2,454839533.2,436585159.9,425824267,297821334,394711907.8,436925987.9,429702333.7,404679507.1,386924025,405435236.3,450254423,397625023.3,494831152.3,441367909.4,452900126.2,520324941.7,465434278.3,408078353.4,454431444.3,458378072.3,630707615.7,502268582.3,524798758,500846904.2,600893540.4,411268949.9,457064614,529697677.6,627248885.4,465394927.6,495375795.8,447893033,501494370.2,430445682.9,464231252.9,421230168.7,438588479.2,471492158.5,495911302.7,465785742.8,475008145.8,564889337.7,575070704.2,459163602.9,554565493.4,423396560.1,479001207,396694947.4,455947415
6,FALSE,,"1,4,7-Trioxacyclotridecane-8,13-dione",C10 H16 O5,Full match,Invalid mass,Full match,No results,Full match,Full match,Full match,1,2,2,0,8,10,10,-7.00E-05,-0.33,216.0997,217.10698,[M+H]+1,0.507,152419074.2,-16.05,0.9,0.93,0.93,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,1,81082,,,DTXSID10216271,PMDHMYFSRFZGIO,88.5,9.4,94.4,No matches found,Multiple matches found,+,DDA for preferred ion,96.4755005,153641193.2,0,0,0,0,0,127518722.5,109416764.8,153506546.5,0,0,0,141750388.9,143136314,0,0,0,0,0,158623035.6,0,152175320.8,127051843.7,0,0,0,0,152419074.2,0,0,0,0,166954955.5,0,0,0,0,0,155828508.5,0,144260361.2,0,0,141233167,0,0,135570392.4,0,0,25986548.26,23519318.1,0,141484181.2,0,139451189,0,0,0,0,0
7,FALSE,,N-Octanoyl-L-homoserine lactone,C12 H21 N O3,Full match,No results,Full match,Full match,Full match,Full match,Full match,1,0,2,2,3,10,10,-7.00E-05,-0.32,227.15207,228.15935,[M+H]+1,20.477,162952577.4,-111.94,0.87,0.98,0.98,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1,6914579,HMDB0255213,C21199,DTXSID301305072,JKEJEOJPJVRHMQ,,,94.3,Multiple matches found,No matches found,+,DDA for preferred ion,99.67703368,0,0,0,0,0,0,0,0,22689107.69,0,0,0,0,0,58524490.01,13070394.09,0,0,0,0,0,0,0,3099948.808,0,0,0,0,0,0,0,0,0,0,0,0,3875222.341,0,0,0,0,0,0,0,162952577.4,70773134.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,FALSE,,Dibutyl maleate,C12 H20 O4,Full match,Full match,Full match,Partial match,Full match,Full match,Full match,1,1,2,2,2,10,10,-2.00E-05,-0.08,228.13614,229.14342,[M+H]+1,23.865,4806072.27,-17.89,0.88,0.91,0.92,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,1,5271569,,,DTXSID3026724,JBSLOWBPDRZSMB-FPLPWBNLSA-N,88.3,54.9,93.4,No matches found,Multiple matches found,+,DDA for preferred ion,81.63075605,9208014.936,7350504.857,61492593.68,9244684.798,10489546.58,864690.4544,23205190.23,13016485.65,29659987.12,15593383.54,18183799.72,3553902.583,16947377,10884930.11,29682176.06,10516807.93,8594686.642,989866.7396,11770995.96,6110136.242,19225171.27,5352792.099,5139577.461,33436788.22,12634694.28,1067523.956,10810719.28,6952119.229,15115477.83,8587071.086,16980395.03,1068419.772,14581220.88,9755413.64,10601824.03,9409824.418,17838701.63,7718425.217,934443.7961,7828881.45,14296656.65,1078287.946,19908009.27,751285.2315,122152379.4,23493506.33,11902053.69,946532.6847,23551078.7,10717886.68,1312596.066,822413.5858,19166924.21,4168194.567,98506421.03,24537684.4,19532158.22,9490636.807,16619890.79,1485814.663
9,FALSE,,4-O-p-Coumaroylquinic acid,C16 H18 O8,Not the top hit,Full match,Full match,Not the top hit,Full match,Partial match,Partial match,12,5,4,7,10,10,10,-0.00027,-0.79,338.0999,339.10718,[M+H]+1,15.142,29460647.24,-32.94,0.94,0.8,0.98,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,2,161832517,HMDB0301710,C10441,DTXSID301112645,XWRHBGVVCOSNKO-OTCYKTEZSA-N,97.9,9.9,93.4,Multiple matches found,Multiple matches found,+,DDA for preferred ion,94.22174512,0,0,0,0,0,0,63391.95956,0,29460647.24,6696500.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543417.6881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,FALSE,,9-Chlorononanoic acid,C9 H17 Cl O2,No match,Invalid mass,Invalid mass,No match,No match,No match,No match,1,3,19,14,2,10,10,-53.98731,-281049.67,138.1044,139.11167,[M+H]+1,0.664,79368199.65,-45.86,0.38,0.12,0.12,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,,DFJLDESPZKERQH-UHFFFAOYSA-N,85.1,68.8,93.3,Multiple matches found,Multiple matches found,+,DDA for preferred ion,90.42094081,43255950.74,47767420.45,56610168.54,58707307.62,38848658.84,47465054.92,47490747.69,73097208.24,67087810.86,70674586.36,56310257.07,56540201.61,0,62625418.35,57376092.81,81670538.82,76138300.74,0,52419214.16,0,40433446.15,106983715.2,0,0,40465318.75,52288631.42,51677301.32,59855773.71,52874216.33,79368199.65,0,113551459.5,24601296.42,0,35254874.81,41359942.85,32130257.85,37364798.4,37286008.17,40173396.73,36136482.88,36343204.62,38468616.58,37531694.46,35694854.58,35652508.77,92010970.27,62491697.06,49550411.91,41517375.31,40183582.26,48453316.95,79921251.25,84366740.37,62251154.99,133516104.1,41299729.36,52521071.9,49227176.72,47114793.51
