ID,control_1_6wks_6wks_flush_1_exudate_organic,control_1_6wks_6wks_flush_2_exudate_organic,control_1_15wks_15wks_flush_1_exudate_organic,control_1_15wks_15wks_flush_2_exudate_organic,control_2_6wks_6wks_flush_1_exudate_organic,control_2_6wks_6wks_flush_2_exudate_organic,control_2_15wks_15wks_flush_1_exudate_organic,control_2_15wks_15wks_flush_2_exudate_organic,jm0034dot001_6wks_flush_1_exudate_organic,jm0034dot001_6wks_flush_2_exudate_organic,jm0034dot001_15wks_flush_1_exudate_organic,jm0034dot001_15wks_flush_2_exudate_organic,jm0062dot001_6wks_flush_1_exudate_organic,jm0062dot001_6wks_flush_2_exudate_organic,jm0062dot001_15wks_flush_1_exudate_organic,jm0062dot001_15wks_flush_2_exudate_organic,jpn_2011_004_15wks_flush_1_exudate_organic,jpn_2011_004_15wks_flush_2_exudate_organic,jpn_2011_023_15wks_flush_1_exudate_organic,jpn_2011_023_15wks_flush_2_exudate_organic,jy025_15wks_flush_1_exudate_organic,jy025_15wks_flush_2_exudate_organic,jy027_15wks_flush_1_exudate_organic,jy027_15wks_flush_2_exudate_organic,kms062_15wks_flush_1_exudate_organic,kms062_15wks_flush_2_exudate_organic,kms113_6wks_flush_1_exudate_organic,kms113_6wks_flush_2_exudate_organic,kms113_15wks_flush_1_exudate_organic,kms113_15wks_flush_2_exudate_organic,pi417947_6wks_flush_1_exudate_organic,pi417947_6wks_flush_2_exudate_organic,pi417947_15wks_flush_1_exudate_organic,pi417947_15wks_flush_2_exudate_organic,pms_165_6wks_flush_1_exudate_organic,pms_165_6wks_flush_2_exudate_organic,pms_165_15wks_flush_1_exudate_organic,pms_165_15wks_flush_2_exudate_organic,pms_182_6wks_flush_1_exudate_organic,pms_182_6wks_flush_2_exudate_organic,pms_182_15wks_flush_1_exudate_organic,pms_182_15wks_flush_2_exudate_organic,pms_546_6wks_flush_1_exudate_organic,pms_546_6wks_flush_2_exudate_organic,pms_546_15wks_flush_1_exudate_organic,pms_546_15wks_flush_2_exudate_organic,ui10_00009_15wks_flush_1_exudate_organic,ui10_00009_15wks_flush_2_exudate_organic,ui11_00002_6wks_flush_1_exudate_organic,ui11_00002_6wks_flush_2_exudate_organic,ui11_00002_15wks_flush_1_exudate_organic,ui11_00002_15wks_flush_2_exudate_organic,ui14_00019_6wks_flush_1_exudate_organic,ui14_00019_6wks_flush_2_exudate_organic,ui14_00019_15wks_flush_1_exudate_organic,ui14_00019_15wks_flush_2_exudate_organic,ui25_00001_6wks_flush_1_exudate_organic,ui25_00001_6wks_flush_2_exudate_organic,ui25_00001_15wks_flush_1_exudate_organic,ui25_00001_15wks_flush_2_exudate_organic
1,24.10894746047289,24.260367259613897,23.513039307614665,24.45014834305138,24.036772286625744,24.722529335041774,23.341327406024377,24.443145662655812,22.290627779852624,23.209117921690872,22.950167733609238,23.96595166768587,23.646033037520084,23.76566198258946,23.18835015350027,23.741044628871354,22.64996143799756,24.932111306299674,23.837673214422747,24.21795873711955,23.852349961052987,24.342415146903956,23.51233529583827,22.786970296385704,23.850954520603363,25.01966923490238,23.04421053469153,23.612564923983694,22.619589743654664,23.297460978129816,21.675868911450667,21.437012311245883,20.66032787561904,21.19001932475181,24.084833601893706,24.50975871672262,23.176196616643058,24.216927963218534,23.34644783045931,23.07132877882486,21.981425999971723,23.923025732557917,24.26255490937724,24.430124899900893,22.440449924993434,23.676320901939754,22.088435809586073,21.669076144141354,22.967134827039136,24.04453243443756,24.348629686271536,24.389627490240446,22.515725647406803,23.66093068036617,22.71546454985449,23.694906877373533,23.941073664633397,24.09183839134407,23.64954465926368,24.555988547235152
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.756420176567687,NA,21.508037863679345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.96810099437436,20.75985895588627,NA,NA,20.984489643895525,NA,19.305107297582943,NA,20.625998612189246,NA,20.200306115914774,NA,NA,NA,NA,NA,21.64734881556271,18.424540285799207,25.88487079735782,24.352862462487778,23.124246096905352,NA,19.349098660873125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,25.072306397662928,28.52490435086971,28.287845655959792,28.643306790417892,27.458160670822757,26.431639527479806,25.490467587881934,29.413813891972154,24.510371108756125,28.50553941418877,27.511306749625366,26.21988716853013,26.142354160712785,26.168340079370086,28.376235869152502,29.24479219015289,24.801775521680796,24.86883616952951,24.754524427026773,25.630596182841252,25.142243855605525,25.319813194055573,26.526565122503456,25.785742362179626,25.6899495729742,25.227282053510585,28.32649725803893,29.29226153637798,27.651585644282573,28.612189820921877,26.066395270332567,26.203082463096635,26.521984549986986,26.683966723492617,26.230637856581268,25.61474629143021,25.298425759593012,25.465037808411097,26.84938483805306,27.008270199215527,25.35866048151722,26.484183983565156,25.274913196543583,26.07580587902437,25.032313312929087,25.61986623543031,24.82422828507494,24.975328042117326,24.536343111660916,25.3396191544462,25.127306625124284,28.621214808396367,25.806575991853133,25.839169773638144,25.663508636141987,26.80265692907363,25.02076114506199,27.94111969665746,25.813039999551695,26.38006334465332
4,23.45610331466672,23.343502384015185,22.506234925726428,23.87751902279535,25.339252983094728,23.31227663868855,22.51494813755281,23.91406226044793,23.07295681646326,23.533970595860144,23.32496967218904,23.935408626044666,24.264575603038534,25.697057966090565,25.38995256958705,24.244953905091226,23.005524678813263,21.764619353873844,23.213748221889404,23.329268733983866,23.200655940747748,25.45378254287743,25.469601443120812,25.125592397598364,23.547664481526652,23.658179071665547,23.40964296944342,23.996787216563543,23.06867443518797,23.097871186429096,25.051576351375896,23.62679428625499,21.77272554394254,25.09419295721425,21.66010026767689,23.6654653081787,21.36480242790934,24.39241318527099,23.2436729872207,23.166058646201726,23.232784242424167,25.451218213819207,23.195811052577245,22.971996660628264,22.611578578787118,23.39412746362367,23.20447202724558,23.48061075850705,21.40972383404354,24.860433453143663,25.05895317250652,23.7034111819882,22.94658575680092,25.445883156014947,22.854037916780168,25.58421859621254,22.710619837493628,23.911791479215367,23.410815963620564,23.867456013689313
5,28.93385518001908,28.940851474693382,28.846605411751572,29.066063510775923,29.342356652333024,29.105484294781753,28.376012022743176,28.84390506823229,27.876069232823205,28.602765377858283,27.788731393420125,28.98711684806842,28.871482466926327,28.71975103063221,28.24467857889653,28.745130326126894,28.621170216578967,28.892400181978143,28.555958802305486,28.666589759596523,28.672911607920934,28.7695547445704,29.20151073630467,28.98999225657546,29.11732734464806,29.13860206491647,28.22759974959908,28.414997589965374,27.634096618614144,28.4109267305726,29.215733227665833,29.59877415687666,29.01007746995617,29.093378548779924,29.287468429353495,29.724090510095373,28.596008838999147,29.06167037305881,29.45090146431215,30.245011888192213,28.982798121913167,29.481832341309698,29.423099159139692,29.102037735485396,28.902385041079228,29.322662247163635,28.434505475479547,28.660378037194377,27.99195165193334,28.322853303493122,27.982461902758796,28.113682829600574,29.228890614176745,29.397881069886203,29.00066944049346,29.308469736940026,28.1178148046455,28.40263664078644,28.36633246468097,28.712110830974382
6,27.37386722060094,NA,NA,NA,NA,NA,26.537101967047096,26.69079862972936,26.555722373032374,NA,NA,NA,27.17674158554505,27.24319586111748,NA,NA,NA,NA,NA,27.408428115867956,NA,27.24033382103642,27.578659064438824,NA,NA,NA,NA,27.052543786302817,NA,NA,NA,NA,27.400864356895482,NA,NA,NA,NA,NA,27.53417951903715,NA,27.254324029159978,NA,NA,27.230417607193544,NA,NA,26.7900497380653,NA,NA,24.35466053685999,24.074130605540375,NA,27.073494474527774,NA,26.93831941739548,NA,NA,NA,NA,NA
8,23.20343368481793,23.13398933443014,25.670901090408684,23.279668514088716,23.363424256878446,20.170583069060328,24.068656136902323,23.693002639030922,24.194671799050415,23.95477797470561,23.817519280421628,22.05726379527591,23.970811146628854,23.671174804330654,24.63230139471396,23.60910372031769,22.839833883926385,20.112012758125264,23.208841551585586,22.775985956538676,24.192477843901823,22.541740709266634,22.97403181929605,25.001819652803984,23.824224335777565,20.38365429187847,22.826549232433987,22.872863428500445,23.251761187785757,23.14092081736799,24.313242863010984,20.608066596318622,23.845848690057075,23.392288840151323,23.274354444470887,23.600620088836173,23.83056508989141,23.28934142796267,20.110419461705828,23.562423573125074,23.891479381766867,20.416436890386574,24.154778809649176,19.75351542995076,26.529279397192827,24.74910181313373,23.399946389756714,19.89411014550936,24.01409386296228,23.378601891078176,20.085718952571767,19.623794315623368,23.89362322606886,22.277019053757527,26.168080770020975,24.700480199037447,23.68646955610269,23.104463677602766,23.718201405031564,20.590450752806138
10,25.479163137575775,25.777554086142782,25.649223765481604,25.945102512889786,25.395352444424148,25.89744174278405,25.108291215091395,26.13744515202809,25.382939784213885,26.030011130039465,25.265893148579906,26.034694556154616,NA,26.10012562173078,25.73070776488025,26.518485808091572,25.99975845045577,NA,25.432928901274227,NA,25.315490254920306,26.764866257073557,NA,NA,25.600063951626638,26.01542087899883,25.030469213346798,25.822581913452286,24.97448409718578,26.20841160787015,NA,27.214720111827134,24.602617802227943,NA,25.181543466372514,25.731427763159857,24.821799091842962,25.42440164170206,25.42614341575479,25.98513124398853,25.27946298616241,25.461885559982626,25.372475992466793,25.292730557023315,24.929343193162016,25.36301589904623,26.234429707119208,25.905268318456766,25.08289363931671,25.151197104833322,24.9138103067416,25.25172304552582,26.176134882573077,26.60541529901504,25.71557660463572,27.17158319385752,24.768696967579324,25.441565566324837,25.311380982187863,25.553495314699042
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.75270535392516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,17.551390461170005,16.108347492972154,NA,NA,16.063153019924236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.33631754247885,21.262409950608298,20.39129671275072,20.716756430932243,19.498974921990765,19.03539229332803,24.357719441411188,23.35827528368033,24.46761044945027,23.757512854201018,NA,NA,NA,NA,25.0075307791057,24.457196454102498,23.359175317207633,23.907125229851246,19.979619077526127,19.395597417346398,18.081791067256834,16.654382387451037,23.19524746357904,22.465447124398416,22.400837607837957,22.0254525673189,21.414636555810176,20.970580204723834,20.677975622858828,20.382483984402445,22.266104481171396,21.786388867860865,18.061089184761258,17.37197603406004,17.636880030864823,16.421982016506007,NA,NA,NA,NA,16.22862543813082,NA,NA,NA
