ID,control_1_6wks_6wks_flush_1_exudate_organic,control_1_6wks_6wks_flush_2_exudate_organic,control_1_15wks_15wks_flush_1_exudate_organic,control_1_15wks_15wks_flush_2_exudate_organic,control_2_6wks_6wks_flush_1_exudate_organic,control_2_6wks_6wks_flush_2_exudate_organic,control_2_15wks_15wks_flush_1_exudate_organic,control_2_15wks_15wks_flush_2_exudate_organic,jm0034dot001_6wks_flush_1_exudate_organic,jm0034dot001_6wks_flush_2_exudate_organic,jm0034dot001_15wks_flush_1_exudate_organic,jm0034dot001_15wks_flush_2_exudate_organic,jm0062dot001_6wks_flush_1_exudate_organic,jm0062dot001_6wks_flush_2_exudate_organic,jm0062dot001_15wks_flush_1_exudate_organic,jm0062dot001_15wks_flush_2_exudate_organic,jpn_2011_004_15wks_flush_1_exudate_organic,jpn_2011_004_15wks_flush_2_exudate_organic,jpn_2011_023_15wks_flush_1_exudate_organic,jpn_2011_023_15wks_flush_2_exudate_organic,jy025_15wks_flush_1_exudate_organic,jy025_15wks_flush_2_exudate_organic,jy027_15wks_flush_1_exudate_organic,jy027_15wks_flush_2_exudate_organic,kms062_15wks_flush_1_exudate_organic,kms062_15wks_flush_2_exudate_organic,kms113_6wks_flush_1_exudate_organic,kms113_6wks_flush_2_exudate_organic,kms113_15wks_flush_1_exudate_organic,kms113_15wks_flush_2_exudate_organic,pi417947_6wks_flush_1_exudate_organic,pi417947_6wks_flush_2_exudate_organic,pi417947_15wks_flush_1_exudate_organic,pi417947_15wks_flush_2_exudate_organic,pms_165_6wks_flush_1_exudate_organic,pms_165_6wks_flush_2_exudate_organic,pms_165_15wks_flush_1_exudate_organic,pms_165_15wks_flush_2_exudate_organic,pms_182_6wks_flush_1_exudate_organic,pms_182_6wks_flush_2_exudate_organic,pms_182_15wks_flush_1_exudate_organic,pms_182_15wks_flush_2_exudate_organic,pms_546_6wks_flush_1_exudate_organic,pms_546_6wks_flush_2_exudate_organic,pms_546_15wks_flush_1_exudate_organic,pms_546_15wks_flush_2_exudate_organic,ui10_00009_15wks_flush_1_exudate_organic,ui10_00009_15wks_flush_2_exudate_organic,ui11_00002_6wks_flush_1_exudate_organic,ui11_00002_6wks_flush_2_exudate_organic,ui11_00002_15wks_flush_1_exudate_organic,ui11_00002_15wks_flush_2_exudate_organic,ui14_00019_6wks_flush_1_exudate_organic,ui14_00019_6wks_flush_2_exudate_organic,ui14_00019_15wks_flush_1_exudate_organic,ui14_00019_15wks_flush_2_exudate_organic,ui25_00001_6wks_flush_1_exudate_organic,ui25_00001_6wks_flush_2_exudate_organic,ui25_00001_15wks_flush_1_exudate_organic,ui25_00001_15wks_flush_2_exudate_organic
1,17109908,16268085.4,13944182.19,20745393.23,15631090.37,20195214.35,14103601.88,21669745.32,7876541.003,9658234.357,9980337.599,13363964.31,13404405.59,11781354.53,10874393.08,11537603.65,7691716.338,28213446.88,18295054.63,16743645.74,15050406.06,18999985.63,7454342.066,7177833.427,12446159.75,26775578,12808908.92,12102344.85,9766290.181,9602721.999,2737355.716,1873805.059,1591880.063,2147316.646,17794555.2,17628854.95,11303220.91,14698165.43,8654479.886,5515498.114,3796870.461,12253501.54,20804922.4,19364528.39,7160673.607,11164240.77,4770759.768,3231720.054,11393137.18,17624838.51,25224321.47,22475088.66,7028009.845,10903691.12,8975687.61,12231857.83,23302136.62,19519689.75,15708793.56,22877911.03
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780319.6771,NA,3500325.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9544527.508,1613335.684,NA,NA,1691028.166,NA,617517.5706,NA,1514924.853,NA,1471440.938,NA,NA,NA,NA,NA,2831046.425,303769.8915,79486695.8,17895602.02,9969993.72,NA,854201.8977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,31602421.86,331247874.4,315957620.7,387868658,160349700.8,72226174.77,61253992.83,744680985.5,36923322.11,398175309,293647083.2,64423483.3,70020873.22,66939518.63,348250118.3,542821016.3,33494081.43,26836705.98,33317282.76,45280289.12,36269071.76,38564736.08,60625982.92,56218591.28,43484149.45,30531127.76,518619221.4,692870556.1,364405401.9,448798466.2,54945157.9,54814885.24,91432963.26,96892991.32,70760550.1,37647195.56,44579355.9,38478974.67,98737923.05,78922271.91,38903994.38,69391944.06,33845830.92,63908488.42,35487945.47,40011871.12,34311669.17,32642508.87,35316383.1,49395180.47,51734126.15,545358485.5,60070346.91,49392498.84,54471139.62,100615285.1,49496592.74,317704259.3,69053700.6,84891479.36
4,10933811.24,8573352.433,7128205.282,13824803.69,39168170.42,7511830.569,8084902.593,14623642.86,13544688.81,12101990.75,13117101.11,13304001.49,20577944.38,44942724.34,48143277.1,16590837.22,9973732.532,3109058.283,12157605.18,8867892.303,9554938.788,41312061.15,29321401.7,35768751.48,10420193.26,10395433.08,16502114.34,15802531.81,13456202.82,8656449.301,28076265.92,8713046.722,3462640.24,31787857.07,3312485.091,9819348.265,3105457.78,16914396.41,8058485.979,5890339.718,8843321.805,35589877.62,9927522.739,7049169.017,7800482.617,9191368.702,10845159.98,11524847.35,3870552.576,31041727.16,41803215.66,14804043.36,9468934.879,37575434.52,9602058.536,45677808.26,9929446.17,16530897.72,13343576.21,14098517.85
5,434151829.6,470347792.1,445695870.9,524154931.7,577764941.8,509896310.4,451215740.4,511615530.7,397952819.2,456853750,412930915.2,454839533.2,436585159.9,425824267,297821334,394711907.8,436925987.9,429702333.7,404679507.1,386924025,405435236.3,450254423,397625023.3,494831152.3,441367909.4,452900126.2,520324941.7,465434278.3,408078353.4,454431444.3,458378072.3,630707615.7,502268582.3,524798758,500846904.2,600893540.4,411268949.9,457064614,529697677.6,627248885.4,465394927.6,495375795.8,447893033,501494370.2,430445682.9,464231252.9,421230168.7,438588479.2,471492158.5,495911302.7,465785742.8,475008145.8,564889337.7,575070704.2,459163602.9,554565493.4,423396560.1,479001207,396694947.4,455947415
6,153641193.2,NA,NA,NA,NA,NA,127518722.5,109416764.8,153506546.5,NA,NA,NA,141750388.9,143136314,NA,NA,NA,NA,NA,158623035.6,NA,152175320.8,127051843.7,NA,NA,NA,NA,152419074.2,NA,NA,NA,NA,166954955.5,NA,NA,NA,NA,NA,155828508.5,NA,144260361.2,NA,NA,141233167,NA,NA,135570392.4,NA,NA,25986548.26,23519318.1,NA,141484181.2,NA,139451189,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,22689107.69,NA,NA,NA,NA,NA,58524490.01,13070394.09,NA,NA,NA,NA,NA,NA,NA,3099948.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3875222.341,NA,NA,NA,NA,NA,NA,NA,162952577.4,70773134.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,9208014.936,7350504.857,61492593.68,9244684.798,10489546.58,864690.4544,23205190.23,13016485.65,29659987.12,15593383.54,18183799.72,3553902.583,16947377,10884930.11,29682176.06,10516807.93,8594686.642,989866.7396,11770995.96,6110136.242,19225171.27,5352792.099,5139577.461,33436788.22,12634694.28,1067523.956,10810719.28,6952119.229,15115477.83,8587071.086,16980395.03,1068419.772,14581220.88,9755413.64,10601824.03,9409824.418,17838701.63,7718425.217,934443.7961,7828881.45,14296656.65,1078287.946,19908009.27,751285.2315,122152379.4,23493506.33,11902053.69,946532.6847,23551078.7,10717886.68,1312596.066,822413.5858,19166924.21,4168194.567,98506421.03,24537684.4,19532158.22,9490636.807,16619890.79,1485814.663
9,NA,NA,NA,NA,NA,NA,63391.95956,NA,29460647.24,6696500.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543417.6881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,43255950.74,47767420.45,56610168.54,58707307.62,38848658.84,47465054.92,47490747.69,73097208.24,67087810.86,70674586.36,56310257.07,56540201.61,NA,62625418.35,57376092.81,81670538.82,76138300.74,NA,52419214.16,NA,40433446.15,106983715.2,NA,NA,40465318.75,52288631.42,51677301.32,59855773.71,52874216.33,79368199.65,NA,113551459.5,24601296.42,NA,35254874.81,41359942.85,32130257.85,37364798.4,37286008.17,40173396.73,36136482.88,36343204.62,38468616.58,37531694.46,35694854.58,35652508.77,92010970.27,62491697.06,49550411.91,41517375.31,40183582.26,48453316.95,79921251.25,84366740.37,62251154.99,133516104.1,41299729.36,52521071.9,49227176.72,47114793.51
11,NA,NA,NA,NA,NA,NA,NA,14012665.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27271236.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,175582.7897,62077.84083,NA,NA,62954.38765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2989299.497,2204986.517,1645933.753,1464156.582,742991.4026,501552.5476,13425083,10700395.6,19710250.13,11112131.66,NA,NA,NA,NA,27089048.61,15650252.18,10406712.48,13937261.6,957899.8038,508327.3549,319842.2064,100941.9184,8375517.535,4687748.028,4939790.244,3718830.938,2377953.757,1806923.892,1896061.927,1276641.591,5439564.886,3515190.095,347257.5998,200998.4139,234154.2972,109208.6046,NA,NA,NA,NA,112004.8669,NA,NA,NA
14,76010360.98,41625917.77,161385846,164864588.5,51412160.59,89055984.85,204569464,228329082.8,214600646.6,67477648.35,174035855.7,72790781.39,121776632.5,130682164.2,124715087,168122058.4,266401695.7,179456835.7,194562633.1,188625442.5,136149249.8,165737100.9,112560560.2,128786447.2,137378741.5,252467156.1,255763690.4,260732071.7,244697934.8,226297929.4,10403162.9,14369070.51,16822289.95,20853719,40569478.02,43247072.51,38353022.33,57963595.08,27219769.13,16422354.73,33200903.34,36312596.29,47784318.83,20040764.48,25860519.45,58988198.74,269971835.7,200182293,180659374,212450012.5,206993235.4,244235394.8,83877555.65,82591149.6,78938112.18,86922782.49,178796996.8,155992463.3,122584876.5,312056006.2
15,NA,NA,27036747.89,27913902.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42489700.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,47596768.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,53636765.77,48890179.12,44520286.86,46094828.77,54129566.04,120889057.8,89189370.65,106486388.7,59581387.08,98499861.69,103419064.2,99561761.06,111059523.2,96483522.01,105811350,112304892.6,40712159.29,41483053.63,51037918.35,69030599.89,47781644.94,50408361.24,41965152.32,43659948.22,46137139.08,43447782.32,105370920.3,99706906.34,52396986.14,59324194.12,78556032.66,84817562.99,81333651.85,72543318.58,57596573.36,50124531.46,48879111.71,65681604.11,78628109.14,60199381.6,59627599.29,63157353.41,49089830.59,48535728.18,70373916,60386708.17,46644995.09,52392287.25,61078457.3,69809345.87,85130858.68,80618563.03,83581786.62,91679107.02,83633830.79,96246616.36,71528170.28,139267474.1,97216835.7,113111985.8
17,6266999.224,2533443.628,11502794.42,5099517.146,2581654.796,1010008.472,14972364.64,5033582.111,3705414.606,2006817.626,2852680.73,NA,3660065.05,1971555.185,5046683.582,NA,1993845.9,NA,2319288.679,NA,3757244.287,NA,1370384.869,3559140.818,1553778.496,NA,4562869.811,NA,7564133.34,2291913.586,2769482.434,1089123.837,4125362.877,1333395.904,3288197.388,1464283.551,1927851.495,865091.3603,2442018.177,953992.4597,4146251.723,1843803.784,3830655.491,1104261.296,2547857.647,1651254.764,3908995.583,2122886.971,3944451.86,1282571.383,NA,NA,6773341.383,3925937.962,5557039.941,2293085.334,4126683.119,NA,7417746.845,2450862.741
18,4972631.37,5526065.374,2973197.322,3879431.362,4399100.739,4444039.81,4034852.542,3359061.162,4745581.957,5585554.67,4024391.263,3855558.996,3913254.976,4031237.632,3812260.9,4381554.631,2034312.438,6999746.425,2009981.033,2167605.422,1906580.131,5002070.753,2639912.062,2549337.214,2418385.14,1840145.087,2443035.792,2831004.309,3559492.795,4977477.121,3297529.623,3850049.624,3796579.342,3842185.265,7602230.046,2734093.895,4533395.844,5485233.375,3783793.769,21777319.77,2459761.034,14007463.21,10702860.78,11582016.26,9085320.051,8578589.255,1950721.661,1951641.382,5846973.786,2911762.141,6722445.725,5708772.614,2887531.763,3564466.87,2714073.433,3289595.201,3917851.698,4621247.173,3554110.702,3776816.187
19,166188327.9,171484471.3,179648531.6,190125518,174862011.2,188076923,172309142.9,197064284,151764369,168295761.8,133750938.1,161512239.6,154423949.3,160271360.9,126115371.3,156774307.8,174109828.9,180510217.7,162439028.4,158366362.4,147473148.3,157667751.7,259216538.6,178546525.6,178478605,187368881.7,166409616.2,170006478.5,146497012.2,161300546.9,161297852.4,171068382.5,172524604.4,172628477.7,172027813.1,171801007.6,155777814.5,160327093.7,171082595.8,170639824.1,170294969.1,162054013.8,162535241,182096091.2,170942647.3,167670435.3,183836908.8,182189083.3,165149099.4,175966761.3,167351211.4,168812985.3,151547527.5,157205287.2,100657367.1,149655754.4,154035634.3,167967285.7,141765600.5,173495122.4
20,4766749.23,5292030.423,6711218.367,5654074.133,6197343.518,5049898.208,4647104.932,5882314.08,3479896.149,5385983.868,3424411.239,3520379.337,3213630.619,5710129.098,5265921.772,11997488.77,2547927.959,2533838.647,3068894.085,2987021.459,2560223.065,2569459.822,2424470.984,2237869.388,2544087.249,2623038.738,3398232.835,1121977.38,3164677.242,3510147.38,4035864.689,4620209.214,4387981.868,4550591.649,4515133.489,4486475.251,4270648.953,4560380.953,5247594.09,4016862.269,4527721.695,4754266.127,4156303.468,4278686.026,4731751.327,4922018.11,2628918.423,1843048.356,2753805.051,2985382.728,3774091.756,3335627.151,4209389.095,4380851.079,4288156.86,4811686.426,3598510.8,3439257.306,1256191.576,3212459.28
21,584846.2649,NA,2080830.111,NA,1132189.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976992.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16577339.61,1740025.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,167231780.2,259037784.6,217520042.6,197325172.7,248426450,343497247.4,355206058.4,343220014.3,178399945.5,162179562,194630526.3,164782101.3,219336743.1,221726850.4,259129492.3,294153158.1,127216920.9,110108477.7,133683546.3,126310959.2,100821882.7,106525222.9,113428227.3,120682644.6,126045433.8,138104024.8,208526875.4,211743488.4,161383611.7,139851920.4,154794761.3,187765404.5,171617574.7,200058104.1,199522157.2,270257219.8,145416357.4,201812830.5,236073228.4,157007986.7,164155323.4,183881338.1,151101243.4,153471614.1,179909500.8,167164471.9,143245901.6,141350073,151753290.7,200090651.4,152858785.3,143214867,156202248.4,183420544.8,194315143.4,201746346.5,179773890.5,168096527.9,241756285.6,225815958.5
23,9834019.308,10983993.82,NA,9440066.56,NA,11868608.06,NA,13363326.67,34194117.69,1484109.59,11460332.93,30409493.49,25777144.93,22058959.25,21802082.71,27595268.41,NA,7468306.823,NA,NA,NA,NA,NA,NA,2465350.096,NA,20417338.06,NA,11306740.01,11786801.12,NA,NA,NA,14704263.07,NA,NA,NA,11537089.61,14742343.45,7788298.789,10747904.89,10609467.59,NA,11588791.42,10971971.61,11563356.66,NA,NA,9716640.947,13817111.73,16205140.22,NA,17124014.76,16825314.75,15993583.21,NA,NA,NA,10984087.31,NA
24,NA,NA,NA,27761668.45,NA,41966615.06,35402426.01,NA,NA,NA,NA,NA,26781271.18,30221586.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8724397.97,NA,NA,NA,NA,NA,72661426.73,NA,NA,NA,NA,52998678.14,61690442.86,45361942.32,NA,NA,NA,NA,29072962.21,NA,NA,NA,19378896.84,19574613.38,NA,NA,NA,NA,43052195.36,NA,56458400.33,NA,68456278.55,NA,NA
25,NA,NA,NA,2375209.334,NA,NA,6241858.337,NA,NA,NA,6903196.009,6479995.027,NA,NA,151468855.9,33403762.86,NA,NA,13152727.56,NA,6475319.134,3029700.18,3995108.64,NA,1268125.883,5625359.951,NA,NA,6963047.275,NA,NA,NA,4378430.906,3766466.567,NA,NA,9102548.941,NA,NA,NA,NA,2056805.052,NA,NA,20169850.68,3594489.709,4961411.044,NA,NA,NA,NA,8327445.339,NA,NA,21480471.16,28311301.22,NA,NA,14077113.04,NA
26,1732788.234,2232106.277,2057585.221,3074560.515,2058370.206,2003040.071,1420972.964,2828086.087,1892754.114,2466615.657,1301507.698,2189124.061,2322150.168,2377192.559,659167.8609,NA,1220720.424,1864766.791,1614325.829,2004719.522,1230187.774,2360976.834,2100709.258,1473448.032,1123534.781,1942654.56,2581725.033,4144676.068,1627560.861,2969827.01,3456259.912,5040900.96,2861669.582,5004271.727,3106919.35,3244980.476,1726795.349,1795764.027,5148475.037,4681939.586,2573296.276,3494008.456,2617328.735,4032318.598,2098862.889,2554371.374,1964822.402,1307357.745,2639197.011,3284022.208,2827346.849,2217058.318,1422369.113,1601976.117,753809.864,1693606.754,930708.0168,3619008.583,1770262.743,3335787.059
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6670944.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626619.5146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,205020185.4,39507265.68,20998213.57,4123783.322,56016421.29,13570755.45,7610771.48,NA,11499777.47,3078443.74,NA,NA,2806261.564,NA,NA,11536470.77,12148543.55,2551879.7,17974619.78,2929495.55,32036087.13,5333546.475,83998431.5,17541761.48,8134965.818,2265194.791,15757886.61,3812488.713,57045041.79,8402704.45,NA,NA,NA,NA,21984387.95,3069864.989,44702094.6,20647494.02,NA,NA,56330090.55,9095089.632,7227416.341,NA,77370068.13,26018857.1,NA,NA,90609642.06,12160923.79,26309462.09,4185776.502
29,7413872.504,3489545.665,25428116.18,5970822.783,12743635.82,1963532.66,18836293.17,4164838.624,15934000.77,720598.5267,15451316.23,1551615.108,14503268.5,4322157.203,25797813.25,4665319.864,7036600.042,NA,6242022.463,NA,4543371.309,NA,NA,72487.57867,3340891.721,NA,9530307.956,NA,10252868.66,NA,5251931.414,2983742.783,7732108.498,8565382.66,9039702.143,1640939.323,9808161.904,2825467.052,7609248.757,1301159.515,9689010.243,4205190.847,9697560.572,2136035.97,9243362.977,4631502.073,4750627.195,161063.2122,7122880.049,NA,8284346.193,NA,26201668.34,10613485.24,85988444.75,10453703.86,11085065.58,6647866.095,10136944.45,NA
30,NA,NA,NA,17379434.13,15797472.07,8391724.672,15874919.74,NA,NA,3367874.222,4625689.218,3692964.052,5396158.267,NA,NA,13918950.04,NA,2911552.338,3221023.096,3462914.326,2894297.373,3104632.008,2685622.176,3210911.461,2442844.001,2884672.384,6357960.491,9406669.279,3982272.065,3429057.714,3934529.852,NA,7126580.796,4350460.367,4639937.994,NA,NA,NA,4943363.492,3672202.996,13441547.36,14269186.69,NA,9031492.46,12681165.95,10188791.02,3281042.724,2699679.031,3191340.353,9243746.111,9059523.308,3381840.126,17496702.25,14428918.81,25262602.08,11902269.27,2991378.102,7260090.651,11011425.42,3386788.458
31,40024994.08,30564294.07,16172539.95,17999707.12,15231660.33,10832500.42,32485306.7,28249214.17,17404822.53,23415263.66,26810225.91,31933437.79,52520273.83,44637963.08,29314077.3,33010553.35,47336008.53,54302835.16,15665908.22,17274633.74,34405087.13,38048156.49,10981726,15088664.6,35048860.03,37521636.68,51934482.29,44545750.06,33152202.88,13334955.22,8541117.623,8345350.583,9956808.471,9184926.354,13191130.18,9128735.288,3733549.134,8380119.545,NA,7098642.537,9646075.68,8605105.155,31445081.49,25675660.81,16259446.67,10095506.44,9882637.602,19178941.56,28126389.68,27686903,20233841.4,15412158.76,36403601.19,30599397,31442160.96,37938179.21,22043900.49,28388554.07,35010089.31,39705270.08
32,NA,NA,NA,NA,NA,NA,NA,NA,2226012.648,2227599.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43422662.18,9179415.936,NA,NA,NA,NA,NA,NA,3300170.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,3532180.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,16549599.63,NA,NA,NA,18636717.62,NA,NA,NA,28200570.61,NA,NA,20662091.82,NA,NA,NA,NA,NA,14229954.89,NA,NA,NA,NA,NA,13964875.51,15388699.02,NA,NA,14734947.15,3093850.613,20197653.2,25938522.59,NA,NA,NA,NA,NA,NA,26561502.88,NA,NA,NA,17375929.59,18779092.74,NA,18685124.88,NA,NA,NA,NA,NA,NA,NA,1510620.201,NA,NA,13638516.9,NA,21614865.22,NA
