sample,sample_group
control_1_6wks_6wks_flush_1_exudate_Organic,control_6wks
control_1_6wks_6wks_flush_2_exudate_Organic,control_6wks
control_1_15wks_15wks_flush_1_exudate_Organic,control_15wks
control_1_15wks_15wks_flush_2_exudate_Organic,control_15wks
control_2_6wks_6wks_flush_1_exudate_Organic,control_6wks
control_2_6wks_6wks_flush_2_exudate_Organic,control_6wks
control_2_15wks_15wks_flush_1_exudate_Organic,control_15wks
control_2_15wks_15wks_flush_2_exudate_Organic,control_15wks
JM0034dot001_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_6wks
JM0034dot001_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_6wks
JM0034dot001_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_15wks
JM0034dot001_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_15wks
JM0062dot001_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_6wks
JM0062dot001_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_6wks
JM0062dot001_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_15wks
JM0062dot001_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_15wks
JPN-2011-004_15wks_flush_1_exudate_Organic,Miscanthus_sacchariflorus 4x_15wks
JPN-2011-004_15wks_flush_2_exudate_Organic,Miscanthus_sacchariflorus 4x_15wks
JPN-2011-023_15wks_flush_1_exudate_Organic,Miscanthus_sacchariflorus 4x_15wks
JPN-2011-023_15wks_flush_2_exudate_Organic,Miscanthus_sacchariflorus 4x_15wks
JY025_15wks_flush_1_exudate_Organic,Miscanthus_sacchariflorus_ssp_lutarioriparius_15wks
JY025_15wks_flush_2_exudate_Organic,Miscanthus_sacchariflorus_ssp_lutarioriparius_15wks
JY027_15wks_flush_1_exudate_Organic,Miscanthus_sacchariflorus_15wks
JY027_15wks_flush_2_exudate_Organic,Miscanthus_sacchariflorus_15wks
KMS062_15wks_flush_1_exudate_Organic,Miscanthus_sacchariflorus 4x_15wks
KMS062_15wks_flush_2_exudate_Organic,Miscanthus_sacchariflorus 4x_15wks
KMS113_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_6wks
KMS113_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_6wks
KMS113_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_15wks
KMS113_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_15wks
PI417947_6wks_flush_1_exudate_Organic,Miscanthus floridulus_6wks
PI417947_6wks_flush_2_exudate_Organic,Miscanthus floridulus_6wks
PI417947_15wks_flush_1_exudate_Organic,Miscanthus floridulus_15wks
PI417947_15wks_flush_2_exudate_Organic,Miscanthus floridulus_15wks
PMS-165_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_6wks
PMS-165_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_6wks
PMS-165_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_15wks
PMS-165_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_15wks
PMS-182_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_6wks
PMS-182_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_6wks
PMS-182_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_15wks
PMS-182_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_15wks
PMS-546_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_6wks
PMS-546_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_6wks
PMS-546_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_15wks
PMS-546_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_15wks
UI10-00009_15wks_flush_1_exudate_Organic,Miscanthus_sacchariflorus_15wks
UI10-00009_15wks_flush_2_exudate_Organic,Miscanthus_sacchariflorus_15wks
UI11-00002_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_6wks
UI11-00002_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_6wks
UI11-00002_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_15wks
UI11-00002_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_15wks
UI14-00019_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_6wks
UI14-00019_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_6wks
UI14-00019_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_15wks
UI14-00019_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_15wks
UI25-00001_6wks_flush_1_exudate_Organic,Miscanthus_sinensis_ssp_transmorrisonensis_6wks
UI25-00001_6wks_flush_2_exudate_Organic,Miscanthus_sinensis_ssp_transmorrisonensis_6wks
UI25-00001_15wks_flush_1_exudate_Organic,Miscanthus_sinensis_ssp_transmorrisonensis_15wks
UI25-00001_15wks_flush_2_exudate_Organic,Miscanthus_sinensis_ssp_transmorrisonensis_15wks
