Barcode,Entry,Species_consensus,Accession_#,USDA_Q_#,Alt_accession_#,UIUC_ID,minicores_Ainsworth_2025,quantity,transplanted,date_transplant,project,project_id,labeled,survival_6wks,replaced_july2025,root_exudate_collect_6wks,incubation_start_6wks,incubation_end_6wks,flush_1_initial_volume_6wks,flush_1_replenish_6wks,flush_2_initial_volume_6wks,flush_1_final_volume_6wks,flush_2_final_volume_6wks,soil_6wks,soil_dry_time_start_6wks,soil_dry_time_end_6wks,soil_start_mg_6wks,soil_24hrs_mg_6wks,soil_end_mg_6wks,root_dry_time_start_6wks,root_dry_time_end_6wks,root_6wks,root_start_mg_6wks,root_end_mg_6wks,root_exudate_collect_15wks,incubation_start_15wks,incubation_end_15wks,flush_1_initial_volume_15wks,flush_1_replenish_15wks,flush_2_initial_volume_15wks,flush_1_final_volume_15wks,flush_2_final_volume_15wks,soil_15wks,soil_dry_time_start_15wks,soil_dry_time_end_15wks,soil_start_mg_15wks,soil_24hrs_mg_15wks,soil_end_mg_15wks,root_dry_time_start_15wks,root_dry_time_end_15wks,root_15wks,root_start_mg_15wks,root_end_mg_15wks,Notes
Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:,Miscanthus sacchariflorus  'JY027',Miscanthus sacchariflorus,JY027,Q49882,,UI19-00073,JY027,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,1,2025-08-05 11:28:00,2025-08-06 10:00:00,10,5,10,10.4,10,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0225,0.9415,0.927,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0253,0.014,Was not part of inital 6wk samples
Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110,Miscanthus sacchariflorus  'PMS-076',Miscanthus sacchariflorus,PMS-076,Q46878,UI12-00110,UI19-00061,PMS-076,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:,Miscanthus sacchariflorus  'PMS-077',Miscanthus sacchariflorus,PMS-077,Q49085,,UI19-00060,PMS-077,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:,Miscanthus sacchariflorus 4x  'JY006',Miscanthus sacchariflorus 4x,JY006,Q49861,,UI19-00087,JY006,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:,Miscanthus sacchariflorus 4x  'KMS062',Miscanthus sacchariflorus 4x,KMS062,Q49083,,UI19-00084,KMS062,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,,,,,,,,,,,,,,,,,,,,,,1,2025-08-05 11:39:00,2025-08-06 10:00:00,10,5,10,10.4,9.5,1,2025-08-07 16:31:00,2025-08-09 18:24:00,4.0094,0.8778,0.8668,2025-08-07 16:31:00,2025-08-08 16:51:00,1,0.0082,0.0071,Was not part of inital 6wk samples
Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:,Miscanthus sacchariflorus 4x  'PMS-457',Miscanthus sacchariflorus 4x,PMS-457,Q49087,,UI19-00083,PMS-457,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:,Miscanthus sacchariflorus 4x  'RU2012-055',Miscanthus sacchariflorus 4x,RU2012-055,Q47666,,UI19-00081,RU2012-055,1,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,RU2012-056.1WD (4x),Q47667,,UI19-00082,RU2012-056.1WD (4x),1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1'-Accn:JPN-2010-005-Q46427-Alt:JPN-2010-005,Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1',Miscanthus sacchariflorus 4x,JPN-2010-005,Q46427,JPN-2010-005,UI21-00064,JPN-2010-005,1,1,2025-07-18,mxg_genotype_exudates,MXG_GENEX,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'-Accn:JPN-2011-008-Q46808-Alt:JPN-2011-008","Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'",Miscanthus sacchariflorus 4x,JPN-2011-008,Q46808,JPN-2011-008,UI21-00063,JPN-2011-008,2,1,2025-04-15,mxg_genotype_exudates,MXG_GENEX,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
