Barcode,Entry,Species_consensus,Accession_#,USDA_Q_#,Alt_accession_#,UIUC_ID,minicores_Ainsworth_2025,survival_6wks,Notes
Miscanthus sacchariflorus ssp. lutarioriparius  'PF30022'-Accn:UI11-00031—Alt:,Miscanthus sacchariflorus ssp. lutarioriparius  'PF30022',Miscanthus sacchariflorus ssp. lutarioriparius,UI11-00031,,,UI19-00392,UI11-00031,0,
Miscanthus sacchariflorus 4x  'EMI-5'-Accn:UI11-00027--Alt:,Miscanthus sacchariflorus 4x  'EMI-5',Miscanthus sacchariflorus 4x,UI11-00027,,,UI19-00298,UI11-00027,0,
Miscanthus xgiganteus 3x  '64-1'-Accn:UI10-00123--Alt:,Miscanthus xgiganteus 3x  '64-1',Miscanthus xgiganteus 3x,UI10-00123,,,UI10-00123,Nagara,0,
Miscanthus xgiganteus 3x  'Illinois'-Accn:UI10-00107--Alt:,Miscanthus xgiganteus 3x  'Illinois',Miscanthus xgiganteus 3x,UI10-00107,,,UI10-00107,UI10-00107,0,
Miscanthus sinensis  'Strictus'-Accn:UI10-00092—Alt:,Miscanthus sinensis  'Strictus',,UI10-00092,,,UI10-00092,UI10-00092,0,
Miscanthus sinensis  'RU2012-221'-Accn:RU2012-221-Q47802-Alt:,Miscanthus sinensis  'RU2012-221',Miscanthus sinensis,RU2012-221,Q47802,,RU2012-221,RU2012-221,0,
Miscanthus sinensis  'RU2012-219'-Accn:RU2012-219-Q47801-Alt:,Miscanthus sinensis  'RU2012-219',Miscanthus sinensis,RU2012-219,Q47801,,RU2012-219,RU2012-219,0,
Miscanthus sinensis  'RU2012-217'-Accn:RU2012-217-Q47799-Alt:,Miscanthus sinensis  'RU2012-217',Miscanthus sinensis,RU2012-217,Q47799,,RU2012-217,RU2012-217,0,Not present in initial minicores
Miscanthus sacchariflorus  'RU2012-174'-Accn:RU2012-174-Q47765-Alt:,Miscanthus sacchariflorus  'RU2012-174',Miscanthus sacchariflorus,RU2012-174,Q47765,,UI19-00223,RU2012-174,0,
Miscanthus sacchariflorus  'RU2012-114'-Accn:RU2012-114-Q47717-Alt:,Miscanthus sacchariflorus  'RU2012-114',Miscanthus sacchariflorus,RU2012-114,Q47717,,UI19-00176,RU2012-114,0,Not present in initial minicores
Miscanthus sacchariflorus  'RU2012-112'-Accn:RU2012-112-Q47715-Alt:,Miscanthus sacchariflorus  'RU2012-112',Miscanthus sacchariflorus,RU2012-112,Q47715,,UI19-00174,RU2012-112,0,Not present in initial minicores
Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:,Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)',Miscanthus sacchariflorus 4x,RU2012-056.1WD (4x),Q47667,,UI19-00082,RU2012-056.1WD (4x),0,
