"barcode","species_consensus","groups_consensus","quantity_initial","transplanted","date_transplant"
"Miscanthus sacchariflorus  'JY027'-Accn:JY027-Q49882-Alt:","Miscanthus sacchariflorus","N China 2x Msa",1,1,"2025/04/15 00:00:00"
"Miscanthus sacchariflorus  'PMS-076'-Accn:PMS-076-Q46878-Alt:UI12-00110","Miscanthus sacchariflorus","N China 2x Msa",1,1,"2025/04/15 00:00:00"
"Miscanthus sacchariflorus  'PMS-077'-Accn:PMS-077-Q49085-Alt:","Miscanthus sacchariflorus","N China 2x Msa",1,1,"2025/04/15 00:00:00"
"Miscanthus sacchariflorus 4x  'JY006'-Accn:JY006-Q49861-Alt:","Miscanthus sacchariflorus 4x","N China/Korea/Russia 4x Msa",1,1,"2025/07/18 00:00:00"
"Miscanthus sacchariflorus 4x  'KMS062'-Accn:KMS062-Q49083-Alt:","Miscanthus sacchariflorus 4x","N China/Korea/Russia 4x Msa",1,1,"2025/04/15 00:00:00"
"Miscanthus sacchariflorus 4x  'PMS-457'-Accn:PMS-457-Q49087-Alt:","Miscanthus sacchariflorus 4x","N China/Korea/Russia 4x Msa",1,1,"2025/07/18 00:00:00"
"Miscanthus sacchariflorus 4x  'RU2012-055'-Accn:RU2012-055-Q47666-Alt:","Miscanthus sacchariflorus 4x","N China/Korea/Russia 4x Msa",1,1,"2025/04/15 00:00:00"
"Miscanthus sacchariflorus 4x  'RU2012-056.1WD (4x)'-Accn:RU2012-056.1WD (4x)-Q47667-Alt:","Miscanthus sacchariflorus 4x","N China/Korea/Russia 4x Msa",1,1,"2025/07/18 00:00:00"
"Miscanthus sacchariflorus 4x  'Tomatoh Corporation-1'-Accn:JPN-2010-005-Q46427-Alt:JPN-2010-005","Miscanthus sacchariflorus 4x","N Japan 4x Msa",1,1,"2025/07/18 00:00:00"
"Miscanthus sacchariflorus 4x  'Hokkaido U, Livestock Farm-2'-Accn:JPN-2011-008-Q46808-Alt:JPN-2011-008","Miscanthus sacchariflorus 4x","N Japan 4x Msa",2,1,"2025/04/15 00:00:00"
"Miscanthus sacchariflorus 4x  'Tomatoh Corporation-2'-Accn:JPN-2011-010-Q46810-Alt:JPN-2011-010","Miscanthus sacchariflorus 4x","N Japan 4x Msa",1,1,"2025/07/18 00:00:00"
